eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
2ee20c58-ba8c-4884-ad18-8d65e7f94b42,22,False,"[(109, 64), (71, 104)]",244,266,62,55,244,109,173,173,109,175,71,173,109,173,109,175,71,175,71,175,71,175,71,175,71,173,109,173,109,174.4974,80.55,174.05180000000001,89.0159,174.718,76.359,173.0,109.0,1.0115606936416186,1.0
2ee20c58-ba8c-4884-ad18-8d65e7f94b42,22,False,"[(64, 109), (104, 71)]",266,244,55,62,266,64,173,173,64,175,104,173,64,173,64,175,104,175,104,175,104,175,104,175,104,173,64,173,64,174.4974,93.9474,174.05180000000001,85.0359,174.718,98.359,173.0,64.0,1.0115606936416186,1.0
b31a4f69-ee03-4a59-bd09-9e41489d74d1,23,True,"[(75, 64), (83, 60), (54, 77), (59, 70)]",210,232,43,50,210,57,125,131,54,129,59,129,59,129,59,139,75,131,54,129,59,129,59,129,59,143,83,129,59,129.0,59.0,130.7229,61.9536,130.8334,54.4167,129.0,59.0,1.144,1.032
b31a4f69-ee03-4a59-bd09-9e41489d74d1,23,True,"[(64, 75), (60, 83), (77, 54), (70, 59)]",232,210,50,43,232,68,125,131,77,129,70,129,70,129,70,139,64,131,77,129,70,129,70,129,70,143,60,129,70,129.0,70.0,130.7229,68.7693,130.8334,76.4167,129.0,70.0,1.144,1.032
7552dee8-fdba-429a-89bb-8808359788b8,1,False,"[(136, 159), (145, 156), (158, 147)]",254,266,55,62,254,139,289,295,136,301,145,295,136,295,136,301,145,301,145,301,145,295,136,295,136,305,158,295,136,295.0,136.0001,298.5102,143.7224,298.2352,143.1176,295.0,136.0,1.055363321799308,1.0207612456747406
7552dee8-fdba-429a-89bb-8808359788b8,1,False,"[(159, 136), (156, 145), (147, 158)]",266,254,62,55,266,150,289,295,159,301,156,295,159,295,159,301,156,301,156,301,156,295,159,295,159,305,147,295,159,295.0,158.9999,298.5102,154.7878,298.2352,155.1176,295.0,159.0,1.055363321799308,1.0207612456747406
1da00943-d49c-425d-824c-e22c8dca6951,0,False,"[(86, 75), (73, 84)]",232,278,59,66,232,73,157,157,73,157,73,157,73,157,73,161,86,157,73,157,73,157,73,157,73,161,86,157,73,157.0,73.0,158.40640000000002,77.5708,157.0,73.0,157.0,73.0,1.0254777070063694,1.0
1da00943-d49c-425d-824c-e22c8dca6951,0,False,"[(75, 86), (84, 73)]",278,232,66,59,278,84,157,157,84,157,84,157,84,157,84,161,75,157,84,157,84,157,84,157,84,161,75,157,84,157.0,84.0,158.40640000000002,80.8356,157.0,84.0,157.0,84.0,1.0254777070063694,1.0
6003c716-9919-49b8-b6b9-6a9b7424e813,0,False,"[(109, 86)]",366,320,81,63,366,100,189,195,109,195,109,195,109,195,109,195,109,195,109,195,109,195,109,195,109,195,109,195,109,195,109,195,109,195,109,195,109,1.0317460317460319,1.0317460317460319
6003c716-9919-49b8-b6b9-6a9b7424e813,0,False,"[(86, 109)]",320,366,63,81,320,89,189,195,86,195,86,195,86,195,86,195,86,195,86,195,86,195,86,195,86,195,86,195,86,195,86,195,86,195,86,195,86,1.0317460317460319,1.0317460317460319
