eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
7d0a317b-f244-4a09-b95d-a6fb9d9d5f31,23,False,"[(50, 61), (79, 56)]",210,210,39,39,210,50,111,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111,50,135,79,111,50,114.64599999999996,54.40559999999999,118.76479999999998,59.38239999999999,111.0,50.0,111.0,50.0,1.2162162162162162,1.0
f9b9a690-cbc9-4798-8e1a-0e7808998ebe,1,False,"[(80, 113), (81, 48), (89, 44)]",222,188,42,35,222,80,127,133,89,129,81,129,81,129,81,193,80,129,81,129,81,129,81,129,81,193,80,129,81,129.98610000000002,82.97210000000001,129.33339999999998,81.66669999999999,129.0,81.0,129.0,81.0,1.5196850393700787,1.015748031496063
f9b9a690-cbc9-4798-8e1a-0e7808998ebe,1,False,"[(113, 80), (48, 81), (44, 89)]",188,222,35,42,188,47,127,133,44,129,48,129,48,129,48,193,113,129,48,129,48,129,48,129,48,193,113,129,48,129.98610000000002,47.01400000000001,129.33339999999998,47.66669999999999,129.0,48.0,129.0,48.0,1.5196850393700787,1.015748031496063
32e87b3f-e3c0-47c0-a7bc-9f518b3a1743,12,False,"[(87, 76)]",298,310,64,67,298,87,163,163,87,163,87,163,87,163,87,163,87,163,87,163,87,163,87,163,87,163,87,163,87,163.0,87.0,163.0,87.0,163.0,87.0,163.0,87.0,1.0,1.0
32e87b3f-e3c0-47c0-a7bc-9f518b3a1743,12,False,"[(76, 87)]",310,298,67,64,310,76,163,163,76,163,76,163,76,163,76,163,76,163,76,163,76,163,76,163,76,163,76,163,76,163.0,76.0,163.0,76.0,163.0,76.0,163.0,76.0,1.0,1.0
45a1b8f0-2a5f-49c5-9cff-9899b7a25e5b,0,False,"[(52, 75), (64, 41)]",190,144,38,27,190,64,105,105,64,105,64,105,64,105,64,127,52,105,64,105,64,105,64,105,64,127,52,105,64,109.58709999999999,61.49799999999999,105.0,64.0,105.0,64.0,105.0,64.0,1.2095238095238094,1.0
45a1b8f0-2a5f-49c5-9cff-9899b7a25e5b,0,False,"[(75, 52), (41, 64)]",144,190,27,38,144,41,105,105,41,105,41,105,41,105,41,127,75,105,41,105,41,105,41,105,41,127,75,105,41,109.58709999999999,48.0891,105.0,41.0,105.0,41.0,105.0,41.0,1.2095238095238094,1.0
63ee3843-3b25-40ed-9005-1eddb1f51a69,22,False,"[(47, 70), (51, 62), (64, 53)]",200,200,38,38,200,50,111,117,47,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,117,47,113,51,113.95979999999997,54.11949999999999,115.0,57.5,113.0,51.0,113.0,51.0,1.054054054054054,1.018018018018018
63ee3843-3b25-40ed-9005-1eddb1f51a69,22,False,"[(70, 47), (62, 51), (53, 64)]",200,200,38,38,200,61,111,117,70,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,117,70,113,62,113.95979999999997,59.84030000000001,115.0,57.5,113.0,62.0,113.0,62.0,1.054054054054054,1.018018018018018
ac52fdd4-0ce8-4097-b2ca-9152f16b7bbf,0,False,"[(105, 82)]",366,320,78,68,366,96,181,187,105,187,105,187,105,187,105,187,105,187,105,187,105,187,105,187,105,187,105,187,105,187.0,105.0,187.0,105.0,187.0,105.0,187.0,105.0,1.0331491712707181,1.0331491712707181
ac52fdd4-0ce8-4097-b2ca-9152f16b7bbf,0,False,"[(82, 105)]",320,366,68,78,320,85,181,187,82,187,82,187,82,187,82,187,82,187,82,187,82,187,82,187,82,187,82,187,82,187.0,82.0,187.0,82.0,187.0,82.0,187.0,82.0,1.0331491712707181,1.0331491712707181
4e9f5817-f629-4021-bb30-a28bde750b61,22,False,"[(91, 114), (95, 106)]",442,442,82,82,442,94,199,205,91,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,205,91,201,95,202.2948,93.70519999999999,201.0,95.0,201.0,95.0,201.0,95.0,1.0301507537688441,1.0100502512562815
4e9f5817-f629-4021-bb30-a28bde750b61,22,False,"[(114, 91), (106, 95)]",442,442,82,82,442,105,199,205,114,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,205,114,201,106,202.2948,108.58960000000002,201.0,106.0,201.0,106.0,201.0,106.0,1.0301507537688441,1.0100502512562815
829ad754-2f5e-4a93-b4db-fc6918815731,0,False,"[(185, 140)]",464,342,95,72,464,176,319,325,185,325,185,325,185,325,185,325,185,325,185,325,185,325,185,325,185,325,185,325,185,325.0,185.0,325.0,185.0,325.0,185.0,325.0,185.0,1.0188087774294672,1.0188087774294672
829ad754-2f5e-4a93-b4db-fc6918815731,0,False,"[(140, 185)]",342,464,72,95,342,143,319,325,140,325,140,325,140,325,140,325,140,325,140,325,140,325,140,325,140,325,140,325,140,325.0,140.0,325.0,140.0,325.0,140.0,325.0,140.0,1.0188087774294672,1.0188087774294672
fc07bf49-7436-4b32-8c01-4fe09e772b0d,22,False,"[(59, 48), (50, 61)]",200,166,39,31,200,59,107,107,59,107,59,107,59,107,59,107,59,107,59,107,59,107,59,107,59,111,50,107,59,108.41039999999998,55.82669999999999,107.0,59.0,107.0,59.0,107.0,59.0,1.0373831775700935,1.0
fc07bf49-7436-4b32-8c01-4fe09e772b0d,22,False,"[(48, 59), (61, 50)]",166,200,31,39,166,48,107,107,48,107,48,107,48,107,48,107,48,107,48,107,48,107,48,107,48,111,61,107,48,108.41039999999998,52.58369999999999,107.0,48.0,107.0,48.0,107.0,48.0,1.0373831775700935,1.0
d63eab39-bc23-422c-b289-585eefe1841e,0,False,"[(53, 76), (86, 63)]",210,256,39,54,210,56,123,129,53,129,53,129,53,129,53,129,53,129,53,129,53,129,53,129,53,149,86,129,53,133.85379999999998,61.008700000000005,129.0,53.0,129.0,53.0,129.0,53.0,1.2113821138211383,1.048780487804878
d63eab39-bc23-422c-b289-585eefe1841e,0,False,"[(76, 53), (63, 86)]",256,210,54,39,256,67,123,129,76,129,76,129,76,129,76,129,76,129,76,129,76,129,76,129,76,149,63,129,76,133.85379999999998,72.8451,129.0,76.0,129.0,76.0,129.0,76.0,1.2113821138211383,1.048780487804878
08b50932-7bc6-480e-b5d8-6bf3e5370e3b,11,False,"[(105, 116)]",408,408,96,87,408,105,221,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221,105,221.0,105.0,221.0,105.0,221.0,105.0,221.0,105.0,1.0,1.0
08b50932-7bc6-480e-b5d8-6bf3e5370e3b,11,False,"[(116, 105)]",408,408,87,96,408,116,221,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221,116,221.0,116.0,221.0,116.0,221.0,116.0,221.0,116.0,1.0,1.0
