eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
f7098364-b46e-4871-a61e-4b1ce2e136e9,22,True,"[(164, 175), (165, 154)]",200,200,142,145,200,165,319,319,165,319,165,319,165,319,165,339,164,319,165,319,165,319,165,319,165,339,164,319,165,319.0,165.0,329.0,164.5,319.0,165.0,320.1471,164.9426,1.0626959247648904,1.0
f7098364-b46e-4871-a61e-4b1ce2e136e9,22,True,"[(175, 164), (154, 165)]",200,200,145,142,200,154,319,319,154,319,154,319,154,319,154,339,175,319,154,319,154,319,154,319,154,339,175,319,154,319.0,154.0,329.0,164.5,319.0,154.0,320.1471,155.2045,1.0626959247648904,1.0
f5c75bae-8b12-4fff-a264-90f6feca3e3a,22,False,"[(155, 178)]",200,200,147,138,200,155,333,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333.0,155.0,333.0,155.0,333.0,155.0,333.0,155.0,1.0,1.0
f5c75bae-8b12-4fff-a264-90f6feca3e3a,22,False,"[(178, 155)]",200,200,138,147,200,178,333,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333.0,178.0,333.0,178.0,333.0,178.0,333.0,178.0,1.0,1.0
5ab58eb9-5e3a-4bbc-b63f-edd1a610e75f,0,False,"[(201, 224)]",232,278,178,207,232,201,425,425,201,425,201,425,201,425,201,425,201,425,201,425,201,425,201,425,201,425,201,425,201,425.0,201.0,425.0,201.0,425.0,201.0,425.0,201.0,1.0,1.0
5ab58eb9-5e3a-4bbc-b63f-edd1a610e75f,0,False,"[(224, 201)]",278,232,207,178,278,224,425,425,224,425,224,425,224,425,224,425,224,425,224,425,224,425,224,425,224,425,224,425,224,425.0,224.0,425.0,224.0,425.0,224.0,425.0,224.0,1.0,1.0
0ee97d14-fb48-48c6-8330-bc9a69b39e03,0,True,"[(188, 211)]",210,256,165,202,210,188,399,399,188,399,188,399,188,399,188,399,188,399,188,399,188,399,188,399,188,399,188,399,188,399.0,188.0,399.0,188.0,399.0,188.0,399.0,188.0,1.0,1.0
0ee97d14-fb48-48c6-8330-bc9a69b39e03,0,True,"[(211, 188)]",256,210,202,165,256,211,399,399,211,399,211,399,211,399,211,399,211,399,211,399,211,399,211,399,211,399,211,399,211,399.0,211.0,399.0,211.0,399.0,211.0,399.0,211.0,1.0,1.0
a63b51b2-7704-4185-a2e3-70b4670b50a2,11,False,"[(344, 333)]",452,430,335,313,452,344,677,677,344,677,344,677,344,677,344,677,344,677,344,677,344,677,344,677,344,677,344,677,344,677.0,344.0,677.0,344.0,677.0,344.0,677.0,344.0,1.0,1.0
a63b51b2-7704-4185-a2e3-70b4670b50a2,11,False,"[(333, 344)]",430,452,313,335,430,333,677,677,333,677,333,677,333,677,333,677,333,677,333,677,333,677,333,677,333,677,333,677,333,677.0,333.0,677.0,333.0,677.0,333.0,677.0,333.0,1.0,1.0
