eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
447b76bd-26ea-4b28-bc47-c62cac0576ed,23,True,"[(204, 193)]",254,254,195,182,254,204,397,397,204,397,204,397,204,397,204,397,204,397,204,397,204,397,204,397,204,397,204,397,204,397.0,204.0,397.0,204.0,397.0,204.0,397.0,204.0,1.0,1.0
447b76bd-26ea-4b28-bc47-c62cac0576ed,23,True,"[(193, 204)]",254,254,182,195,254,193,397,397,193,397,193,397,193,397,193,397,193,397,193,397,193,397,193,397,193,397,193,397,193,397.0,193.0,397.0,193.0,397.0,193.0,397.0,193.0,1.0,1.0
e0327fd0-8767-4854-be57-b8f07598c3b5,23,True,"[(234, 223), (241, 218)]",288,232,225,173,288,232,441,459,241,457,234,457,234,457,234,457,234,459,241,459,241,457,234,459,241,457,234,457,234,458.4674,239.1359,459.0,241.0,459.0,241.0,457.0,234.0,1.0408163265306123,1.036281179138322
e0327fd0-8767-4854-be57-b8f07598c3b5,23,True,"[(223, 234), (218, 241)]",232,288,173,225,232,209,441,459,218,457,223,457,223,457,223,457,223,459,218,459,218,457,223,459,218,457,223,457,223,458.4674,219.3315,459.0,218.0,459.0,218.0,457.0,223.0,1.0408163265306123,1.036281179138322
82197890-03b7-4be7-a89f-0a3c1e893bfe,12,False,"[(143, 132), (123, 146)]",210,222,110,126,210,123,269,269,123,275,143,269,123,269,123,275,143,269,123,269,123,269,123,269,123,275,143,269,123,271.42150000000004,131.0716,269.0024,123.0079,270.9412,129.4706,269.0,123.0,1.0223048327137547,1.0
82197890-03b7-4be7-a89f-0a3c1e893bfe,12,False,"[(132, 143), (146, 123)]",222,210,126,110,222,146,269,269,146,275,132,269,146,269,146,275,132,269,146,269,146,269,146,269,146,275,132,269,146,271.42150000000004,140.3499,269.0024,145.99450000000002,270.9412,141.4706,269.0,146.0,1.0223048327137547,1.0
b8a0faf2-9fec-470e-8b07-1f5eda049c02,0,False,"[(205, 182)]",266,232,190,178,266,205,387,387,205,387,205,387,205,387,205,387,205,387,205,387,205,387,205,387,205,387,205,387,205,387.0,205.0,387.0,205.0,387.0,205.0,387.0,205.0,1.0,1.0
b8a0faf2-9fec-470e-8b07-1f5eda049c02,0,False,"[(182, 205)]",232,266,178,190,232,182,387,387,182,387,182,387,182,387,182,387,182,387,182,387,182,387,182,387,182,387,182,387,182,387.0,182.0,387.0,182.0,387.0,182.0,387.0,182.0,1.0,1.0
060302cf-acb9-4339-a10c-5b06ce275cce,22,False,"[(163, 140)]",244,244,149,131,244,163,303,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303.0,163.0,303.0,163.0,303.0,163.0,303.0,163.0,1.0,1.0
060302cf-acb9-4339-a10c-5b06ce275cce,22,False,"[(140, 163)]",244,244,131,149,244,140,303,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303.0,140.0,303.0,140.0,303.0,140.0,303.0,140.0,1.0,1.0
93c7ebf3-b6a9-496a-87cb-702a96373e6b,22,False,"[(194, 161)]",266,210,184,138,266,194,355,355,194,355,194,355,194,355,194,355,194,355,194,355,194,355,194,355,194,355,194,355,194,355.0,194.0,355.0,194.0,355.0,194.0,355.0,194.0,1.0,1.0
93c7ebf3-b6a9-496a-87cb-702a96373e6b,22,False,"[(161, 194)]",210,266,138,184,210,161,355,355,161,355,161,355,161,355,161,355,161,355,161,355,161,355,161,355,161,355,161,355,161,355.0,161.0,355.0,161.0,355.0,161.0,355.0,161.0,1.0,1.0
be6b70d6-f613-467c-9dce-9fc5cf259844,1,False,"[(183, 216)]",232,288,160,198,232,183,399,399,183,399,183,399,183,399,183,399,183,399,183,399,183,399,183,399,183,399,183,399,183,399.0,183.0,399.0,183.0,399.0,183.0,399.0,183.0,1.0,1.0
be6b70d6-f613-467c-9dce-9fc5cf259844,1,False,"[(216, 183)]",288,232,198,160,288,216,399,399,216,399,216,399,216,399,216,399,216,399,216,399,216,399,216,399,216,399,216,399,216,399.0,216.0,399.0,216.0,399.0,216.0,399.0,216.0,1.0,1.0
9f504db5-f747-414b-ac15-eff1170cef2e,0,False,"[(154, 131)]",200,166,145,120,200,154,285,285,154,285,154,285,154,285,154,285,154,285,154,285,154,285,154,285,154,285,154,285,154,285.0,154.0,285.0,154.0,285.0,154.0,285.0,154.0,1.0,1.0
9f504db5-f747-414b-ac15-eff1170cef2e,0,False,"[(131, 154)]",166,200,120,145,166,131,285,285,131,285,131,285,131,285,131,285,131,285,131,285,131,285,131,285,131,285,131,285,131,285.0,131.0,285.0,131.0,285.0,131.0,285.0,131.0,1.0,1.0
dfb4cc7e-6d93-47df-be4c-03a4092648ed,0,False,"[(253, 264), (254, 243)]",388,342,231,220,388,254,497,497,254,497,254,497,254,497,254,517,253,497,254,497,254,497,254,497,254,517,253,497,254,497.6749,253.9663,497.0,254.0,497.0,254.0,497.0,254.0,1.040241448692153,1.0
dfb4cc7e-6d93-47df-be4c-03a4092648ed,0,False,"[(264, 253), (243, 254)]",342,388,220,231,342,243,497,497,243,497,243,497,243,497,243,517,264,497,243,497,243,497,243,497,243,517,264,497,243,497.6749,243.7086,497.0,243.0,497.0,243.0,497.0,243.0,1.040241448692153,1.0
6fcd119d-8e75-41db-90de-df044b4ee65b,22,False,"[(138, 149), (168, 145)]",210,244,124,145,210,138,287,287,138,287,138,287,138,287,138,287,138,287,138,287,138,287,138,287,138,313,168,287,138,289.2983,140.6519,287.0,138.0,287.0,138.0,287.0,138.0,1.0905923344947734,1.0
6fcd119d-8e75-41db-90de-df044b4ee65b,22,False,"[(149, 138), (145, 168)]",244,210,145,124,244,149,287,287,149,287,149,287,149,287,149,287,149,287,149,287,149,287,149,287,149,313,145,287,149,289.2983,148.6464,287.0,149.0,287.0,149.0,287.0,149.0,1.0905923344947734,1.0
2b22bd54-e2cd-45b3-a066-64955e9fe604,22,False,"[(161, 128)]",210,200,129,128,210,161,289,289,161,289,161,289,161,289,161,289,161,289,161,289,161,289,161,289,161,289,161,289,161,289.0,161.0,289.0,161.0,289.0,161.0,289.0,161.0,1.0,1.0
2b22bd54-e2cd-45b3-a066-64955e9fe604,22,False,"[(128, 161)]",200,210,128,129,200,128,289,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289,128,289.0,128.0,289.0,128.0,289.0,128.0,289.0,128.0,1.0,1.0
7a1080c0-877b-41ab-95c9-186b41a75b3b,1,False,"[(160, 183)]",232,244,151,137,232,168,325,343,160,343,160,343,160,343,160,343,160,343,160,343,160,343,160,343,160,343,160,343,160,343.0,160.0,343.0,160.0,343.0,160.0,343.0,160.0,1.0553846153846154,1.0553846153846154
7a1080c0-877b-41ab-95c9-186b41a75b3b,1,False,"[(183, 160)]",244,232,137,151,244,157,325,343,183,343,183,343,183,343,183,343,183,343,183,343,183,343,183,343,183,343,183,343,183,343.0,183.0,343.0,183.0,343.0,183.0,343.0,183.0,1.0553846153846154,1.0553846153846154
0c07e8f4-9694-42ec-ae86-b5de8720ad4e,0,False,"[(187, 210)]",232,278,164,192,232,190,391,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397,187,397.0,187.0,397.0,187.0,397.0,187.0,397.0,187.0,1.0153452685421995,1.0153452685421995
0c07e8f4-9694-42ec-ae86-b5de8720ad4e,0,False,"[(210, 187)]",278,232,192,164,278,201,391,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397,210,397.0,210.0,397.0,210.0,397.0,210.0,397.0,210.0,1.0153452685421995,1.0153452685421995
9f8a13ec-89d6-4ba7-a1c1-dcd40f8c11f2,0,False,"[(186, 163)]",244,210,154,147,244,177,343,349,186,349,186,349,186,349,186,349,186,349,186,349,186,349,186,349,186,349,186,349,186,349.0,186.0,349.0,186.0,349.0,186.0,349.0,186.0,1.0174927113702623,1.0174927113702623
9f8a13ec-89d6-4ba7-a1c1-dcd40f8c11f2,0,False,"[(163, 186)]",210,244,147,154,210,166,343,349,163,349,163,349,163,349,163,349,163,349,163,349,163,349,163,349,163,349,163,349,163,349.0,163.0,349.0,163.0,349.0,163.0,349.0,163.0,1.0174927113702623,1.0174927113702623
296d888f-6624-4b3d-b365-f1cca1248c51,22,False,"[(550, 385)]",640,452,451,344,640,550,935,935,550,935,550,935,550,935,550,935,550,935,550,935,550,935,550,935,550,935,550,935,550,935.0,550.0,935.0,550.0,935.0,550.0,935.0,550.0,1.0,1.0
296d888f-6624-4b3d-b365-f1cca1248c51,22,False,"[(385, 550)]",452,640,344,451,452,385,935,935,385,935,385,935,385,935,385,935,385,935,385,935,385,935,385,935,385,935,385,935,385,935.0,385.0,935.0,385.0,935.0,385.0,935.0,385.0,1.0,1.0
2fc6fa8e-e19d-4015-9366-85488ea3d484,22,False,"[(155, 132)]",200,200,123,129,200,155,287,287,155,287,155,287,155,287,155,287,155,287,155,287,155,287,155,287,155,287,155,287,155,287.0,155.0,287.0,155.0,287.0,155.0,287.0,155.0,1.0,1.0
2fc6fa8e-e19d-4015-9366-85488ea3d484,22,False,"[(132, 155)]",200,200,129,123,200,132,287,287,132,287,132,287,132,287,132,287,132,287,132,287,132,287,132,287,132,287,132,287,132,287.0,132.0,287.0,132.0,287.0,132.0,287.0,132.0,1.0,1.0
738372c6-b7c2-45d8-8496-fa31561f324b,0,False,"[(116, 139)]",210,256,93,121,210,116,255,255,116,255,116,255,116,255,116,255,116,255,116,255,116,255,116,255,116,255,116,255,116,255.0,116.0,255.0,116.0,255.0,116.0,255.0,116.0,1.0,1.0
738372c6-b7c2-45d8-8496-fa31561f324b,0,False,"[(139, 116)]",256,210,121,93,256,139,255,255,139,255,139,255,139,255,139,255,139,255,139,255,139,255,139,255,139,255,139,255,139,255.0,139.0,255.0,139.0,255.0,139.0,255.0,139.0,1.0,1.0
0d53f9fa-0d90-4731-8b95-79462ae8f6b4,1,False,"[(161, 216), (144, 233)]",210,310,133,198,210,144,377,377,144,377,161,377,161,377,161,377,161,377,144,377,144,377,144,377,144,377,161,377,161,377.0,151.0125,377.0,144.0154,377.0,144.0,377.0,144.0,1.0,1.0
0d53f9fa-0d90-4731-8b95-79462ae8f6b4,1,False,"[(216, 161), (233, 144)]",310,210,198,133,310,233,377,377,233,377,216,377,216,377,216,377,216,377,233,377,233,377,233,377,233,377,216,377,216,377.0,225.9875,377.0,232.9846,377.0,233.0,377.0,233.0,1.0,1.0
787b676b-b679-4807-b19b-c2d8e2f366c5,22,False,"[(128, 139)]",200,188,128,107,200,128,267,267,128,267,128,267,128,267,128,267,128,267,128,267,128,267,128,267,128,267,128,267,128,267.0,128.0,267.0,128.0,267.0,128.0,267.0,128.0,1.0,1.0
787b676b-b679-4807-b19b-c2d8e2f366c5,22,False,"[(139, 128)]",188,200,107,128,188,139,267,267,139,267,139,267,139,267,139,267,139,267,139,267,139,267,139,267,139,267,139,267,139,267.0,139.0,267.0,139.0,267.0,139.0,267.0,139.0,1.0,1.0
6befbd6f-44de-41a1-b7ca-6e198c053894,0,False,"[(366, 343)]",520,452,357,298,520,366,709,709,366,709,366,709,366,709,366,709,366,709,366,709,366,709,366,709,366,709,366,709,366,709.0,366.0,709.0,366.0,709.0,366.0,709.0,366.0,1.0,1.0
6befbd6f-44de-41a1-b7ca-6e198c053894,0,False,"[(343, 366)]",452,520,298,357,452,343,709,709,343,709,343,709,343,709,343,709,343,709,343,709,343,709,343,709,343,709,343,709,343,709.0,343.0,709.0,343.0,709.0,343.0,709.0,343.0,1.0,1.0
c804f36c-c5ec-4977-8068-7cb8a57000a1,0,False,"[(176, 153)]",266,232,150,142,266,167,323,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329,176,329.0,176.0,329.0,176.0,329.0,176.0,329.0,176.0,1.0185758513931888,1.0185758513931888
c804f36c-c5ec-4977-8068-7cb8a57000a1,0,False,"[(153, 176)]",232,266,142,150,232,156,323,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329,153,329.0,153.0,329.0,153.0,329.0,153.0,329.0,153.0,1.0185758513931888,1.0185758513931888
0e4a1dbe-de14-4eb4-80f5-c604280da969,23,False,"[(119, 142)]",210,188,113,109,210,119,261,261,119,261,119,261,119,261,119,261,119,261,119,261,119,261,119,261,119,261,119,261,119,261.0,119.0,261.0,119.0,261.0,119.0,261.0,119.0,1.0,1.0
0e4a1dbe-de14-4eb4-80f5-c604280da969,23,False,"[(142, 119)]",188,210,109,113,188,142,261,261,142,261,142,261,142,261,142,261,142,261,142,261,142,261,142,261,142,261,142,261,142,261.0,142.0,261.0,142.0,261.0,142.0,261.0,142.0,1.0,1.0
