eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
55c3d7ee-44bf-4c39-9dbf-f375feb62d4e,22,False,"[(83, 94)]",200,188,74,62,200,83,177,177,83,177,83,177,83,177,83,177,83,177,83,177,83,177,83,177,83,177,83,177,83,177.0,83.0,177.0,83.0,177.0,83.0,177.0,83.0,1.0,1.0
55c3d7ee-44bf-4c39-9dbf-f375feb62d4e,22,False,"[(94, 83)]",188,200,62,74,188,94,177,177,94,177,94,177,94,177,94,177,94,177,94,177,94,177,94,177,94,177,94,177,94,177.0,94.0,177.0,94.0,177.0,94.0,177.0,94.0,1.0,1.0
720ce16f-69b5-4b29-9f0d-13fbbd1363ed,22,False,"[(96, 107), (99, 76)]",200,200,90,65,200,99,175,175,99,175,99,175,99,175,99,203,96,175,99,175,99,175,99,175,99,203,96,175,99,175.0,99.0,177.8966,98.6897,175.0,99.0,193.9412,96.9706,1.16,1.0
720ce16f-69b5-4b29-9f0d-13fbbd1363ed,22,False,"[(107, 96), (76, 99)]",200,200,65,90,200,76,175,175,76,175,76,175,76,175,76,203,107,175,76,175,76,175,76,175,76,203,107,175,76,175.0,76.0,177.8966,79.2069,175.0,76.0,193.9412,96.9706,1.16,1.0
4d1ae7e7-8ea5-4a64-83ff-efe049cdb1a3,0,True,"[(310, 144)]",310,144,161,90,310,229,447,454,310,454,310,454,310,454,310,454,310,454,310,454,310,454,310,454,310,454,310,454,310,454.0,310.0,454.0,310.0,454.0,310.0,454.0,310.0,1.0156599552572707,1.0156599552572707
4d1ae7e7-8ea5-4a64-83ff-efe049cdb1a3,0,True,"[(144, 310)]",144,310,90,161,144,218,447,454,144,454,144,454,144,454,144,454,144,454,144,454,144,454,144,454,144,454,144,454,144,454.0,144.0,454.0,144.0,454.0,144.0,454.0,144.0,1.0156599552572707,1.0156599552572707
d006fe3a-86b0-4125-8f12-081816ff25c5,12,False,"[(377, 400)]",782,816,363,391,782,377,777,777,377,777,377,777,377,777,377,777,377,777,377,777,377,777,377,777,377,777,377,777,377,777.0,377.0,777.0,377.0,777.0,377.0,777.0,377.0,1.0,1.0
d006fe3a-86b0-4125-8f12-081816ff25c5,12,False,"[(400, 377)]",816,782,391,363,816,400,777,777,400,777,400,777,400,777,400,777,400,777,400,777,400,777,400,777,400,777,400,777,400,777.0,400.0,777.0,400.0,777.0,400.0,777.0,400.0,1.0,1.0
e7db1be6-d316-4206-9a70-cef5bbb06dfb,0,False,"[(175, 152)]",454,408,149,129,454,175,327,327,175,327,175,327,175,327,175,327,175,327,175,327,175,327,175,327,175,327,175,327,175,327.0,175.0,327.0,175.0,327.0,175.0,327.0,175.0,1.0,1.0
e7db1be6-d316-4206-9a70-cef5bbb06dfb,0,False,"[(152, 175)]",408,454,129,149,408,152,327,327,152,327,152,327,152,327,152,327,152,327,152,327,152,327,152,327,152,327,152,327,152,327.0,152.0,327.0,152.0,327.0,152.0,327.0,152.0,1.0,1.0
