eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
9562cddb-8d2f-4b0c-841d-77b8a7449b27,11,False,"[(74, 97), (83, 94), (91, 68)]",232,232,60,59,232,91,159,159,91,159,91,159,91,159,91,177,83,159,91,159,91,159,91,159,91,177,83,159,91,163.53949999999998,84.56909999999999,159.0,91.0,159.0,91.0,165.0,82.5,1.1132075471698113,1.0
f8830fde-6db2-46fa-b6ca-ce6cff62f176,22,False,"[(106, 83)]",266,266,79,69,266,97,183,189,106,189,106,189,106,189,106,189,106,189,106,189,106,189,106,189,106,189,106,189,106,189.0,106.0,189.0,106.0,189.0,106.0,189.0,106.0,1.0327868852459017,1.0327868852459017
f8830fde-6db2-46fa-b6ca-ce6cff62f176,22,False,"[(83, 106)]",266,266,69,79,266,86,183,189,83,189,83,189,83,189,83,189,83,189,83,189,83,189,83,189,83,189,83,189,83,189.0,83.0,189.0,83.0,189.0,83.0,189.0,83.0,1.0327868852459017,1.0327868852459017
7e823e2e-05ff-46af-84fd-a69849b3331e,22,False,"[(102, 113), (111, 100), (119, 96)]",354,342,87,87,354,110,209,215,119,211,111,211,111,211,111,215,102,211,111,211,111,211,111,211,111,215,102,211,111,211.87869999999998,109.023,211.0,111.0,211.0,111.0,211.33339999999998,111.66669999999999,1.0287081339712918,1.0095693779904307
7e823e2e-05ff-46af-84fd-a69849b3331e,22,False,"[(113, 102), (100, 111), (96, 119)]",342,354,87,87,342,99,209,215,96,211,100,211,100,211,100,215,113,211,100,211,100,211,100,211,100,215,113,211,100,211.87869999999998,102.85570000000001,211.0,100.0,211.0,100.0,211.33339999999998,99.66669999999999,1.0287081339712918,1.0095693779904307
1a2e3ed4-604c-41b9-96d5-b9a576943d73,22,False,"[(128, 205), (119, 218)]",200,254,56,83,200,128,333,337,119,333,128,333,128,333,128,333,128,333,128,333,128,333,128,333,128,337,119,333,128,334.1807,125.3434,333.0,128.0,333.0,128.0,333.0,128.0,1.012012012012012,1.0
1a2e3ed4-604c-41b9-96d5-b9a576943d73,22,False,"[(205, 128), (218, 119)]",254,200,83,56,254,205,333,337,218,333,205,333,205,333,205,333,205,333,205,333,205,333,205,333,205,337,218,333,205,334.1807,208.8373,333.0,205.0,333.0,205.0,333.0,205.0,1.012012012012012,1.0
5249ce7b-b78d-4288-880f-40a9791757c6,0,False,"[(86, 109), (90, 101)]",210,256,66,80,210,89,189,195,86,191,90,191,90,191,90,191,90,195,86,195,86,191,90,191,90,195,86,191,90,192.53840000000002,88.4615,191.0,90.0,191.0,90.0,195.0,86.0,1.0317460317460319,1.0105820105820107
5249ce7b-b78d-4288-880f-40a9791757c6,0,False,"[(109, 86), (101, 90)]",256,210,80,66,256,100,189,195,109,191,101,191,101,191,101,191,101,195,109,195,109,191,101,191,101,195,109,191,101,192.53840000000002,104.0769,191.0,101.0,191.0,101.0,195.0,109.0,1.0317460317460319,1.0105820105820107
50f1d9e6-af58-4f7a-8f61-e606079e1dda,11,False,"[(152, 129), (149, 138)]",298,276,125,105,298,143,275,281,152,287,149,281,152,281,152,287,149,281,152,287,149,281,152,281,152,287,149,281,152,282.48490000000004,151.2576,281.0,152.0,281.0,152.0,281.5,151.75,1.0436363636363637,1.0218181818181817
50f1d9e6-af58-4f7a-8f61-e606079e1dda,11,False,"[(129, 152), (138, 149)]",276,298,105,125,276,132,275,281,129,287,138,281,129,281,129,287,138,281,129,287,138,281,129,281,129,287,138,281,129,282.48490000000004,131.2273,281.0,129.0,281.0,129.0,281.5,129.75,1.0436363636363637,1.0218181818181817
14c70b95-7f6a-4b00-aa06-ed44003301e9,11,False,"[(78, 55), (65, 76)]",200,166,51,44,200,69,127,133,78,141,65,133,78,133,78,141,65,133,78,133,78,133,78,133,78,141,65,133,78,135.6985,73.615,133.0,78.0,133.0,78.0,133.0,78.0,1.110236220472441,1.047244094488189
14c70b95-7f6a-4b00-aa06-ed44003301e9,11,False,"[(55, 78), (76, 65)]",166,200,44,51,166,58,127,133,55,141,76,133,55,133,55,141,76,133,55,133,55,133,55,133,55,141,76,133,55,135.6985,62.0835,133.0,55.0,133.0,55.0,133.0,55.0,1.110236220472441,1.047244094488189
e70f4680-d153-4b5b-98c2-3338862b1016,22,False,"[(47, 58), (80, 57)]",200,188,38,38,200,47,105,105,47,105,47,105,47,105,47,105,47,105,47,105,47,105,47,105,47,137,80,105,47,106.09379999999999,48.127999999999986,105.0,47.0,105.0,47.0,126.64699999999999,69.3235,1.3047619047619048,1.0
e70f4680-d153-4b5b-98c2-3338862b1016,22,False,"[(58, 47), (57, 80)]",188,200,38,38,188,58,105,105,58,105,58,105,58,105,58,105,58,105,58,105,58,105,58,105,58,137,57,105,58,106.09379999999999,57.9658,105.0,58.0,105.0,58.0,126.64699999999999,57.323499999999996,1.3047619047619048,1.0
ffa7135c-5116-4f8e-83de-61836c377ca0,12,True,"[(364, 760)]",364,760,118,237,364,447,905,1124,364,1124,364,1124,364,1124,364,1124,364,1124,364,1124,364,1124,364,1124,364,1124,364,1124,364,1124.0,364.0,1124.0,364.0,1124.0,364.0,1124.0,364.0,1.2419889502762431,1.2419889502762431
ffa7135c-5116-4f8e-83de-61836c377ca0,12,True,"[(760, 364)]",760,364,237,118,760,458,905,1124,760,1124,760,1124,760,1124,760,1124,760,1124,760,1124,760,1124,760,1124,760,1124,760,1124,760,1124.0,760.0,1124.0,760.0,1124.0,760.0,1124.0,760.0,1.2419889502762431,1.2419889502762431
cdd10033-398d-4013-ab95-d91773bc52bb,0,False,"[(86, 75), (68, 79), (65, 88)]",210,256,48,59,210,68,147,153,65,147,68,147,68,147,68,161,86,153,65,147,68,147,68,147,68,161,86,147,68,147.13490000000002,68.17349999999999,147.0,68.0,147.00009999999997,68.0001,153.0,65.0,1.0952380952380953,1.0
cdd10033-398d-4013-ab95-d91773bc52bb,0,False,"[(75, 86), (79, 68), (88, 65)]",256,210,59,48,256,79,147,153,88,147,79,147,79,147,79,161,75,153,88,147,79,147,79,147,79,161,75,147,79,147.13490000000002,78.9614,147.0,79.0,147.00009999999997,79.0,153.0,88.0,1.0952380952380953,1.0
4cf79cc0-6a1c-4c10-8431-5e9d7a9e3980,1,False,"[(106, 117)]",232,266,92,99,232,106,223,223,106,223,106,223,106,223,106,223,106,223,106,223,106,223,106,223,106,223,106,223,106,223.0,106.0,223.0,106.0,223.0,106.0,223.0,106.0,1.0,1.0
4cf79cc0-6a1c-4c10-8431-5e9d7a9e3980,1,False,"[(117, 106)]",266,232,99,92,266,117,223,223,117,223,117,223,117,223,117,223,117,223,117,223,117,223,117,223,117,223,117,223,117,223.0,117.0,223.0,117.0,223.0,117.0,223.0,117.0,1.0,1.0
7e364dba-5f75-45f3-90e4-82b2ddab22cf,22,False,"[(79, 56), (74, 85)]",200,200,47,47,200,70,129,135,79,135,79,135,79,135,79,159,74,135,79,135,79,135,79,135,79,159,74,135,79,138.95069999999998,78.177,135.0,79.0,135.0,79.0,151.2352,75.6176,1.2325581395348837,1.0465116279069768
7e364dba-5f75-45f3-90e4-82b2ddab22cf,22,False,"[(56, 79), (85, 74)]",200,200,47,47,200,59,129,135,56,135,56,135,56,135,56,159,85,135,56,135,56,135,56,135,56,159,85,135,56,138.95069999999998,60.77369999999999,135.0,56.0,135.0,56.0,151.2352,75.6176,1.2325581395348837,1.0465116279069768
78ea0285-3466-415d-9490-95014dae665a,88,True,"[(210, 376)]",210,376,43,129,210,228,533,586,210,586,210,586,210,586,210,586,210,586,210,586,210,586,210,586,210,586,210,586,210,586.0,210.0,586.0,210.0,586.0,210.0,586.0,210.0,1.099437148217636,1.099437148217636
78ea0285-3466-415d-9490-95014dae665a,88,True,"[(376, 210)]",376,210,129,43,376,305,533,586,376,586,376,586,376,586,376,586,376,586,376,586,376,586,376,586,376,586,376,586,376,586.0,376.0,586.0,376.0,586.0,376.0,586.0,376.0,1.099437148217636,1.099437148217636
f982f62a-4c27-4328-9b28-582682791d2c,0,False,"[(97, 120)]",232,266,83,104,232,97,217,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217.0,97.0,217.0,97.0,217.0,97.0,217.0,97.0,1.0,1.0
f982f62a-4c27-4328-9b28-582682791d2c,0,False,"[(120, 97)]",266,232,104,83,266,120,217,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217.0,120.0,217.0,120.0,217.0,120.0,217.0,120.0,1.0,1.0
3600bd1a-6ebd-406f-b97f-e2a39bfa30af,22,False,"[(148, 125), (122, 133)]",354,354,113,113,354,122,255,255,122,255,122,255,122,255,122,255,122,255,122,255,122,255,122,255,122,273,148,255,122,259.27750000000003,128.1787,255.0,122.0,255.0,122.0,260.8236,130.4118,1.0705882352941176,1.0
3600bd1a-6ebd-406f-b97f-e2a39bfa30af,22,False,"[(125, 148), (133, 122)]",354,354,113,113,354,133,255,255,133,255,133,255,133,255,133,255,133,255,133,255,133,255,133,255,133,273,125,255,133,259.27750000000003,131.0988,255.0,133.0,255.0,133.0,260.8236,130.4118,1.0705882352941176,1.0
58531366-9ffa-4d2d-b5b8-af55e2ced670,22,False,"[(326, 359), (368, 335)]",914,904,317,321,914,326,685,685,326,685,326,685,326,685,326,685,326,703,368,685,326,685,326,685,326,703,368,685,326,691.6829,341.5934,685.0,326.0,685.0,326.0,696.7272,353.3636,1.0262773722627738,1.0
58531366-9ffa-4d2d-b5b8-af55e2ced670,22,False,"[(359, 326), (335, 368)]",904,914,321,317,904,359,685,685,359,685,359,685,359,685,359,685,359,703,335,685,359,685,359,685,359,703,335,685,359,691.6829,350.08950000000004,685.0,359.0,685.0,359.0,696.7272,343.3636,1.0262773722627738,1.0
9dde5285-0b2c-4ad5-8210-9a8009a0cded,0,False,"[(65, 54)]",190,144,47,40,190,65,119,119,65,119,65,119,65,119,65,119,65,119,65,119,65,119,65,119,65,119,65,119,65,119.0,65.0,119.0,65.0,119.0,65.0,119.0,65.0,1.0,1.0
9dde5285-0b2c-4ad5-8210-9a8009a0cded,0,False,"[(54, 65)]",144,190,40,47,144,54,119,119,54,119,54,119,54,119,54,119,54,119,54,119,54,119,54,119,54,119,54,119,54,119.0,54.0,119.0,54.0,119.0,54.0,119.0,54.0,1.0,1.0
2db57ee4-76a2-47a5-99a2-aa0af06916b8,0,False,"[(69, 46), (60, 83)]",190,144,47,35,190,69,115,115,69,115,69,115,69,115,69,115,69,115,69,115,69,115,69,115,69,143,60,115,69,119.33870000000002,67.6054,115.0,69.0,115.0,69.0,115.0,69.0,1.2434782608695651,1.0
2db57ee4-76a2-47a5-99a2-aa0af06916b8,0,False,"[(46, 69), (83, 60)]",144,190,35,47,144,46,115,115,46,115,46,115,46,115,46,115,46,115,46,115,46,115,46,115,46,143,83,115,46,119.33870000000002,51.7333,115.0,46.0,115.0,46.0,115.0,46.0,1.2434782608695651,1.0
ed0e882b-2e8f-4359-9005-7e904558da4d,22,False,"[(472, 351)]",980,882,282,265,980,454,809,823,472,823,472,823,472,823,472,823,472,823,472,823,472,823,472,823,472,823,472,823,472,823.0,472.0,823.0,472.0,823.0,472.0,823.0,472.0,1.0173053152039555,1.0173053152039555
ed0e882b-2e8f-4359-9005-7e904558da4d,22,False,"[(351, 472)]",882,980,265,282,882,355,809,823,351,823,351,823,351,823,351,823,351,823,351,823,351,823,351,823,351,823,351,823,351,823.0,351.0,823.0,351.0,823.0,351.0,823.0,351.0,1.0173053152039555,1.0173053152039555
d3e0c436-7c30-41bb-baed-b493e2cfc940,1,False,"[(120, 131)]",298,320,109,122,298,120,251,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251.0,120.0,251.0,120.0,251.0,120.0,251.0,120.0,1.0,1.0
d3e0c436-7c30-41bb-baed-b493e2cfc940,1,False,"[(131, 120)]",320,298,122,109,320,131,251,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251.0,131.0,251.0,131.0,251.0,131.0,251.0,131.0,1.0,1.0
4d90a802-8ec4-49ed-a35f-cf61f988cde1,22,False,"[(107, 74), (55, 88)]",200,210,46,50,200,55,143,143,55,143,55,143,55,143,55,181,107,143,55,143,55,143,55,143,55,181,107,143,55,151.4751,66.5975,143.0,55.0,143.0,55.0,156.2424,73.1212,1.2657342657342658,1.0
4d90a802-8ec4-49ed-a35f-cf61f988cde1,22,False,"[(74, 107), (88, 55)]",210,200,50,46,210,88,143,143,88,143,88,143,88,143,88,181,74,143,88,143,88,143,88,143,88,181,74,143,88,151.4751,84.8776,143.0,88.0,143.0,88.0,156.2424,83.1212,1.2657342657342658,1.0
f3bd2159-e45e-4433-a986-e1fed8d98119,0,False,"[(64, 75), (73, 62)]",200,166,47,48,200,73,135,135,73,135,73,135,73,135,73,139,64,135,73,135,73,135,73,135,73,139,64,135,73,136.3846,69.8846,135.0,73.0,135.0,73.0,135.0,73.0,1.0296296296296297,1.0
f3bd2159-e45e-4433-a986-e1fed8d98119,0,False,"[(75, 64), (62, 73)]",166,200,48,47,166,62,135,135,62,135,62,135,62,135,62,139,75,135,62,135,62,135,62,135,62,139,75,135,62,136.3846,66.5,135.0,62.0,135.0,62.0,135.0,62.0,1.0296296296296297,1.0
6e24ba5e-7cfe-482c-a006-5bbc6d55fe58,22,False,"[(91, 388)]",244,518,73,171,244,91,479,479,91,479,91,479,91,479,91,479,91,479,91,479,91,479,91,479,91,479,91,479,91,479.0,91.0,479.0,91.0,479.0,91.0,479.0,91.0,1.0,1.0
6e24ba5e-7cfe-482c-a006-5bbc6d55fe58,22,False,"[(388, 91)]",518,244,171,73,518,388,479,479,388,479,388,479,388,479,388,479,388,479,388,479,388,479,388,479,388,479,388,479,388,479.0,388.0,479.0,388.0,479.0,388.0,479.0,388.0,1.0,1.0
3577e8bf-c51b-4382-bdd7-49a842e7e93c,0,False,"[(142, 165)]",298,332,131,138,298,145,301,307,142,307,142,307,142,307,142,307,142,307,142,307,142,307,142,307,142,307,142,307,142,307.0,142.0,307.0,142.0,307.0,142.0,307.0,142.0,1.0199335548172757,1.0199335548172757
3577e8bf-c51b-4382-bdd7-49a842e7e93c,0,False,"[(165, 142)]",332,298,138,131,332,156,301,307,165,307,165,307,165,307,165,307,165,307,165,307,165,307,165,307,165,307,165,307,165,307.0,165.0,307.0,165.0,307.0,165.0,307.0,165.0,1.0199335548172757,1.0199335548172757
20f305a9-3539-410a-876f-f400c402eb61,0,False,"[(68, 45), (64, 53)]",190,144,50,31,190,59,107,113,68,117,64,113,68,113,68,117,64,113,68,113,68,113,68,113,68,117,64,113,68,114.12819999999999,66.8718,113.0,68.0,113.0,68.0,113.0,68.0,1.0934579439252337,1.0560747663551402
20f305a9-3539-410a-876f-f400c402eb61,0,False,"[(45, 68), (53, 64)]",144,190,31,50,144,48,107,113,45,117,53,113,45,113,45,117,53,113,45,113,45,113,45,113,45,117,53,113,45,114.12819999999999,47.2564,113.0,45.0,113.0,45.0,113.0,45.0,1.0934579439252337,1.0560747663551402
