eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
5c5c877c-6266-4a48-bc81-20794f31b93b,11,True,"[(38, 27), (25, 36)]",45,45,18,13,45,25,61,61,25,61,25,61,25,61,25,65,38,61,25,61,25,61,25,61,25,65,38,61,25,61.0,25.0,62.0769,28.5,62.7392,30.6522,63.0,31.5,1.0655737704918034,1.0
0966a0ec-a077-43dd-b536-2062c864f6a5,12,False,"[(32, 43)]",45,79,18,25,45,32,75,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75,32,75.0,32.0,75.0,32.0,75.0,32.0,75.0,32.0,1.0,1.0
0966a0ec-a077-43dd-b536-2062c864f6a5,12,False,"[(43, 32)]",79,45,25,18,79,43,75,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75,43,75.0,43.0,75.0,43.0,75.0,43.0,75.0,43.0,1.0,1.0
293fe867-9617-4bb9-a942-53a07e872b5f,0,False,"[(52, 29)]",79,45,34,18,79,52,81,81,52,81,52,81,52,81,52,81,52,81,52,81,52,81,52,81,52,81,52,81,52,81.0,52.0,81.0,52.0,81.0,52.0,81.0,52.0,1.0,1.0
293fe867-9617-4bb9-a942-53a07e872b5f,0,False,"[(29, 52)]",45,79,18,34,45,29,81,81,29,81,29,81,29,81,29,81,29,81,29,81,29,81,29,81,29,81,29,81,29,81.0,29.0,81.0,29.0,81.0,29.0,81.0,29.0,1.0,1.0
ef314d83-9513-4c1e-9626-9640cd40e926,11,False,"[(20, 31), (18, 41)]",45,57,9,21,45,20,51,59,18,51,20,51,20,51,20,51,20,51,20,51,20,51,20,51,20,59,18,51,20,51.0,20.0,51.0,20.0,52.2919,19.677,51.6666,19.8333,1.1568627450980393,1.0
ef314d83-9513-4c1e-9626-9640cd40e926,11,False,"[(31, 20), (41, 18)]",57,45,21,9,57,31,51,59,41,51,31,51,31,51,31,51,31,51,31,51,31,51,31,51,31,59,41,51,31,51.0,31.0,51.0,31.0,52.2919,32.6149,51.6666,31.8333,1.1568627450980393,1.0
87e93cbe-287c-4666-adc3-c14df7470101,13,True,"[(29, 18)]",35,35,12,8,35,29,47,47,29,47,29,47,29,47,29,47,29,47,29,47,29,47,29,47,29,47,29,47,29,47.0,29.0,47.0,29.0,47.0,29.0,47.0,29.0,1.0,1.0
87e93cbe-287c-4666-adc3-c14df7470101,13,True,"[(18, 29)]",35,35,8,12,35,18,47,47,18,47,18,47,18,47,18,47,18,47,18,47,18,47,18,47,18,47,18,47,18,47.0,18.0,47.0,18.0,47.0,18.0,47.0,18.0,1.0,1.0
c6eadafc-79fe-4085-8713-c371be090515,0,False,"[(80, 57)]",167,133,53,43,167,71,131,137,80,137,80,137,80,137,80,137,80,137,80,137,80,137,80,137,80,137,80,137,80,137.0,80.0,137.0,80.0,137.0,80.0,137.0,80.0,1.0458015267175573,1.0458015267175573
c6eadafc-79fe-4085-8713-c371be090515,0,False,"[(57, 80)]",133,167,43,53,133,60,131,137,57,137,57,137,57,137,57,137,57,137,57,137,57,137,57,137,57,137,57,137,57,137.0,57.0,137.0,57.0,137.0,57.0,137.0,57.0,1.0458015267175573,1.0458015267175573
6886c8f5-4f1e-421c-ae9e-7c0b40214a82,1,False,"[(45, 56)]",67,101,30,47,67,45,101,101,45,101,45,101,45,101,45,101,45,101,45,101,45,101,45,101,45,101,45,101,45,101.0,45.0,101.0,45.0,101.0,45.0,101.0,45.0,1.0,1.0
6886c8f5-4f1e-421c-ae9e-7c0b40214a82,1,False,"[(56, 45)]",101,67,47,30,101,56,101,101,56,101,56,101,56,101,56,101,56,101,56,101,56,101,56,101,56,101,56,101,56,101.0,56.0,101.0,56.0,101.0,56.0,101.0,56.0,1.0,1.0
fc7928b8-084f-4bb6-842b-6850563cf797,1,False,"[(45, 34), (32, 43)]",45,57,18,30,45,32,75,75,32,75,32,75,32,75,32,79,45,75,32,75,32,75,32,75,32,79,45,75,32,75.0,32.0,75.0,32.0,76.125,35.6562,75.0,32.0,1.0533333333333332,1.0
fc7928b8-084f-4bb6-842b-6850563cf797,1,False,"[(34, 45), (43, 32)]",57,45,30,18,57,43,75,75,43,75,43,75,43,75,43,79,34,75,43,75,43,75,43,75,43,79,34,75,43,75.0,43.0,75.0,43.0,76.125,40.4688,75.0,43.0,1.0533333333333332,1.0
4a2153a1-75fc-4112-96ee-5b7fc2ad2543,12,False,"[(24, 35), (41, 30)]",45,57,13,17,45,24,59,59,24,59,24,59,24,59,24,59,24,59,24,59,24,59,24,59,24,71,41,59,24,59.0,24.0,59.0,24.0,61.233999999999995,27.1649,59.0,24.0,1.2033898305084745,1.0
4a2153a1-75fc-4112-96ee-5b7fc2ad2543,12,False,"[(35, 24), (30, 41)]",57,45,17,13,57,35,59,59,35,59,35,59,35,59,35,59,35,59,35,59,35,59,35,59,35,71,30,59,35,59.0,35.0,59.0,35.0,61.233999999999995,34.0691,59.0,35.0,1.2033898305084745,1.0
f448580c-73ec-4992-8fcf-564a5a8ad285,23,True,"[(42, 31)]",45,45,16,17,45,25,73,73,42,73,42,73,42,73,42,73,42,73,42,73,42,73,42,73,42,73,42,73,42,73.0,42.0,73.0,42.0,73.0,42.0,73.0,42.0,1.0,1.0
f448580c-73ec-4992-8fcf-564a5a8ad285,23,True,"[(31, 42)]",45,45,17,16,45,48,73,73,31,73,31,73,31,73,31,73,31,73,31,73,31,73,31,73,31,73,31,73,31,73.0,31.0,73.0,31.0,73.0,31.0,73.0,31.0,1.0,1.0
731328b2-b69d-459f-af07-0e9d56cef5c1,23,True,"[(27, 38)]",45,45,18,21,45,27,65,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65.0,27.0,65.0,27.0,65.0,27.0,65.0,27.0,1.0,1.0
731328b2-b69d-459f-af07-0e9d56cef5c1,23,True,"[(38, 27)]",45,45,21,18,45,38,65,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65.0,38.0,65.0,38.0,65.0,38.0,65.0,38.0,1.0,1.0
a6960911-6562-4a9a-b66a-c1c06c5a14c8,23,True,"[(23, 34)]",45,67,9,17,45,23,57,57,23,57,23,57,23,57,23,57,23,57,23,57,23,57,23,57,23,57,23,57,23,57.0,23.0,57.0,23.0,57.0,23.0,57.0,23.0,1.0,1.0
a6960911-6562-4a9a-b66a-c1c06c5a14c8,23,True,"[(34, 23)]",67,45,17,9,67,34,57,57,34,57,34,57,34,57,34,57,34,57,34,57,34,57,34,57,34,57,34,57,34,57.0,34.0,57.0,34.0,57.0,34.0,57.0,34.0,1.0,1.0
63c457fa-fdc4-4afb-8030-68e10f741798,0,False,"[(24, 47)]",67,101,13,29,67,27,65,71,24,71,24,71,24,71,24,71,24,71,24,71,24,71,24,71,24,71,24,71,24,71.0,24.0,71.0,24.0,71.0,24.0,71.0,24.0,1.0923076923076922,1.0923076923076922
63c457fa-fdc4-4afb-8030-68e10f741798,0,False,"[(47, 24)]",101,67,29,13,101,38,65,71,47,71,47,71,47,71,47,71,47,71,47,71,47,71,47,71,47,71,47,71,47,71.0,47.0,71.0,47.0,71.0,47.0,71.0,47.0,1.0923076923076922,1.0923076923076922
3f5772a7-9e5b-449f-a5c5-6886a4baa53b,13,True,"[(35, 35)]",35,35,21,12,35,35,70,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.0,1.0
3f5772a7-9e5b-449f-a5c5-6886a4baa53b,13,True,"[(35, 35)]",35,35,12,21,35,35,70,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.0,1.0
abaf3b5c-14fb-4045-bbac-f50cda67c1fc,1,False,"[(23, 56)]",45,101,9,38,45,23,79,79,23,79,23,79,23,79,23,79,23,79,23,79,23,79,23,79,23,79,23,79,23,79.0,23.0,79.0,23.0,79.0,23.0,79.0,23.0,1.0,1.0
abaf3b5c-14fb-4045-bbac-f50cda67c1fc,1,False,"[(56, 23)]",101,45,38,9,101,56,79,79,56,79,56,79,56,79,56,79,56,79,56,79,56,79,56,79,56,79,56,79,56,79.0,56.0,79.0,56.0,79.0,56.0,79.0,56.0,1.0,1.0
63fa2944-2d63-44d3-948e-74a87a679c36,1,False,"[(45, 78)]",67,111,13,51,67,36,117,123,45,123,45,123,45,123,45,123,45,123,45,123,45,123,45,123,45,123,45,123,45,123.0,45.0,123.0,45.0,123.0,45.0,123.0,45.0,1.0512820512820513,1.0512820512820513
63fa2944-2d63-44d3-948e-74a87a679c36,1,False,"[(78, 45)]",111,67,51,13,111,81,117,123,78,123,78,123,78,123,78,123,78,123,78,123,78,123,78,123,78,123,78,123,78,123.0,78.0,123.0,78.0,123.0,78.0,123.0,78.0,1.0512820512820513,1.0512820512820513
22a8b227-dcce-4b51-8801-55272bf2701a,1,False,"[(41, 52), (45, 34)]",45,79,13,17,45,45,79,79,45,79,45,79,45,79,45,93,41,93,41,93,41,79,45,93,41,79,45,79,45,79.0,45.0,93.0,41.0,89.0,42.1429,93.0,41.0,1.1772151898734178,1.0
22a8b227-dcce-4b51-8801-55272bf2701a,1,False,"[(52, 41), (34, 45)]",79,45,17,13,79,34,79,79,34,79,34,79,34,79,34,93,52,93,52,93,52,79,34,93,52,79,34,79,34,79.0,34.0,93.0,52.0,89.0,46.8571,93.0,52.0,1.1772151898734178,1.0
73d97080-d7a4-4df9-969d-94fcbccfc73b,12,True,"[(45, 89)]",45,89,13,30,45,59,107,134,45,134,45,134,45,134,45,134,45,134,45,134,45,134,45,134,45,134,45,134,45,134.0,45.0,134.0,45.0,134.0,45.0,134.0,45.0,1.2523364485981308,1.2523364485981308
73d97080-d7a4-4df9-969d-94fcbccfc73b,12,True,"[(89, 45)]",89,45,30,13,89,48,107,134,89,134,89,134,89,134,89,134,89,134,89,134,89,134,89,134,89,134,89,134,89,134.0,89.0,134.0,89.0,134.0,89.0,134.0,89.0,1.2523364485981308,1.2523364485981308
b1d03297-8204-4b48-818d-dabde29e7e7d,0,False,"[(27, 38), (23, 46)]",45,91,9,19,45,26,63,69,23,65,27,65,27,65,27,65,27,69,23,69,23,69,23,69,23,65,27,65,27,65.0,27.0,68.9998,23.0003,67.18549999999999,24.8144,69.0,23.0,1.0952380952380953,1.0317460317460319
b1d03297-8204-4b48-818d-dabde29e7e7d,0,False,"[(38, 27), (46, 23)]",91,45,19,9,91,37,63,69,46,65,38,65,38,65,38,65,38,69,46,69,46,69,46,69,46,65,38,65,38,65.0,38.0,68.9998,45.9995,67.18549999999999,42.3711,69.0,46.0,1.0952380952380953,1.0317460317460319
2d448b86-149a-4191-b0a9-3efebabded20,12,True,"[(23, 46)]",45,67,9,19,45,26,63,69,23,69,23,69,23,69,23,69,23,69,23,69,23,69,23,69,23,69,23,69,23,69.0,23.0,69.0,23.0,69.0,23.0,69.0,23.0,1.0952380952380953,1.0952380952380953
2d448b86-149a-4191-b0a9-3efebabded20,12,True,"[(46, 23)]",67,45,19,9,67,37,63,69,46,69,46,69,46,69,46,69,46,69,46,69,46,69,46,69,46,69,46,69,46,69.0,46.0,69.0,46.0,69.0,46.0,69.0,46.0,1.0952380952380953,1.0952380952380953
4f3fe1b2-9902-49a0-a54b-617ce29522e0,13,True,"[(35, 35)]",35,35,9,8,35,23,57,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.2280701754385965,1.2280701754385965
4f3fe1b2-9902-49a0-a54b-617ce29522e0,13,True,"[(35, 35)]",35,35,8,9,35,34,57,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.2280701754385965,1.2280701754385965
