eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
596a3ef6-7e4c-43e9-8759-658f696cb146,23,True,"[(859, 453)]",859,453,278,147,859,859,1312,1312,859,1312,859,1312,859,1312,859,1312,859,1312,859,1312,859,1312,859,1312,859,1312,859,1312,859,1312.0,859.0,1312.0,859.0,1312.0,859.0,1312.0,859.0,1.0,1.0
b5f5991c-ff8d-4da9-bd08-27df2097ce83,23,False,"[(92, 115), (96, 107)]",353,343,77,73,353,95,201,207,92,203,96,203,96,203,96,203,96,203,96,203,96,203,96,203,96,207,92,203,96,203.0,96.0,203.0,96.0,203.0,96.0,204.24540000000002,94.75459999999998,1.0298507462686568,1.0099502487562189
b5f5991c-ff8d-4da9-bd08-27df2097ce83,23,False,"[(115, 92), (107, 96)]",343,353,73,77,343,106,201,207,115,203,107,203,107,203,107,203,107,203,107,203,107,203,107,203,107,207,115,203,107,203.0,107.0,203.0,107.0,203.0,107.0,204.24540000000002,109.49080000000001,1.0298507462686568,1.0099502487562189
62c885f0-7801-40b4-a570-6dfbc00f0319,11,False,"[(141, 174), (178, 145)]",397,375,130,127,397,141,315,315,141,315,141,315,141,315,141,315,141,323,178,323,178,315,141,315,141,323,178,315,141,321.6666,171.8333,315.0195,141.0901,315.0,141.0,318.7274,158.2391,1.0253968253968253,1.0
62c885f0-7801-40b4-a570-6dfbc00f0319,11,False,"[(174, 141), (145, 178)]",375,397,127,130,375,174,315,315,174,315,174,315,174,315,174,315,174,323,145,323,145,315,174,315,174,323,145,315,174,321.6666,149.8333,315.0195,173.9294,315.0,174.0,318.7274,160.4883,1.0253968253968253,1.0
7d4f059c-a182-474d-bb3d-89033701eef9,11,False,"[(115, 148), (128, 117), (142, 109), (124, 135)]",365,309,110,94,365,128,245,251,142,245,128,245,128,245,128,245,128,251,142,245,128,245,128,245,128,263,115,245,128,251.0,142.0,245.00009999999997,128.0002,245.0,128.0,246.0435,127.2464,1.073469387755102,1.0
7d4f059c-a182-474d-bb3d-89033701eef9,11,False,"[(148, 115), (117, 128), (109, 142), (135, 124)]",309,365,94,110,309,117,245,251,109,245,117,245,117,245,117,245,117,251,109,245,117,245,117,245,117,263,148,245,117,251.0,109.0,245.00009999999997,116.9999,245.0,117.0,246.0435,118.7971,1.073469387755102,1.0
1f45b18a-9710-4d17-b4cd-d2f8285cf659,11,False,"[(142, 119), (114, 137)]",353,331,114,96,353,117,245,251,114,251,114,251,114,251,114,261,142,261,142,261,142,251,114,251,114,261,142,251,114,260.7826,141.3913,251.0,114.0,251.0,114.0,255.202,125.7656,1.0653061224489795,1.0244897959183674
1f45b18a-9710-4d17-b4cd-d2f8285cf659,11,False,"[(119, 142), (137, 114)]",331,353,96,114,331,128,245,251,137,251,137,251,137,251,137,261,119,261,119,261,119,251,137,251,137,261,119,251,137,260.7826,119.3913,251.0,137.0,251.0,137.0,255.202,129.4364,1.0653061224489795,1.0244897959183674
3b23bd8e-7176-4c56-985d-ad911f785189,11,False,"[(112, 101), (120, 97)]",343,309,102,74,343,111,211,217,120,213,112,213,112,213,112,213,112,217,120,213,112,213,112,213,112,217,120,213,112,217.0,120.0,213.0,112.0,213.0,112.0,214.41070000000002,114.82140000000001,1.028436018957346,1.009478672985782
