eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
b520da9b-67fe-4054-8168-7b7d5c8a297f,0,False,"[(82, 59), (69, 80)]",190,144,60,45,190,82,141,141,82,149,69,141,82,141,82,149,69,141,82,141,82,141,82,141,82,149,69,141,82,141.0,82.0,143.4246,78.0601,141.0,82.0,141.0,82.0,1.0567375886524824,1.0
b520da9b-67fe-4054-8168-7b7d5c8a297f,0,False,"[(59, 82), (80, 69)]",144,190,45,60,144,59,141,141,59,149,80,141,59,141,59,149,80,141,59,141,59,141,59,141,59,149,80,141,59,141.0,59.0,143.4246,65.3645,141.0,59.0,141.0,59.0,1.0567375886524824,1.0
56f80f0a-6702-46dc-8007-31b6a6113c89,22,False,"[(105, 128)]",222,222,96,105,222,105,233,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233.0,105.0,233.0,105.0,233.0,105.0,233.0,105.0,1.0,1.0
56f80f0a-6702-46dc-8007-31b6a6113c89,22,False,"[(128, 105)]",222,222,105,96,222,128,233,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233.0,128.0,233.0,128.0,233.0,128.0,233.0,128.0,1.0,1.0
3d61e39b-05c0-4545-8214-d321a3634cf1,11,False,"[(78, 67), (68, 79)]",210,188,63,56,210,78,145,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,145,78,147,68,145,78,145.0,78.0,145.8304,73.8476,145.0,78.0,145.0,78.0,1.013793103448276,1.0
3d61e39b-05c0-4545-8214-d321a3634cf1,11,False,"[(67, 78), (79, 68)]",188,210,56,63,188,67,145,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,145,67,147,79,145,67,145.0,67.0,145.8304,71.9828,145.0,67.0,145.0,67.0,1.013793103448276,1.0
eba75db3-9166-4399-804e-dc8e19bfdf21,1,False,"[(88, 65)]",222,210,59,56,222,79,147,153,88,153,88,153,88,153,88,153,88,153,88,153,88,153,88,153,88,153,88,153,88,153.0,88.0,153.0,88.0,153.0,88.0,153.0,88.0,1.0408163265306123,1.0408163265306123
eba75db3-9166-4399-804e-dc8e19bfdf21,1,False,"[(65, 88)]",210,222,56,59,210,68,147,153,65,153,65,153,65,153,65,153,65,153,65,153,65,153,65,153,65,153,65,153,65,153.0,65.0,153.0,65.0,153.0,65.0,153.0,65.0,1.0408163265306123,1.0408163265306123
50f8b9de-bedd-4af2-993e-5a525873b35f,22,False,"[(68, 91), (69, 58)]",200,188,43,47,200,69,127,127,69,127,69,127,69,127,69,127,69,127,69,127,69,127,69,127,69,159,68,127,69,127.0,69.0,127.9273,68.971,127.0,69.0,127.0,69.0,1.2519685039370079,1.0
50f8b9de-bedd-4af2-993e-5a525873b35f,22,False,"[(91, 68), (58, 69)]",188,200,47,43,188,58,127,127,58,127,58,127,58,127,58,127,58,127,58,127,58,127,58,127,58,159,91,127,58,127.0,58.0,127.9273,58.9563,127.0,58.0,127.0,58.0,1.2519685039370079,1.0
f133bc2a-e2a5-4362-a277-12c8a2032887,11,False,"[(108, 163)]",232,298,97,136,232,108,271,271,108,271,108,271,108,271,108,271,108,271,108,271,108,271,108,271,108,271,108,271,108,271.0,108.0,271.0,108.0,271.0,108.0,271.0,108.0,1.0,1.0
f133bc2a-e2a5-4362-a277-12c8a2032887,11,False,"[(163, 108)]",298,232,136,97,298,163,271,271,163,271,163,271,163,271,163,271,163,271,163,271,163,271,163,271,163,271,163,271,163,271.0,163.0,271.0,163.0,271.0,163.0,271.0,163.0,1.0,1.0
