eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
aab17994-5bdd-49ef-bdf6-895f07675fe3,0,False,"[(183, 160)]",608,562,156,146,608,174,337,343,183,343,183,343,183,343,183,343,183,343,183,343,183,343,183,343,183,343,183,343,183,343.0,183.0,343.0,183.0,343.0,183.0,343.0,183.0,1.0178041543026706,1.0178041543026706
56cc2429-007b-4ffd-974b-4583c8bfaedd,22,False,"[(315, 292)]",860,860,304,287,860,315,607,607,315,607,315,607,315,607,315,607,315,607,315,607,315,607,315,607,315,607,315,607,315,607.0,315.0,607.0,315.0,607.0,315.0,607.0,315.0,1.0,1.0
56cc2429-007b-4ffd-974b-4583c8bfaedd,22,False,"[(292, 315)]",860,860,287,304,860,292,607,607,292,607,292,607,292,607,292,607,292,607,292,607,292,607,292,607,292,607,292,607,292,607.0,292.0,607.0,292.0,607.0,292.0,607.0,292.0,1.0,1.0
291d30f7-dab9-435a-bdda-2bf58be57474,22,False,"[(143, 98), (135, 102)]",354,332,111,89,354,134,235,241,143,237,135,237,135,237,135,237,135,237,135,237,135,237,135,237,135,241,143,237,135,237.0,135.0,238.27509999999995,137.5502,237.0,135.0,237.0,135.0,1.025531914893617,1.0085106382978724
291d30f7-dab9-435a-bdda-2bf58be57474,22,False,"[(98, 143), (102, 135)]",332,354,89,111,332,101,235,241,98,237,102,237,102,237,102,237,102,237,102,237,102,237,102,237,102,241,98,237,102,237.0,102.0,238.27509999999995,100.72489999999999,237.0,102.0,237.0,102.0,1.025531914893617,1.0085106382978724
4172c09e-6a4a-46bd-8669-458fe853fc93,0,False,"[(133, 110), (91, 114)]",320,366,77,92,320,94,199,205,91,205,91,205,91,205,91,243,133,205,91,205,91,205,91,205,91,243,133,205,91,205.0,91.0,207.9832,94.2972,205.0,91.0,205.0,91.0,1.221105527638191,1.0301507537688441
4172c09e-6a4a-46bd-8669-458fe853fc93,0,False,"[(110, 133), (114, 91)]",366,320,92,77,366,105,199,205,114,205,114,205,114,205,114,243,110,205,114,205,114,205,114,205,114,243,110,205,114,205.0,114.0,207.9832,113.686,205.0,114.0,205.0,114.0,1.221105527638191,1.0301507537688441
89f87ccf-8e62-4a02-8aaa-539f01204070,22,False,"[(121, 166), (165, 154)]",332,342,107,136,332,121,287,287,121,319,165,287,121,287,121,319,165,287,121,287,121,287,121,287,121,319,165,287,121,287.0,121.0,294.49940000000004,131.3117,287.0,121.0,307.0,148.5,1.1114982578397212,1.0
89f87ccf-8e62-4a02-8aaa-539f01204070,22,False,"[(166, 121), (154, 165)]",342,332,136,107,342,166,287,287,166,319,154,287,166,287,166,319,154,287,166,287,166,287,166,287,166,319,154,287,166,287.0,166.0,294.49940000000004,163.1877,287.0,166.0,307.0,158.5,1.1114982578397212,1.0
fcf2610c-26e0-40e6-aa2b-c75cb86ab727,0,False,"[(98, 87)]",300,254,83,73,300,98,185,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185.0,98.0,185.0,98.0,185.0,98.0,185.0,98.0,1.0,1.0
fcf2610c-26e0-40e6-aa2b-c75cb86ab727,0,False,"[(87, 98)]",254,300,73,83,254,87,185,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185.0,87.0,185.0,87.0,185.0,87.0,185.0,87.0,1.0,1.0
9431ff84-3850-4e41-9044-a54fd6975c15,22,False,"[(129, 118), (116, 127), (105, 128)]",354,354,96,96,354,108,227,233,105,243,116,233,105,233,105,247,129,243,116,243,116,233,105,233,105,247,129,233,105,233.0,105.0,237.27520000000004,112.3289,233.0,105.0,242.4706,121.2353,1.0881057268722467,1.026431718061674
9431ff84-3850-4e41-9044-a54fd6975c15,22,False,"[(118, 129), (127, 116), (128, 105)]",354,354,96,96,354,119,227,233,128,243,127,233,128,233,128,247,118,243,127,243,127,233,128,233,128,247,118,233,128,233.0,128.0,237.27520000000004,124.94630000000001,233.0,128.0,242.4706,121.2353,1.0881057268722467,1.026431718061674
e6485747-aead-4eb0-8aee-9c72c411c554,1,False,"[(197, 174)]",376,364,150,112,376,188,365,371,197,371,197,371,197,371,197,371,197,371,197,371,197,371,197,371,197,371,197,371,197,371.0,197.0,371.0,197.0,371.0,197.0,371.0,197.0,1.0164383561643835,1.0164383561643835
e6485747-aead-4eb0-8aee-9c72c411c554,1,False,"[(174, 197)]",364,376,112,150,364,177,365,371,174,371,174,371,174,371,174,371,174,371,174,371,174,371,174,371,174,371,174,371,174,371.0,174.0,371.0,174.0,371.0,174.0,371.0,174.0,1.0164383561643835,1.0164383561643835
caf5380f-5762-489e-8d97-7d55a8666d1f,22,False,"[(116, 215), (134, 189), (147, 158), (173, 140)]",310,342,111,117,310,147,305,331,116,305,147,305,147,305,147,305,147,305,147,305,147,305,147,305,147,331,116,305,147,305.0,147.0,309.15819999999997,142.0421,305.0,147.0,311.2046,139.6023,1.0852459016393443,1.0
caf5380f-5762-489e-8d97-7d55a8666d1f,22,False,"[(215, 116), (189, 134), (158, 147), (140, 173)]",342,310,117,111,342,158,305,331,215,305,158,305,158,305,158,305,158,305,158,305,158,305,158,305,158,331,215,305,158,305.0,158.0,309.15819999999997,167.1161,305.0,158.0,311.2046,171.6023,1.0852459016393443,1.0
9b7ab301-6dd8-429a-91fd-3325b9504743,11,False,"[(89, 134), (141, 108)]",342,342,80,96,342,92,217,223,89,223,89,223,89,223,89,249,141,223,89,223,89,223,89,223,89,249,141,223,89,223.0,89.0,232.12350000000004,107.24690000000001,223.0,89.0,238.0,119.0,1.1474654377880185,1.0276497695852536
9b7ab301-6dd8-429a-91fd-3325b9504743,11,False,"[(134, 89), (108, 141)]",342,342,96,80,342,125,217,223,134,223,134,223,134,223,134,249,108,223,134,223,134,223,134,223,134,249,108,223,134,223.0,134.0,232.12350000000004,124.8766,223.0,134.0,238.0,119.0,1.1474654377880185,1.0276497695852536
afc8d347-76ab-4d0e-a3b8-33591ca1e5b5,11,False,"[(144, 221), (148, 181), (165, 176)]",342,386,125,136,342,148,329,365,144,341,165,329,148,329,148,341,165,329,148,329,148,329,148,329,148,365,144,329,148,329.0002,148.0,329.3947,148.5592,329.0,148.0,338.0,147.0,1.1094224924012157,1.0
afc8d347-76ab-4d0e-a3b8-33591ca1e5b5,11,False,"[(221, 144), (181, 148), (176, 165)]",386,342,136,125,386,181,329,365,221,341,176,329,181,329,181,341,176,329,181,329,181,329,181,329,181,365,221,329,181,329.0002,181.0002,329.3947,180.8355,329.0,181.0,338.0,191.0,1.1094224924012157,1.0
0dadba24-cf83-4e27-9faa-950da7f61e1f,23,False,"[(424, 401)]",486,838,135,293,486,415,819,825,424,825,424,825,424,825,424,825,424,825,424,825,424,825,424,825,424,825,424,825,424,825.0,424.0,825.0,424.0,825.0,424.0,825.0,424.0,1.0073260073260073,1.0073260073260073
0dadba24-cf83-4e27-9faa-950da7f61e1f,23,False,"[(401, 424)]",838,486,293,135,838,404,819,825,401,825,401,825,401,825,401,825,401,825,401,825,401,825,401,825,401,825,401,825,401,825.0,401.0,825.0,401.0,825.0,401.0,825.0,401.0,1.0073260073260073,1.0073260073260073
5b9b8a93-5523-4f3f-abad-e61b404072ae,0,False,"[(111, 100), (84, 107)]",320,366,71,84,320,84,191,191,84,191,84,191,84,191,84,211,111,191,84,191,84,191,84,191,84,211,111,191,84,191.0,84.0,194.74009999999998,89.04910000000001,191.0,84.0,191.0,84.0,1.1047120418848169,1.0
5b9b8a93-5523-4f3f-abad-e61b404072ae,0,False,"[(100, 111), (107, 84)]",366,320,84,71,366,107,191,191,107,191,107,191,107,191,107,211,100,191,107,191,107,191,107,191,107,211,100,191,107,191.0,107.0,194.74009999999998,105.69099999999997,191.0,107.0,191.0,107.0,1.1047120418848169,1.0
133c57eb-1c8f-4c34-b641-8eac5c823fcc,1,False,"[(122, 111)]",320,364,89,92,320,122,233,233,122,233,122,233,122,233,122,233,122,233,122,233,122,233,122,233,122,233,122,233,122,233.0,122.0,233.0,122.0,233.0,122.0,233.0,122.0,1.0,1.0
133c57eb-1c8f-4c34-b641-8eac5c823fcc,1,False,"[(111, 122)]",364,320,92,89,364,111,233,233,111,233,111,233,111,233,111,233,111,233,111,233,111,233,111,233,111,233,111,233,111,233.0,111.0,233.0,111.0,233.0,111.0,233.0,111.0,1.0,1.0
