eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,PoA,PoS
bf04ec61-9a50-40cf-a619-eaf641de1f66,23,True,"[(461, 438)]",475,937,111,256,475,461,899,899,461,899,461,899,461,899,461,899,461,899,461,899,461,899,461,899,461,899,461,899,461,899.0,461.0,899.0,461.0,899.0,461.0,899.0,461.0,1.0,1.0
bf04ec61-9a50-40cf-a619-eaf641de1f66,23,True,"[(438, 461)]",937,475,256,111,937,438,899,899,438,899,438,899,438,899,438,899,438,899,438,899,438,899,438,899,438,899,438,899,438,899.0,438.0,899.0,438.0,899.0,438.0,899.0,438.0,1.0,1.0
74eaca6e-d5fe-4904-90f5-8ef3167d1c2c,0,False,"[(120, 143), (136, 113)]",375,421,105,102,375,127,243,249,136,249,136,249,136,249,136,263,120,263,120,263,120,249,136,249,136,263,120,249,136,254.48519999999996,129.7313,263.0,120.0,249.0,136.0,249.0,136.0,1.0823045267489713,1.0246913580246915
74eaca6e-d5fe-4904-90f5-8ef3167d1c2c,0,False,"[(143, 120), (113, 136)]",421,375,102,105,421,116,243,249,113,249,113,249,113,249,113,263,143,263,143,263,143,249,113,249,113,263,143,249,113,254.48519999999996,124.75389999999999,263.0,143.0,249.0,113.0,249.0,113.0,1.0823045267489713,1.0246913580246915
2f671578-e826-41a8-990b-60d475aeaf0d,11,False,"[(246, 235)]",507,419,132,99,507,246,481,481,246,481,246,481,246,481,246,481,246,481,246,481,246,481,246,481,246,481,246,481,246,481.0,246.0,481.0,246.0,481.0,246.0,481.0,246.0,1.0,1.0
2f671578-e826-41a8-990b-60d475aeaf0d,11,False,"[(235, 246)]",419,507,99,132,419,235,481,481,235,481,235,481,235,481,235,481,235,481,235,481,235,481,235,481,235,481,235,481,235,481.0,235.0,481.0,235.0,481.0,235.0,481.0,235.0,1.0,1.0
e3f09c0f-f65c-4276-879c-82d842e1cfed,0,False,"[(110, 99)]",365,331,86,90,365,110,209,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209.0,110.0,209.0,110.0,209.0,110.0,209.0,110.0,1.0,1.0
e3f09c0f-f65c-4276-879c-82d842e1cfed,0,False,"[(99, 110)]",331,365,90,86,331,99,209,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209.0,99.0,209.0,99.0,209.0,99.0,209.0,99.0,1.0,1.0
03360e22-77a9-4358-9abd-08e440f216ae,0,False,"[(276, 299)]",969,1003,265,273,969,276,575,575,276,575,276,575,276,575,276,575,276,575,276,575,276,575,276,575,276,575,276,575,276,575.0,276.0,575.0,276.0,575.0,276.0,575.0,276.0,1.0,1.0
03360e22-77a9-4358-9abd-08e440f216ae,0,False,"[(299, 276)]",1003,969,273,265,1003,299,575,575,299,575,299,575,299,575,299,575,299,575,299,575,299,575,299,575,299,575,299,575,299,575.0,299.0,575.0,299.0,575.0,299.0,575.0,299.0,1.0,1.0
7df37c60-594a-491d-8a03-82f097003cbb,22,False,"[(100, 89)]",375,387,77,80,375,100,189,189,100,189,100,189,100,189,100,189,100,189,100,189,100,189,100,189,100,189,100,189,100,189.0,100.0,189.0,100.0,189.0,100.0,189.0,100.0,1.0,1.0
7df37c60-594a-491d-8a03-82f097003cbb,22,False,"[(89, 100)]",387,375,80,77,387,89,189,189,89,189,89,189,89,189,89,189,89,189,89,189,89,189,89,189,89,189,89,189,89,189.0,89.0,189.0,89.0,189.0,89.0,189.0,89.0,1.0,1.0
9281c710-f65d-4581-902e-535aad6e0695,22,False,"[(106, 129)]",431,431,97,106,431,109,229,235,106,235,106,235,106,235,106,235,106,235,106,235,106,235,106,235,106,235,106,235,106,235.0,106.0,235.0,106.0,235.0,106.0,235.0,106.0,1.0262008733624455,1.0262008733624455
9281c710-f65d-4581-902e-535aad6e0695,22,False,"[(129, 106)]",431,431,106,97,431,120,229,235,129,235,129,235,129,235,129,235,129,235,129,235,129,235,129,235,129,235,129,235,129,235.0,129.0,235.0,129.0,235.0,129.0,235.0,129.0,1.0262008733624455,1.0262008733624455
8deac7be-9125-4605-aac0-5c702ab4a46e,23,False,"[(179, 168), (161, 184)]",419,365,99,82,419,161,345,345,161,347,179,345,161,345,161,347,179,347,179,347,179,347,179,347,179,345,161,345,161,346.07590000000005,170.6826,347.0,179.0,345.0,161.0,346.9991,178.9919,1.0057971014492753,1.0
8deac7be-9125-4605-aac0-5c702ab4a46e,23,False,"[(168, 179), (184, 161)]",365,419,82,99,365,184,345,345,184,347,168,345,184,345,184,347,168,347,168,347,168,347,168,347,168,345,184,345,184,346.07590000000005,175.3933,347.0,168.0,345.0,184.0,346.9991,168.0072,1.0057971014492753,1.0
