eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
092f20bc-3743-483b-b84f-d8050a85d301,12,False,"[(109, 86), (80, 91)]",243,255,67,71,243,80,171,171,80,171,80,171,80,171,80,171,80,171,80,171,80,171,80,171,80,195,109,171,80,171.0,80.0,171.0,80.0,174.42200000000003,84.13489999999999,171.0,80.0,1.1403508771929824,1.0
092f20bc-3743-483b-b84f-d8050a85d301,12,False,"[(86, 109), (91, 80)]",255,243,71,67,255,91,171,171,91,171,91,171,91,171,91,171,91,171,91,171,91,171,91,171,91,195,86,171,91,171.0,91.0,171.0,91.0,174.42200000000003,90.28710000000001,171.0,91.0,1.1403508771929824,1.0
df8aefc2-2036-4a47-bdc8-f41e1e784f6a,22,False,"[(95, 106), (86, 109)]",243,277,72,79,243,99,187,195,86,201,95,195,86,195,86,201,95,195,86,201,95,195,86,195,86,201,95,195,86,195.0,86.0,195.0,86.0,196.406,88.10900000000001,195.0,86.0,1.0748663101604279,1.0427807486631016
df8aefc2-2036-4a47-bdc8-f41e1e784f6a,22,False,"[(106, 95), (109, 86)]",277,243,79,72,277,88,187,195,109,201,106,195,109,195,109,201,106,195,109,201,106,195,109,195,109,201,106,195,109,195.0,109.0,195.0,109.0,196.406,108.297,195.0,109.0,1.0748663101604279,1.0427807486631016
f5161943-1042-428c-9e8a-a5c2c3ecd1ec,11,False,"[(90, 113), (98, 87)]",243,243,80,75,243,98,185,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,185,98,203,90,185,98,190.8236,95.4118,185.0,98.0,189.29859999999996,96.08959999999999,185.0,98.0,1.0972972972972972,1.0
f5161943-1042-428c-9e8a-a5c2c3ecd1ec,11,False,"[(113, 90), (87, 98)]",243,243,75,80,243,87,185,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,185,87,203,113,185,87,190.8236,95.4118,185.0,87.0,189.29859999999996,93.209,185.0,87.0,1.0972972972972972,1.0
c7fb8ad7-ce4b-4a92-ab8c-32c1b78013b0,11,False,"[(79, 102)]",287,287,65,80,287,79,181,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181,79,181.0,79.0,181.0,79.0,181.0,79.0,181.0,79.0,1.0,1.0
c7fb8ad7-ce4b-4a92-ab8c-32c1b78013b0,11,False,"[(102, 79)]",287,287,80,65,287,102,181,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181,102,181.0,102.0,181.0,102.0,181.0,102.0,181.0,102.0,1.0,1.0
59414f4d-352f-4c69-a904-9112d65c62f3,1,False,"[(90, 67)]",255,243,61,58,255,81,151,157,90,157,90,157,90,157,90,157,90,157,90,157,90,157,90,157,90,157,90,157,90,157.0,90.0,157.0,90.0,157.0,90.0,157.0,90.0,1.0397350993377483,1.0397350993377483
59414f4d-352f-4c69-a904-9112d65c62f3,1,False,"[(67, 90)]",243,255,58,61,243,70,151,157,67,157,67,157,67,157,67,157,67,157,67,157,67,157,67,157,67,157,67,157,67,157.0,67.0,157.0,67.0,157.0,67.0,157.0,67.0,1.0397350993377483,1.0397350993377483
