eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
5883b88b-88b4-44ea-a5a4-519740be7ba9,22,False,"[(119, 142)]",299,299,110,110,299,122,255,261,119,261,119,261,119,261,119,261,119,261,119,261,119,261,119,261,119,261,119,261,119,261.0,119.0,261.0,119.0,261.0,119.0,261.0,119.0,1.0235294117647058,1.0235294117647058
5883b88b-88b4-44ea-a5a4-519740be7ba9,22,False,"[(142, 119)]",299,299,110,110,299,133,255,261,142,261,142,261,142,261,142,261,142,261,142,261,142,261,142,261,142,261,142,261,142,261.0,142.0,261.0,142.0,261.0,142.0,261.0,142.0,1.0235294117647058,1.0235294117647058
6a9433a5-cf44-4b00-8fd3-f51443f03be8,22,False,"[(108, 85), (100, 89)]",299,299,76,76,299,99,187,193,108,189,100,189,100,189,100,189,100,189,100,189,100,189,100,189,100,193,108,189,100,190.26959999999997,102.53909999999999,189.0,100.0,189.0,100.0,189.0,100.0,1.032085561497326,1.0106951871657754
6a9433a5-cf44-4b00-8fd3-f51443f03be8,22,False,"[(85, 108), (89, 100)]",299,299,76,76,299,88,187,193,85,189,89,189,89,189,89,189,89,189,89,189,89,189,89,189,89,193,85,189,89,190.26959999999997,87.7305,189.0,89.0,189.0,89.0,189.0,89.0,1.032085561497326,1.0106951871657754
ab1d15d7-c1de-4089-8260-3be4209b99ff,0,False,"[(131, 154)]",441,487,117,132,441,131,285,285,131,285,131,285,131,285,131,285,131,285,131,285,131,285,131,285,131,285,131,285,131,285.0,131.0,285.0,131.0,285.0,131.0,285.0,131.0,1.0,1.0
ab1d15d7-c1de-4089-8260-3be4209b99ff,0,False,"[(154, 131)]",487,441,132,117,487,154,285,285,154,285,154,285,154,285,154,285,154,285,154,285,154,285,154,285,154,285,154,285,154,285.0,154.0,285.0,154.0,285.0,154.0,285.0,154.0,1.0,1.0
d0a60c4c-4cde-486b-8e94-745332da5bdf,11,False,"[(343, 354)]",375,397,136,153,375,329,691,697,343,697,343,697,343,697,343,697,343,697,343,697,343,697,343,697,343,697,343,697,343,697.0,343.0,697.0,343.0,697.0,343.0,697.0,343.0,1.0086830680173662,1.0086830680173662
d0a60c4c-4cde-486b-8e94-745332da5bdf,11,False,"[(354, 343)]",397,375,153,136,397,362,691,697,354,697,354,697,354,697,354,697,354,697,354,697,354,697,354,697,354,697,354,697,354,697.0,354.0,697.0,354.0,697.0,354.0,697.0,354.0,1.0086830680173662,1.0086830680173662
ace80d7c-e324-4937-bbf4-e4826e7bc04a,0,False,"[(97, 120), (101, 112)]",309,377,70,102,309,100,211,217,97,213,101,213,101,213,101,213,101,217,97,217,97,213,101,213,101,217,97,213,101,214.53840000000002,99.4615,217.0,97.0,213.0,101.0,213.0,101.0,1.028436018957346,1.009478672985782
ace80d7c-e324-4937-bbf4-e4826e7bc04a,0,False,"[(120, 97), (112, 101)]",377,309,102,70,377,111,211,217,120,213,112,213,112,213,112,213,112,217,120,217,120,213,112,213,112,217,120,213,112,214.53840000000002,115.07690000000002,217.0,120.0,213.0,112.0,213.0,112.0,1.028436018957346,1.009478672985782
