eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
8ddaf6ca-6730-4cc7-b3d4-a3a3dfff47bd,23,False,"[(433, 456)]",1002,860,334,300,1002,436,883,889,433,889,433,889,433,889,433,889,433,889,433,889,433,889,433,889,433,889,433,889,433,889.0,433.0,889.0,433.0,889.0,433.0,889.0,433.0,1.0067950169875424,1.0067950169875424
8ddaf6ca-6730-4cc7-b3d4-a3a3dfff47bd,23,False,"[(456, 433)]",860,1002,300,334,860,447,883,889,456,889,456,889,456,889,456,889,456,889,456,889,456,889,456,889,456,889,456,889,456,889.0,456.0,889.0,456.0,889.0,456.0,889.0,456.0,1.0067950169875424,1.0067950169875424
189140fe-e26c-48d6-bac4-f2ea68b65580,0,False,"[(207, 196), (215, 192)]",630,584,192,178,630,206,401,407,215,403,207,403,207,403,207,403,207,407,215,403,207,403,207,403,207,407,215,403,207,404.4018000000001,209.80360000000002,403.0,207.0,403.0,207.0,407.0,215.0,1.0149625935162094,1.0049875311720697
189140fe-e26c-48d6-bac4-f2ea68b65580,0,False,"[(196, 207), (192, 215)]",584,630,178,192,584,195,401,407,192,403,196,403,196,403,196,403,196,407,192,403,196,403,196,403,196,407,192,403,196,404.4018000000001,194.59820000000002,403.0,196.0,403.0,196.0,407.0,192.0,1.0149625935162094,1.0049875311720697
c7740c80-1294-49f3-9e3d-4826aa8d3564,11,False,"[(142, 153), (151, 140)]",408,386,128,116,408,151,291,291,151,291,151,291,151,291,151,295,142,291,151,291,151,291,151,291,151,295,142,291,151,292.56140000000005,147.48700000000002,291.0,151.0,291.0,151.0,291.0,151.0,1.013745704467354,1.0
c7740c80-1294-49f3-9e3d-4826aa8d3564,11,False,"[(153, 142), (140, 151)]",386,408,116,128,386,140,291,291,140,291,140,291,140,291,140,295,153,291,140,291,140,291,140,291,140,295,153,291,140,292.56140000000005,145.0744,291.0,140.0,291.0,140.0,291.0,140.0,1.013745704467354,1.0
e0b53e21-5854-4d5c-88bd-e0b2836fea71,1,False,"[(140, 117), (130, 153)]",354,342,111,108,354,131,251,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,257,140,283,130,257,140,262.6719,137.8185,257.0,140.0,257.0,140.0,263.2174,137.6087,1.1274900398406376,1.0239043824701195
e0b53e21-5854-4d5c-88bd-e0b2836fea71,1,False,"[(117, 140), (153, 130)]",342,354,108,111,342,120,251,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,257,117,283,153,257,117,262.6719,124.8534,257.0,117.0,257.0,117.0,263.2174,125.6087,1.1274900398406376,1.0239043824701195
6787e65a-d1ac-4e9a-956a-01b66d7d9d2a,0,False,"[(83, 72), (87, 64)]",300,254,58,47,300,78,145,151,87,155,83,151,87,151,87,155,83,151,87,155,83,151,87,151,87,155,83,151,87,152.21800000000002,85.78210000000001,151.0,87.0,151.0,87.0,151.0,87.0,1.0689655172413792,1.0413793103448277
6787e65a-d1ac-4e9a-956a-01b66d7d9d2a,0,False,"[(72, 83), (64, 87)]",254,300,47,58,254,67,145,151,64,155,72,151,64,151,64,155,72,151,64,155,72,151,64,151,64,155,72,151,64,152.21800000000002,66.4359,151.0,64.0,151.0,64.0,151.0,64.0,1.0689655172413792,1.0413793103448277
