eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
c363fa1f-6225-4483-9c9e-743292895d67,1,False,"[(54, 65), (50, 73)]",155,167,41,41,155,53,117,123,50,119,54,119,54,119,54,119,54,119,54,119,54,119,54,119,54,123,50,119,54,119.0,54.0,119.0,54.0,120.30770000000001,52.6923,119.33340000000001,53.666700000000006,1.0512820512820513,1.017094017094017
c363fa1f-6225-4483-9c9e-743292895d67,1,False,"[(65, 54), (73, 50)]",167,155,41,41,167,64,117,123,73,119,65,119,65,119,65,119,65,119,65,119,65,119,65,119,65,123,73,119,65,119.0,65.0,119.0,65.0,120.30770000000001,67.6154,119.33340000000001,65.6667,1.0512820512820513,1.017094017094017
22ce48eb-7b67-49d9-b88c-f3d190a2037c,23,False,"[(71, 48), (63, 86)]",167,133,44,25,167,62,113,119,71,119,71,119,71,119,71,119,71,119,71,119,71,119,71,119,71,149,63,119,71,119.0,71.0,119.0,71.0,123.4042,69.8256,119.0,71.0,1.3185840707964602,1.0530973451327434
22ce48eb-7b67-49d9-b88c-f3d190a2037c,23,False,"[(48, 71), (86, 63)]",133,167,25,44,133,51,113,119,48,119,48,119,48,119,48,119,48,119,48,119,48,119,48,119,48,149,86,119,48,119.0,48.0,119.0,48.0,123.4042,53.578599999999994,119.0,48.0,1.3185840707964602,1.0530973451327434
f6c53d22-4acb-412a-8624-22457a6e154b,11,False,"[(49, 60), (58, 47)]",155,155,38,41,155,58,105,105,58,105,58,105,58,105,58,109,49,105,58,105,58,105,58,105,58,109,49,105,58,105.0,58.0,105.0,58.0,106.65440000000001,54.2774,107.0,53.5,1.0380952380952382,1.0
f6c53d22-4acb-412a-8624-22457a6e154b,11,False,"[(60, 49), (47, 58)]",155,155,41,38,155,47,105,105,47,105,47,105,47,105,47,109,60,105,47,105,47,105,47,105,47,109,60,105,47,105.0,47.0,105.0,47.0,106.65440000000001,52.376999999999995,107.0,53.5,1.0380952380952382,1.0
52b89531-006c-4fc4-8962-f94f018e1c0e,0,False,"[(526, 503)]",1433,1387,516,489,1433,526,1029,1029,526,1029,526,1029,526,1029,526,1029,526,1029,526,1029,526,1029,526,1029,526,1029,526,1029,526,1029.0,526.0,1029.0,526.0,1029.0,526.0,1029.0,526.0,1.0,1.0
52b89531-006c-4fc4-8962-f94f018e1c0e,0,False,"[(503, 526)]",1387,1433,489,516,1387,503,1029,1029,503,1029,503,1029,503,1029,503,1029,503,1029,503,1029,503,1029,503,1029,503,1029,503,1029,503,1029.0,503.0,1029.0,503.0,1029.0,503.0,1029.0,503.0,1.0,1.0
9052edac-5959-4f7f-958b-dcad79b3c62f,11,False,"[(60, 49)]",155,155,40,40,155,60,109,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109,60,109.0,60.0,109.0,60.0,109.0,60.0,109.0,60.0,1.0,1.0
9052edac-5959-4f7f-958b-dcad79b3c62f,11,False,"[(49, 60)]",155,155,40,40,155,49,109,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109,49,109.0,49.0,109.0,49.0,109.0,49.0,109.0,49.0,1.0,1.0
71cc4664-724c-4292-bf36-de627119041f,22,False,"[(132, 121), (130, 175), (136, 103)]",243,255,85,85,243,130,227,239,136,253,132,239,136,239,136,253,132,253,132,253,132,239,136,239,136,305,130,239,136,239.0,136.0,239.0,136.0,243.83270000000002,134.6192,274.35720000000003,131.17860000000002,1.3436123348017621,1.052863436123348
71cc4664-724c-4292-bf36-de627119041f,22,False,"[(121, 132), (175, 130), (103, 136)]",255,243,85,85,255,97,227,239,103,253,121,239,103,239,103,253,121,253,121,253,121,239,103,239,103,305,175,239,103,239.0,103.0,239.0,103.0,243.83270000000002,109.21350000000001,274.35720000000003,143.17860000000002,1.3436123348017621,1.052863436123348
b6118b62-b367-4648-855e-8bfbc8d891a6,22,False,"[(243, 220)]",585,585,218,211,585,243,463,463,243,463,243,463,243,463,243,463,243,463,243,463,243,463,243,463,243,463,243,463,243,463.0,243.0,463.0,243.0,463.0,243.0,463.0,243.0,1.0,1.0
b6118b62-b367-4648-855e-8bfbc8d891a6,22,False,"[(220, 243)]",585,585,211,218,585,220,463,463,220,463,220,463,220,463,220,463,220,463,220,463,220,463,220,463,220,463,220,463,220,463.0,220.0,463.0,220.0,463.0,220.0,463.0,220.0,1.0,1.0
7956dba6-cbfd-4489-9961-dce395409fbf,11,False,"[(90, 67)]",199,177,58,67,199,81,151,157,90,157,90,157,90,157,90,157,90,157,90,157,90,157,90,157,90,157,90,157,90,157.0,90.0,157.0,90.0,157.0,90.0,157.0,90.0,1.0397350993377483,1.0397350993377483
7956dba6-cbfd-4489-9961-dce395409fbf,11,False,"[(67, 90)]",177,199,67,58,177,70,151,157,67,157,67,157,67,157,67,157,67,157,67,157,67,157,67,157,67,157,67,157,67,157.0,67.0,157.0,67.0,157.0,67.0,157.0,67.0,1.0397350993377483,1.0397350993377483
abd5a3f8-985b-4723-8c9a-056d30195a7b,1,False,"[(110, 133)]",309,321,101,104,309,113,237,243,110,243,110,243,110,243,110,243,110,243,110,243,110,243,110,243,110,243,110,243,110,243.0,110.0,243.0,110.0,243.0,110.0,243.0,110.0,1.0253164556962024,1.0253164556962024
abd5a3f8-985b-4723-8c9a-056d30195a7b,1,False,"[(133, 110)]",321,309,104,101,321,124,237,243,133,243,133,243,133,243,133,243,133,243,133,243,133,243,133,243,133,243,133,243,133,243.0,133.0,243.0,133.0,243.0,133.0,243.0,133.0,1.0253164556962024,1.0253164556962024
23b61d1a-cf04-4e17-a466-ed7265e1377c,11,False,"[(90, 79)]",221,199,72,68,221,90,169,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169,90,169.0,90.0,169.0,90.0,169.0,90.0,169.0,90.0,1.0,1.0
23b61d1a-cf04-4e17-a466-ed7265e1377c,11,False,"[(79, 90)]",199,221,68,72,199,79,169,169,79,169,79,169,79,169,79,169,79,169,79,169,79,169,79,169,79,169,79,169,79,169.0,79.0,169.0,79.0,169.0,79.0,169.0,79.0,1.0,1.0
a4b07782-ba07-4a38-a5d7-0bbd23b630d1,23,False,"[(99, 76), (78, 89), (77, 100)]",155,133,51,37,155,72,155,175,99,167,78,167,78,167,78,167,78,175,99,175,99,167,78,167,78,177,77,167,78,168.1286,80.9626,167.0,78.0,170.4627,87.0896,174.76479999999998,98.38239999999999,1.1419354838709677,1.0774193548387097
a4b07782-ba07-4a38-a5d7-0bbd23b630d1,23,False,"[(76, 99), (89, 78), (100, 77)]",133,155,37,51,133,83,155,175,76,167,89,167,89,167,89,167,89,175,76,175,76,167,89,167,89,177,100,167,89,168.1286,87.166,167.0,89.0,170.4627,83.3731,174.76479999999998,76.38239999999999,1.1419354838709677,1.0774193548387097
43732811-d8ca-48d4-84ee-161a7f022307,22,False,"[(72, 83), (90, 79), (98, 75)]",221,233,58,65,221,72,155,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,173,98,155,72,155.0,72.0,155.0,72.0,159.04829999999998,77.8475,155.0,72.0,1.1161290322580646,1.0
43732811-d8ca-48d4-84ee-161a7f022307,22,False,"[(83, 72), (79, 90), (75, 98)]",233,221,65,58,233,83,155,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,173,75,155,83,155.0,83.0,155.0,83.0,159.04829999999998,81.20079999999999,155.0,83.0,1.1161290322580646,1.0
