eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
90bdad29-3ca2-43d1-9e71-0370f4ba4aa9,11,False,"[(126, 59), (84, 95)]",199,155,66,51,199,84,179,185,126,179,84,179,84,179,84,179,84,185,126,179,84,185,126,185,126,179,84,179,84,182.21429999999998,106.5,183.2308,113.6154,182.0396,105.2775,179.0,84.0,1.0335195530726258,1.0
f86be649-570b-448b-a2f1-3486af51f452,0,False,"[(81, 70), (52, 75)]",155,201,29,40,155,55,121,127,52,127,52,127,52,127,52,151,81,127,52,127,52,127,52,127,52,151,81,127,52,127.0,52.0,127.0,52.0,129.86509999999998,55.462,127.0,52.0,1.2479338842975207,1.0495867768595042
f86be649-570b-448b-a2f1-3486af51f452,0,False,"[(70, 81), (75, 52)]",201,155,40,29,201,66,121,127,75,127,75,127,75,127,75,151,70,127,75,127,75,127,75,127,75,151,70,127,75,127.0,75.0,127.0,75.0,129.86509999999998,74.4031,127.0,75.0,1.2479338842975207,1.0495867768595042
0996587e-ef1a-49f6-8b96-7d8ffbe71e9f,0,False,"[(43, 66)]",155,201,29,47,155,43,109,109,43,109,43,109,43,109,43,109,43,109,43,109,43,109,43,109,43,109,43,109,43,109.0,43.0,109.0,43.0,109.0,43.0,109.0,43.0,1.0,1.0
0996587e-ef1a-49f6-8b96-7d8ffbe71e9f,0,False,"[(66, 43)]",201,155,47,29,201,66,109,109,66,109,66,109,66,109,66,109,66,109,66,109,66,109,66,109,66,109,66,109,66,109.0,66.0,109.0,66.0,109.0,66.0,109.0,66.0,1.0,1.0
cf3e7a05-82f3-43e9-b8c2-93a19a47eb6d,0,False,"[(76, 53), (51, 62)]",155,201,37,44,155,51,113,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,113,51,129,76,113,51,113.0,51.0,113.0,51.0,116.23039999999997,56.0475,113.0,51.0,1.1415929203539823,1.0
cf3e7a05-82f3-43e9-b8c2-93a19a47eb6d,0,False,"[(53, 76), (62, 51)]",201,155,44,37,201,62,113,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,113,62,129,53,113,62,113.0,62.0,113.0,62.0,116.23039999999997,60.18289999999999,113.0,62.0,1.1415929203539823,1.0
937f48f5-75ce-4f02-bead-b47d45a8536d,1,False,"[(206, 73)]",321,199,96,64,321,197,273,279,206,279,206,279,206,279,206,279,206,279,206,279,206,279,206,279,206,279,206,279,206,279.0,206.0,279.0,206.0,279.0,206.0,279.0,206.0,1.021978021978022,1.021978021978022
937f48f5-75ce-4f02-bead-b47d45a8536d,1,False,"[(73, 206)]",199,321,64,96,199,76,273,279,73,279,73,279,73,279,73,279,73,279,73,279,73,279,73,279,73,279,73,279,73,279.0,73.0,279.0,73.0,279.0,73.0,279.0,73.0,1.021978021978022,1.021978021978022
705f35d0-7346-4c8d-89d4-c64330869c72,22,False,"[(55, 78)]",145,145,47,46,145,55,133,133,55,133,55,133,55,133,55,133,55,133,55,133,55,133,55,133,55,133,55,133,55,133.0,55.0,133.0,55.0,133.0,55.0,133.0,55.0,1.0,1.0
705f35d0-7346-4c8d-89d4-c64330869c72,22,False,"[(78, 55)]",145,145,46,47,145,78,133,133,78,133,78,133,78,133,78,133,78,133,78,133,78,133,78,133,78,133,78,133,78,133.0,78.0,133.0,78.0,133.0,78.0,133.0,78.0,1.0,1.0
3532c671-6fc5-4e98-858d-de757af9c80e,0,False,"[(87, 98), (95, 72)]",311,265,73,58,311,95,167,167,95,167,95,167,95,167,95,185,87,167,95,167,95,167,95,167,95,185,87,167,95,167.0,95.0,167.0,95.0,170.772,93.3236,167.0,95.0,1.1077844311377245,1.0
3532c671-6fc5-4e98-858d-de757af9c80e,0,False,"[(98, 87), (72, 95)]",265,311,58,73,265,72,167,167,72,167,72,167,72,167,72,185,98,167,72,167,72,167,72,167,72,185,98,167,72,167.0,72.0,167.0,72.0,170.772,77.44839999999999,167.0,72.0,1.1077844311377245,1.0
734addd2-dd34-4200-ac74-a64f24aa7f83,11,False,"[(69, 46), (49, 60), (40, 63)]",155,155,29,37,155,40,103,103,40,109,49,103,40,103,40,109,49,109,49,109,49,103,40,103,40,115,69,103,40,103.0,40.0,109.0,54.5,107.5856,51.081900000000005,103.0,40.0,1.116504854368932,1.0
734addd2-dd34-4200-ac74-a64f24aa7f83,11,False,"[(46, 69), (60, 49), (63, 40)]",155,155,37,29,155,63,103,103,63,109,60,103,63,103,63,109,60,109,60,109,60,103,63,103,63,115,46,103,63,103.0,63.0,109.0,54.5,107.5856,56.503699999999995,103.0,63.0,1.116504854368932,1.0
106da939-d62a-478e-992f-e09445dc70ab,0,False,"[(45, 56), (54, 31)]",135,89,31,17,135,45,79,85,54,85,54,85,54,85,54,101,45,85,54,85,54,85,54,85,54,101,45,85,54,85.0,54.0,85.0,54.0,88.013,52.3052,85.0,54.0,1.2784810126582278,1.0759493670886076
106da939-d62a-478e-992f-e09445dc70ab,0,False,"[(56, 45), (31, 54)]",89,135,17,31,89,34,79,85,31,85,31,85,31,85,31,101,56,85,31,85,31,85,31,85,31,101,56,85,31,85.0,31.0,85.0,31.0,88.013,35.7078,85.0,31.0,1.2784810126582278,1.0759493670886076
078bcee0-acdf-4301-a12d-f98cebd42f46,22,False,"[(75, 64), (46, 69)]",145,145,37,37,145,49,109,115,46,115,46,115,46,115,46,139,75,115,46,115,46,115,46,115,46,139,75,115,46,115.0,46.0,131.2352,65.6176,119.1772,51.0475,115.0,46.0,1.275229357798165,1.055045871559633
078bcee0-acdf-4301-a12d-f98cebd42f46,22,False,"[(64, 75), (69, 46)]",145,145,37,37,145,60,109,115,69,115,69,115,69,115,69,139,64,115,69,115,69,115,69,115,69,139,64,115,69,115.0,69.0,131.2352,65.6176,119.1772,68.1297,115.0,69.0,1.275229357798165,1.055045871559633
22077a82-1614-4d24-8d07-4da7124be6f8,1,False,"[(62, 39), (52, 63), (61, 50)]",145,133,35,25,145,53,95,101,62,111,61,101,62,101,62,115,52,101,62,111,61,101,62,101,62,115,52,101,62,101.0001,62.0,105.52940000000001,58.764700000000005,105.1488,59.03660000000001,101.0,62.0,1.2105263157894737,1.063157894736842
22077a82-1614-4d24-8d07-4da7124be6f8,1,False,"[(39, 62), (63, 52), (50, 61)]",133,145,25,35,133,42,95,101,39,111,50,101,39,101,39,115,63,101,39,111,50,101,39,101,39,115,63,101,39,101.0001,39.0001,105.52940000000001,46.764700000000005,105.1488,46.1122,101.0,39.0,1.2105263157894737,1.063157894736842
ba166ec2-ad33-4019-8db0-2e790cdf0ee6,22,False,"[(125, 136)]",309,343,100,104,309,132,253,261,125,261,125,261,125,261,125,261,125,261,125,261,125,261,125,261,125,261,125,261,125,261.0,125.0,261.0,125.0,261.0,125.0,261.0,125.0,1.0316205533596838,1.0316205533596838
ba166ec2-ad33-4019-8db0-2e790cdf0ee6,22,False,"[(136, 125)]",343,309,104,100,343,121,253,261,136,261,136,261,136,261,136,261,136,261,136,261,136,261,136,261,136,261,136,261,136,261.0,136.0,261.0,136.0,261.0,136.0,261.0,136.0,1.0316205533596838,1.0316205533596838
