eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
a8a3b174-87fa-49da-ad7d-b870c667a88a,22,False,"[(95, 118)]",321,321,86,86,321,98,207,213,95,213,95,213,95,213,95,213,95,213,95,213,95,213,95,213,95,213,95,213,95,213.0,95.0,213.0,95.0,213.0,95.0,213.0,95.0,1.0289855072463767,1.0289855072463767
a8a3b174-87fa-49da-ad7d-b870c667a88a,22,False,"[(118, 95)]",321,321,86,86,321,109,207,213,118,213,118,213,118,213,118,213,118,213,118,213,118,213,118,213,118,213,118,213,118,213.0,118.0,213.0,118.0,213.0,118.0,213.0,118.0,1.0289855072463767,1.0289855072463767
402c29d8-5655-4a8d-bbfc-508d94fc26dd,11,False,"[(294, 283)]",903,859,271,268,903,294,577,577,294,577,294,577,294,577,294,577,294,577,294,577,294,577,294,577,294,577,294,577,294,577.0,294.0,577.0,294.0,577.0,294.0,577.0,294.0,1.0,1.0
402c29d8-5655-4a8d-bbfc-508d94fc26dd,11,False,"[(283, 294)]",859,903,268,271,859,283,577,577,283,577,283,577,283,577,283,577,283,577,283,577,283,577,283,577,283,577,283,577,283,577.0,283.0,577.0,283.0,577.0,283.0,577.0,283.0,1.0,1.0
10e0f058-21f8-4c6d-81a2-eab37726049a,1,False,"[(98, 87), (96, 107)]",331,353,78,77,331,98,185,185,98,185,98,185,98,185,98,185,98,203,96,185,98,185,98,185,98,203,96,185,98,203.0,96.0,185.0,98.0,185.0,98.0,186.8302,97.79660000000001,1.0972972972972972,1.0
10e0f058-21f8-4c6d-81a2-eab37726049a,1,False,"[(87, 98), (107, 96)]",353,331,77,78,353,87,185,185,87,185,87,185,87,185,87,185,87,203,107,185,87,185,87,185,87,203,107,185,87,203.0,107.0,185.0,87.0,185.0,87.0,186.8302,89.03359999999998,1.0972972972972972,1.0
b349c99e-3c5b-45a5-8e72-0a81d6a962e2,11,False,"[(118, 151), (120, 131), (113, 168), (129, 96)]",331,287,86,80,331,129,225,225,129,225,129,225,129,225,129,251,120,225,129,225,129,225,129,225,129,281,113,225,129,225.0,129.0,225.0,129.0,225.0,129.0,233.4989,126.0581,1.248888888888889,1.0
b349c99e-3c5b-45a5-8e72-0a81d6a962e2,11,False,"[(151, 118), (131, 120), (168, 113), (96, 129)]",287,331,80,86,287,96,225,225,96,225,96,225,96,225,96,251,131,225,96,225,96,225,96,225,96,281,168,225,96,225.0,96.0,225.0,96.0,225.0,96.0,233.4989,107.4408,1.248888888888889,1.0
1cd33b33-640e-4e95-8a58-f8c4191f630b,23,False,"[(263, 240)]",673,717,196,213,673,254,497,503,263,503,263,503,263,503,263,503,263,503,263,503,263,503,263,503,263,503,263,503,263,503.0,263.0,503.0,263.0,503.0,263.0,503.0,263.0,1.012072434607646,1.012072434607646
1cd33b33-640e-4e95-8a58-f8c4191f630b,23,False,"[(240, 263)]",717,673,213,196,717,243,497,503,240,503,240,503,240,503,240,503,240,503,240,503,240,503,240,503,240,503,240,503,240,503.0,240.0,503.0,240.0,503.0,240.0,503.0,240.0,1.012072434607646,1.012072434607646
37d9f67c-2a57-4f31-b1c0-1a5af3c4641e,0,False,"[(102, 91), (89, 100), (85, 108)]",331,377,65,76,331,88,187,193,85,189,89,189,89,189,89,193,102,193,85,189,89,189,89,189,89,193,102,189,89,193.0,85.0,189.0,89.0,189.00009999999997,89.0001,189.7215,91.3449,1.032085561497326,1.0106951871657754
37d9f67c-2a57-4f31-b1c0-1a5af3c4641e,0,False,"[(91, 102), (100, 89), (108, 85)]",377,331,76,65,377,99,187,193,108,189,100,189,100,189,100,193,91,193,108,189,100,189,100,189,100,193,91,189,100,193.0,108.0,189.0,100.0,189.00009999999997,100.0,189.7215,98.3766,1.032085561497326,1.0106951871657754
acb08d34-9da8-4c29-85f0-cc233f49540e,23,False,"[(87, 110)]",331,321,69,72,331,90,191,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197,87,197.0,87.0,197.0,87.0,197.0,87.0,197.0,87.0,1.031413612565445,1.031413612565445
acb08d34-9da8-4c29-85f0-cc233f49540e,23,False,"[(110, 87)]",321,331,72,69,321,101,191,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197,110,197.0,110.0,197.0,110.0,197.0,110.0,197.0,110.0,1.031413612565445,1.031413612565445
e652142a-749d-4770-96a8-4438065a190b,11,False,"[(104, 93), (91, 102), (108, 75)]",321,265,68,61,321,108,183,183,108,193,91,183,108,183,108,197,104,183,108,183,108,183,108,183,108,197,104,183,108,183.0,108.0,183.0,108.0,183.0,108.0,186.4216,102.1833,1.0765027322404372,1.0
e652142a-749d-4770-96a8-4438065a190b,11,False,"[(93, 104), (102, 91), (75, 108)]",265,321,61,68,265,75,183,183,75,193,102,183,75,183,75,197,93,183,75,183,75,183,75,183,75,197,93,183,75,183.0,75.0,183.0,75.0,183.0,75.0,186.4216,84.23830000000001,1.0765027322404372,1.0
682391a9-eb3b-43d5-b177-4f6337fb595e,11,False,"[(114, 69), (110, 77)]",331,309,64,60,331,105,177,183,114,187,110,183,114,183,114,187,110,187,110,187,110,183,114,183,114,187,110,183,114,187.0,110.0,183.0,114.0,183.0,114.0,184.4076,112.5924,1.0564971751412429,1.0338983050847457
682391a9-eb3b-43d5-b177-4f6337fb595e,11,False,"[(69, 114), (77, 110)]",309,331,60,64,309,72,177,183,69,187,77,183,69,183,69,187,77,187,77,187,77,183,69,183,69,187,77,183,69,187.0,77.0,183.0,69.0,183.0,69.0,184.4076,71.8152,1.0564971751412429,1.0338983050847457
12ed77b7-becf-4d5b-ac90-62e01aa7152d,22,False,"[(90, 101)]",321,309,73,69,321,90,191,191,90,191,90,191,90,191,90,191,90,191,90,191,90,191,90,191,90,191,90,191,90,191.0,90.0,191.0,90.0,191.0,90.0,191.0,90.0,1.0,1.0
12ed77b7-becf-4d5b-ac90-62e01aa7152d,22,False,"[(101, 90)]",309,321,69,73,309,101,191,191,101,191,101,191,101,191,101,191,101,191,101,191,101,191,101,191,101,191,101,191,101,191.0,101.0,191.0,101.0,191.0,101.0,191.0,101.0,1.0,1.0
7ea8b929-3f45-4bd9-ba57-b9566557f177,11,False,"[(134, 111)]",375,397,98,91,375,125,239,245,134,245,134,245,134,245,134,245,134,245,134,245,134,245,134,245,134,245,134,245,134,245.0,134.0,245.0,134.0,245.0,134.0,245.0,134.0,1.0251046025104602,1.0251046025104602
7ea8b929-3f45-4bd9-ba57-b9566557f177,11,False,"[(111, 134)]",397,375,91,98,397,114,239,245,111,245,111,245,111,245,111,245,111,245,111,245,111,245,111,245,111,245,111,245,111,245.0,111.0,245.0,111.0,245.0,111.0,245.0,111.0,1.0251046025104602,1.0251046025104602
08bec07c-9482-4531-a05f-e942cea99a6a,1,False,"[(164, 187)]",529,541,155,158,529,167,345,351,164,351,164,351,164,351,164,351,164,351,164,351,164,351,164,351,164,351,164,351,164,351.0,164.0,351.0,164.0,351.0,164.0,351.0,164.0,1.017391304347826,1.017391304347826
08bec07c-9482-4531-a05f-e942cea99a6a,1,False,"[(187, 164)]",541,529,158,155,541,178,345,351,187,351,187,351,187,351,187,351,187,351,187,351,187,351,187,351,187,351,187,351,187,351.0,187.0,351.0,187.0,351.0,187.0,351.0,187.0,1.017391304347826,1.017391304347826
dd24a976-1d48-4bb8-943b-b6fe1b127e4b,22,False,"[(78, 101), (82, 93)]",321,321,69,69,321,81,173,179,78,175,82,175,82,175,82,175,82,175,82,175,82,175,82,175,82,179,78,175,82,175.0,82.0,175.0,82.0,175.0,82.0,176.27729999999997,80.7227,1.0346820809248556,1.0115606936416186
dd24a976-1d48-4bb8-943b-b6fe1b127e4b,22,False,"[(101, 78), (93, 82)]",321,321,69,69,321,92,173,179,101,175,93,175,93,175,93,175,93,175,93,175,93,175,93,175,93,179,101,175,93,175.0,93.0,175.0,93.0,175.0,93.0,176.27729999999997,95.5546,1.0346820809248556,1.0115606936416186
