eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,PoA,PoS
47409bfa-1bbe-46a8-8bba-955fa6f6bd7e,23,True,"[(507, 177)]",507,177,158,54,507,507,684,684,507,684,507,684,507,684,507,684,507,684,507,684,507,684,507,684,507,684,507,684,507,684.0,507.0,684.0,507.0,684.0,507.0,684.0,507.0,1.0,1.0
47409bfa-1bbe-46a8-8bba-955fa6f6bd7e,23,True,"[(177, 507)]",177,507,54,158,177,177,684,684,177,684,177,684,177,684,177,684,177,684,177,684,177,684,177,684,177,684,177,684,177,684.0,177.0,684.0,177.0,684.0,177.0,684.0,177.0,1.0,1.0
128c4619-6b09-47aa-9634-7e685b719b33,12,False,"[(275, 252)]",727,739,243,243,727,275,527,527,275,527,275,527,275,527,275,527,275,527,275,527,275,527,275,527,275,527,275,527,275,527.0,275.0,527.0,275.0,527.0,275.0,527.0,275.0,1.0,1.0
128c4619-6b09-47aa-9634-7e685b719b33,12,False,"[(252, 275)]",739,727,243,243,739,252,527,527,252,527,252,527,252,527,252,527,252,527,252,527,252,527,252,527,252,527,252,527,252,527.0,252.0,527.0,252.0,527.0,252.0,527.0,252.0,1.0,1.0
4151f7dc-66d7-4c6b-9480-18276fc9ea3e,11,True,"[(35, 35)]",35,35,17,17,35,26,63,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.1111111111111112,1.1111111111111112
4151f7dc-66d7-4c6b-9480-18276fc9ea3e,11,True,"[(35, 35)]",35,35,17,17,35,37,63,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70,35,70.0,35.0,70.0,35.0,70.0,35.0,70.0,35.0,1.1111111111111112,1.1111111111111112
7c953c99-4636-4e91-826b-30d585a8961f,23,True,"[(38, 27)]",45,45,19,9,45,37,63,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65.0,38.0,65.0,38.0,65.0,38.0,65.0,38.0,1.0317460317460319,1.0317460317460319
7c953c99-4636-4e91-826b-30d585a8961f,23,True,"[(27, 38)]",45,45,9,19,45,26,63,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65.0,27.0,65.0,27.0,65.0,27.0,65.0,27.0,1.0317460317460319,1.0317460317460319
69a27595-d3b8-44d4-98d2-ba47707040ea,23,False,"[(41, 18)]",45,45,12,9,45,32,53,59,41,59,41,59,41,59,41,59,41,59,41,59,41,59,41,59,41,59,41,59,41,59.0,41.0,59.0,41.0,59.0,41.0,59.0,41.0,1.1132075471698113,1.1132075471698113
69a27595-d3b8-44d4-98d2-ba47707040ea,23,False,"[(18, 41)]",45,45,9,12,45,21,53,59,18,59,18,59,18,59,18,59,18,59,18,59,18,59,18,59,18,59,18,59,18,59.0,18.0,59.0,18.0,59.0,18.0,59.0,18.0,1.1132075471698113,1.1132075471698113
3fdf76dd-32e6-47b1-80b6-d985f1bcc4dc,0,False,"[(26, 15)]",35,23,8,14,26,26,41,41,26,41,26,41,26,41,26,41,26,41,26,41,26,41,26,41,26,41,26,41,26,41.0,26.0,41.0,26.0,41.0,26.0,41.0,26.0,1.0,1.0
3fdf76dd-32e6-47b1-80b6-d985f1bcc4dc,0,False,"[(15, 26)]",23,35,14,8,15,15,41,41,15,41,15,41,15,41,15,41,15,41,15,41,15,41,15,41,15,41,15,41,15,41.0,15.0,41.0,15.0,41.0,15.0,41.0,15.0,1.0,1.0
95157403-681b-4a6f-b288-dc89e49bee18,22,False,"[(25, 58)]",79,89,25,26,79,25,83,83,25,83,25,83,25,83,25,83,25,83,25,83,25,83,25,83,25,83,25,83,25,83.0,25.0,83.0,25.0,83.0,25.0,83.0,25.0,1.0,1.0
95157403-681b-4a6f-b288-dc89e49bee18,22,False,"[(58, 25)]",89,79,26,25,89,58,83,83,58,83,58,83,58,83,58,83,58,83,58,83,58,83,58,83,58,83,58,83,58,83.0,58.0,83.0,58.0,83.0,58.0,83.0,58.0,1.0,1.0
df838cdd-65fd-42ba-8742-34c326b8ff4a,22,False,"[(57, 34)]",79,79,25,25,79,48,85,91,57,91,57,91,57,91,57,91,57,91,57,91,57,91,57,91,57,91,57,91,57,91.0,57.0,91.0,57.0,91.0,57.0,91.0,57.0,1.0705882352941176,1.0705882352941176
df838cdd-65fd-42ba-8742-34c326b8ff4a,22,False,"[(34, 57)]",79,79,25,25,79,37,85,91,34,91,34,91,34,91,34,91,34,91,34,91,34,91,34,91,34,91,34,91,34,91.0,34.0,91.0,34.0,91.0,34.0,91.0,34.0,1.0705882352941176,1.0705882352941176
d1361acd-53c9-452f-91ec-d1db6a681ac6,12,False,"[(36, 59)]",67,101,22,38,67,39,89,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95.0,36.0,95.0,36.0,95.0,36.0,95.0,36.0,1.0674157303370786,1.0674157303370786
d1361acd-53c9-452f-91ec-d1db6a681ac6,12,False,"[(59, 36)]",101,67,38,22,101,50,89,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95.0,59.0,95.0,59.0,95.0,59.0,95.0,59.0,1.0674157303370786,1.0674157303370786
201b2e53-5105-4c27-b979-888031764c0a,22,True,"[(35, 45)]",35,45,8,9,35,17,67,80,35,80,35,80,35,80,35,80,35,80,35,80,35,80,35,80,35,80,35,80,35,80.0,35.0,80.0,35.0,80.0,35.0,80.0,35.0,1.1940298507462686,1.1940298507462686
