eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
f6af93c2-cb2d-4626-8eb9-a918c4de6c2f,11,False,"[(117, 216), (135, 212)]",309,419,97,129,309,117,333,333,117,347,135,333,117,333,117,347,135,333,117,347,135,333,117,333,117,347,135,333,117,333.0,117.0,333.0,117.0,335.3925,120.0761,333.0,117.0,1.042042042042042,1.0
a3185e5a-8449-4fea-9f91-58eeccd3f8b0,0,True,"[(981, 463)]",981,463,276,115,981,516,1021,1444,981,1444,981,1444,981,1444,981,1444,981,1444,981,1444,981,1444,981,1444,981,1444,981,1444,981,1444.0,981.0,1444.0,981.0,1444.0,981.0,1444.0,981.0,1.4142997061704212,1.4142997061704212
a3185e5a-8449-4fea-9f91-58eeccd3f8b0,0,True,"[(463, 981)]",463,981,115,276,463,505,1021,1444,463,1444,463,1444,463,1444,463,1444,463,1444,463,1444,463,1444,463,1444,463,1444,463,1444,463,1444.0,463.0,1444.0,463.0,1444.0,463.0,1444.0,463.0,1.4142997061704212,1.4142997061704212
5de1ddb3-69e8-4aae-b221-f46ebf1f5d15,0,False,"[(116, 105), (123, 100)]",299,265,93,80,299,114,217,223,123,221,116,221,116,221,116,221,116,223,123,221,116,221,116,221,116,223,123,221,116,221.0,116.0,223.0,123.0,221.8841,119.0942,221.0,116.0,1.0276497695852536,1.0184331797235022
5de1ddb3-69e8-4aae-b221-f46ebf1f5d15,0,False,"[(105, 116), (100, 123)]",265,299,80,93,265,103,217,223,100,221,105,221,105,221,105,221,105,223,100,221,105,221,105,221,105,223,100,221,105,221.0,105.0,223.0,100.0,221.8841,102.78989999999999,221.0,105.0,1.0276497695852536,1.0184331797235022
7a99e87d-2065-4b4e-9107-4d011645a1f4,12,False,"[(71, 94), (81, 70)]",265,277,57,65,265,81,151,151,81,151,81,151,81,151,81,151,81,151,81,151,81,151,81,151,81,165,71,151,81,151.0,81.0,160.4706,74.2353,155.30870000000004,77.92240000000001,151.0,81.0,1.0927152317880795,1.0
7a99e87d-2065-4b4e-9107-4d011645a1f4,12,False,"[(94, 71), (70, 81)]",277,265,65,57,277,70,151,151,70,151,70,151,70,151,70,151,70,151,70,151,70,151,70,151,70,165,94,151,70,151.0,70.0,160.4706,86.2353,155.30870000000004,77.3863,151.0,70.0,1.0927152317880795,1.0
288a8983-2f29-478c-8e51-ac825ad860f1,22,False,"[(101, 90), (88, 99)]",287,299,65,86,287,88,187,187,88,187,88,187,88,187,88,191,101,187,88,187,88,187,88,187,88,191,101,187,88,187.0,88.0,187.0,88.0,188.5892,93.16480000000001,187.0,88.0,1.0213903743315509,1.0
288a8983-2f29-478c-8e51-ac825ad860f1,22,False,"[(90, 101), (99, 88)]",299,287,86,65,299,99,187,187,99,187,99,187,99,187,99,191,90,187,99,187,99,187,99,187,99,191,90,187,99,187.0,99.0,187.0,99.0,188.5892,95.42439999999999,187.0,99.0,1.0213903743315509,1.0
8a1d2d30-0f82-472b-86ab-bbfef41a2317,0,False,"[(83, 60)]",245,199,56,46,245,74,137,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143.0,83.0,143.0,83.0,143.0,83.0,143.0,83.0,1.0437956204379562,1.0437956204379562
8a1d2d30-0f82-472b-86ab-bbfef41a2317,0,False,"[(60, 83)]",199,245,46,56,199,63,137,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143.0,60.0,143.0,60.0,143.0,60.0,143.0,60.0,1.0437956204379562,1.0437956204379562
381304f2-9d6d-447f-a337-a67fde1c9499,22,False,"[(91, 114)]",277,265,82,83,277,91,205,205,91,205,91,205,91,205,91,205,91,205,91,205,91,205,91,205,91,205,91,205,91,205.0,91.0,205.0,91.0,205.0,91.0,205.0,91.0,1.0,1.0
381304f2-9d6d-447f-a337-a67fde1c9499,22,False,"[(114, 91)]",265,277,83,82,265,114,205,205,114,205,114,205,114,205,114,205,114,205,114,205,114,205,114,205,114,205,114,205,114,205.0,114.0,205.0,114.0,205.0,114.0,205.0,114.0,1.0,1.0
2ee18317-1ba2-49da-828e-6439aa592acb,11,False,"[(94, 105), (103, 92), (113, 90)]",277,243,81,78,277,103,195,203,113,195,103,195,103,195,103,199,94,203,113,195,103,195,103,195,103,203,113,195,103,195.0,103.0,203.0,113.0,196.07669999999996,100.57749999999999,195.0,103.0,1.041025641025641,1.0
2ee18317-1ba2-49da-828e-6439aa592acb,11,False,"[(105, 94), (92, 103), (90, 113)]",243,277,78,81,243,92,195,203,90,195,92,195,92,195,92,199,105,203,90,195,92,195,92,195,92,203,90,195,92,195.0,92.0,203.0,90.0,196.07669999999996,95.4992,195.0,92.0,1.041025641025641,1.0
