eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
38624537-e212-4acc-808b-c1ce484b9248,1,False,"[(463, 188), (481, 184)]",893,573,237,165,893,463,651,665,481,651,463,651,463,651,463,651,463,665,481,651,463,651,463,651,463,665,481,651,463,651.0,463.0,665.0,481.0,651.0,463.0,653.7608,466.5496,1.021505376344086,1.0
53d4dc01-80a9-4294-b130-53ab801de2b6,11,False,"[(181, 170)]",519,485,158,156,519,181,351,351,181,351,181,351,181,351,181,351,181,351,181,351,181,351,181,351,181,351,181,351,181,351.0,181.0,351.0,181.0,351.0,181.0,351.0,181.0,1.0,1.0
53d4dc01-80a9-4294-b130-53ab801de2b6,11,False,"[(170, 181)]",485,519,156,158,485,170,351,351,170,351,170,351,170,351,170,351,170,351,170,351,170,351,170,351,170,351,170,351,170,351.0,170.0,351.0,170.0,351.0,170.0,351.0,170.0,1.0,1.0
6b094e79-1e65-428b-ba23-465e3e33b850,22,False,"[(195, 206)]",519,519,186,186,519,195,401,401,195,401,195,401,195,401,195,401,195,401,195,401,195,401,195,401,195,401,195,401,195,401.0,195.0,401.0,195.0,401.0,195.0,401.0,195.0,1.0,1.0
6b094e79-1e65-428b-ba23-465e3e33b850,22,False,"[(206, 195)]",519,519,186,186,519,206,401,401,206,401,206,401,206,401,206,401,206,401,206,401,206,401,206,401,206,401,206,401,206,401.0,206.0,401.0,206.0,401.0,206.0,401.0,206.0,1.0,1.0
ebb0ca12-024b-42b6-9951-bd42ac2b9e0c,0,False,"[(120, 97), (111, 134)]",355,309,97,83,355,111,211,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217,120,245,111,217,120,217.0,120.0,217.0,120.0,217.0,120.0,221.8852,118.4298,1.161137440758294,1.028436018957346
ebb0ca12-024b-42b6-9951-bd42ac2b9e0c,0,False,"[(97, 120), (134, 111)]",309,355,83,97,309,100,211,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,245,134,217,97,217.0,97.0,217.0,97.0,217.0,97.0,221.8852,103.4554,1.161137440758294,1.028436018957346
1488537e-0cef-4d88-869b-3866697495c1,1,False,"[(173, 184), (177, 154)]",387,375,138,131,387,168,325,331,177,331,177,331,177,331,177,357,173,331,177,331,177,331,177,331,177,357,173,331,177,331.0,177.0,339.4118,175.7059,331.0,177.0,334.1468,176.5159,1.0984615384615384,1.0184615384615385
1488537e-0cef-4d88-869b-3866697495c1,1,False,"[(184, 173), (154, 177)]",375,387,131,138,375,157,325,331,154,331,154,331,154,331,154,357,184,331,154,331,154,331,154,331,154,357,184,331,154,331.0,154.0,339.4118,163.7059,331.0,154.0,334.1468,157.6309,1.0984615384615384,1.0184615384615385
f7028f65-440e-4e58-a390-2e6e04ec277a,22,False,"[(123, 146), (130, 119)]",365,365,110,99,365,130,249,249,130,249,130,249,130,249,130,249,130,249,130,249,130,249,130,249,130,269,123,249,130,249.0,130.0,255.4706,127.7353,249.0,130.0,253.17149999999998,128.54,1.0803212851405624,1.0
