eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,PoA,PoS
66a2d7d7-138d-43fd-a58f-df1e56e65352,1,False,"[(86, 75), (64, 87)]",255,243,53,60,255,67,145,151,64,161,86,151,64,151,64,161,86,161,86,161,86,151,64,151,64,161,86,151,64,154.82760000000002,72.42080000000001,151.0,64.0,161.0,86.0,151.0,64.0,1.110344827586207,1.0413793103448277
66a2d7d7-138d-43fd-a58f-df1e56e65352,1,False,"[(75, 86), (87, 64)]",243,255,60,53,243,78,145,151,87,161,75,151,87,151,87,161,75,161,75,161,75,151,87,151,87,161,75,151,87,154.82760000000002,82.4068,151.0,87.0,161.0,75.0,151.0,87.0,1.110344827586207,1.0413793103448277
6d60ba93-5e1b-4498-9ffc-caeec348275a,22,False,"[(85, 152), (94, 127)]",255,265,76,89,255,94,221,237,85,221,94,221,94,221,94,221,94,221,94,221,94,221,94,221,94,237,85,221,94,224.61839999999995,91.9647,221.0,94.0,221.0,94.0,221.0,94.0,1.0723981900452488,1.0
6d60ba93-5e1b-4498-9ffc-caeec348275a,22,False,"[(152, 85), (127, 94)]",265,255,89,76,265,127,221,237,152,221,127,221,127,221,127,221,127,221,127,221,127,221,127,221,127,237,152,221,127,224.61839999999995,132.6537,221.0,127.0,221.0,127.0,221.0,127.0,1.0723981900452488,1.0
546f486b-4c18-4485-aecf-77c5a71c3aed,22,False,"[(78, 101)]",255,255,69,78,255,81,173,179,78,179,78,179,78,179,78,179,78,179,78,179,78,179,78,179,78,179,78,179,78,179.0,78.0,179.0,78.0,179.0,78.0,179.0,78.0,1.0346820809248556,1.0346820809248556
546f486b-4c18-4485-aecf-77c5a71c3aed,22,False,"[(101, 78)]",255,255,78,69,255,92,173,179,101,179,101,179,101,179,101,179,101,179,101,179,101,179,101,179,101,179,101,179,101,179.0,101.0,179.0,101.0,179.0,101.0,179.0,101.0,1.0346820809248556,1.0346820809248556
068b42d9-7063-4027-92d6-9b1d81c8475b,22,False,"[(143, 232), (239, 206)]",485,585,129,151,485,146,369,375,143,375,143,375,143,375,143,445,239,375,143,375,143,375,143,375,143,445,239,375,143,388.7477,161.85399999999998,375.0,143.0,375.0,143.0,375.0,143.0,1.2059620596205962,1.016260162601626
068b42d9-7063-4027-92d6-9b1d81c8475b,22,False,"[(232, 143), (206, 239)]",585,485,151,129,585,223,369,375,232,375,232,375,232,375,232,445,206,375,232,375,232,375,232,375,232,445,206,375,232,388.7477,226.89370000000002,375.0,232.0,375.0,232.0,375.0,232.0,1.2059620596205962,1.016260162601626
108c9d2f-1417-48d6-8a06-055154c59a62,11,False,"[(126, 115)]",441,419,108,104,441,126,241,241,126,241,126,241,126,241,126,241,126,241,126,241,126,241,126,241,126,241,126,241,126,241.0,126.0,241.0,126.0,241.0,126.0,241.0,126.0,1.0,1.0
108c9d2f-1417-48d6-8a06-055154c59a62,11,False,"[(115, 126)]",419,441,104,108,419,115,241,241,115,241,115,241,115,241,115,241,115,241,115,241,115,241,115,241,115,241,115,241,115,241.0,115.0,241.0,115.0,241.0,115.0,241.0,115.0,1.0,1.0
