eid,manhatten_div,path_time_div,is_sp_pne,Potential,SP1(1),SP(2),SP2(1),SP2(2),SP1|SP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai,Individual Time In Kalai,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
d71d3982-5c89-4341-a9d1-928d7c39d131,2,22,False,"[(60, 83), (103, 80)]",200,200,51,61,200,60,143,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143,60,143,60,183,103,143,60,143.0,60.0,146.01080000000002,63.23660000000001,163.0,81.5,143.0,60.0,0.7814207650273224,1.0
d71d3982-5c89-4341-a9d1-928d7c39d131,2,22,False,"[(83, 60), (80, 103)]",200,200,61,51,200,83,143,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143,83,143,83,183,80,143,83,143.0,83.0,146.01080000000002,82.7742,163.0,81.5,143.0,83.0,0.7814207650273224,1.0
bc68584c-aec7-4d89-b379-6c9867cd6add,1,11,False,"[(63, 86), (72, 61)]",200,166,52,44,200,72,133,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,133,72,149,63,133,72,133.0,72.0,136.45999999999998,70.0538,133.0,72.0,133.0,72.0,0.8926174496644296,1.0
bc68584c-aec7-4d89-b379-6c9867cd6add,1,11,False,"[(86, 63), (61, 72)]",166,200,44,52,166,61,133,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,133,61,149,86,133,61,133.0,61.0,136.45999999999998,66.4062,133.0,61.0,133.0,61.0,0.8926174496644296,1.0
913059c2-dc42-4463-a50c-a8e1f6ab935f,1,11,False,"[(98, 121), (125, 114)]",254,254,98,81,254,106,201,219,98,219,98,219,98,219,98,239,125,219,98,219,98,219,98,219,98,239,125,219,98,219.0,98.0,223.48270000000002,104.05170000000001,232.5294,116.2647,219.0,98.0,0.8410041841004184,0.9178082191780822
913059c2-dc42-4463-a50c-a8e1f6ab935f,1,11,False,"[(121, 98), (114, 125)]",254,254,81,98,254,95,201,219,121,219,121,219,121,219,121,239,114,219,121,219,121,219,121,219,121,239,114,219,121,219.0,121.0,223.48270000000002,119.43100000000001,232.5294,116.2647,219.0,121.0,0.8410041841004184,0.9178082191780822
f0a4f1ef-1e87-47d4-a8f3-6b665e430fc4,0,0,False,"[(111, 88), (90, 101)]",244,210,90,74,244,90,191,199,111,191,90,191,90,191,90,191,90,199,111,199,111,191,90,191,90,199,111,191,90,191.00330000000002,90.00880000000001,194.50920000000002,99.21170000000001,199.0,111.0,191.0,90.0,0.9597989949748744,1.0
f0a4f1ef-1e87-47d4-a8f3-6b665e430fc4,0,0,False,"[(88, 111), (101, 90)]",210,244,74,90,210,101,191,199,88,191,101,191,101,191,101,191,101,199,88,199,88,191,101,191,101,199,88,191,101,191.00330000000002,100.9945,194.50920000000002,95.2975,199.0,88.0,191.0,101.0,0.9597989949748744,1.0
394e1e05-aa39-4084-b2b7-ab6f2ace7e59,1,11,True,"[(90, 67), (81, 70), (54, 77)]",210,210,43,48,210,54,131,131,54,131,54,131,54,131,54,151,81,131,54,131,54,131,54,131,54,157,90,131,54,131.0,54.0,137.04649999999998,62.37209999999999,144.0,72.0,131.0,54.0,0.8343949044585988,1.0
394e1e05-aa39-4084-b2b7-ab6f2ace7e59,1,11,True,"[(67, 90), (70, 81), (77, 54)]",210,210,48,43,210,77,131,131,77,131,77,131,77,131,77,151,70,131,77,131,77,131,77,131,77,157,67,131,77,131.0,77.0,137.04649999999998,74.67439999999999,144.0,72.0,131.0,77.0,0.8343949044585988,1.0
