eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
473852e3-b765-4346-934d-a24996205a45,67,True,"[(56, 122)]",56,122,33,32,56,56,178,178,56,178,56,178,56,178,56,178,56,178,56,178,56,178,56,178,56,178,56,178,56,178.0,56.0,178.0,56.0,178.0,56.0,178.0,56.0,1.0,1.0
8bc7cda7-7a3e-43fa-9756-cc9f50d0a415,78,True,"[(100, 112)]",100,112,38,23,100,100,212,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212.0,100.0,212.0,100.0,212.0,100.0,212.0,100.0,1.0,1.0
8bc7cda7-7a3e-43fa-9756-cc9f50d0a415,78,True,"[(112, 100)]",112,100,23,38,112,112,212,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212.0,112.0,212.0,112.0,212.0,112.0,212.0,112.0,1.0,1.0
dccfd7be-ddae-4607-bbeb-b2c84f5adbc3,100,True,"[(110, 198)]",122,244,40,60,122,144,288,308,110,308,110,308,110,308,110,308,110,308,110,308,110,308,110,308,110,308,110,308,110,308.0,110.0,308.0,110.0,308.0,110.0,308.0,110.0,1.0694444444444444,1.0694444444444444
dccfd7be-ddae-4607-bbeb-b2c84f5adbc3,100,True,"[(198, 110)]",244,122,60,40,244,144,288,308,198,308,198,308,198,308,198,308,198,308,198,308,198,308,198,308,198,308,198,308,198,308.0,198.0,308.0,198.0,308.0,198.0,308.0,198.0,1.0694444444444444,1.0694444444444444
0277bd7a-c029-4982-8119-554be39d0027,88,True,"[(122, 112)]",122,112,31,44,122,122,234,234,122,234,122,234,122,234,122,234,122,234,122,234,122,234,122,234,122,234,122,234,122,234.0,122.0,234.0,122.0,234.0,122.0,234.0,122.0,1.0,1.0
0277bd7a-c029-4982-8119-554be39d0027,88,True,"[(112, 122)]",112,122,44,31,112,112,234,234,112,234,112,234,112,234,112,234,112,234,112,234,112,234,112,234,112,234,112,234,112,234.0,112.0,234.0,112.0,234.0,112.0,234.0,112.0,1.0,1.0
de41b316-416d-48c5-b826-ff5657c32f11,78,True,"[(74, 174)]",100,210,19,43,100,141,238,248,74,248,74,248,74,248,74,248,74,248,74,248,74,248,74,248,74,248,74,248,74,248.0,74.0,248.0,74.0,248.0,74.0,248.0,74.0,1.0420168067226891,1.0420168067226891
de41b316-416d-48c5-b826-ff5657c32f11,78,True,"[(174, 74)]",210,100,43,19,210,97,238,248,174,248,174,248,174,248,174,248,174,248,174,248,174,248,174,248,174,248,174,248,174,248.0,174.0,248.0,174.0,248.0,174.0,248.0,174.0,1.0420168067226891,1.0420168067226891
03dcd11c-d162-4551-83b1-9becabef117a,100,True,"[(100, 144)]",100,144,26,27,100,147,228,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244.0,100.0,244.0,100.0,244.0,100.0,244.0,100.0,1.0701754385964912,1.0701754385964912
03dcd11c-d162-4551-83b1-9becabef117a,100,True,"[(144, 100)]",144,100,27,26,144,81,228,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244.0,144.0,244.0,144.0,244.0,144.0,244.0,144.0,1.0701754385964912,1.0701754385964912
883f9d86-581b-490b-9863-16097ee0813a,22,False,"[(214, 1006)]",386,1200,147,422,386,214,1220,1220,214,1220,214,1220,214,1220,214,1220,214,1220,214,1220,214,1220,214,1220,214,1220,214,1220,214,1220.0,214.0,1220.0,214.0,1220.0,214.0,1220.0,214.0,1.0,1.0
883f9d86-581b-490b-9863-16097ee0813a,22,False,"[(1006, 214)]",1200,386,422,147,1200,1006,1220,1220,1006,1220,1006,1220,1006,1220,1006,1220,1006,1220,1006,1220,1006,1220,1006,1220,1006,1220,1006,1220,1006,1220.0,1006.0,1220.0,1006.0,1220.0,1006.0,1220.0,1006.0,1.0,1.0
8f380e69-fbda-4bdf-80a7-f74fec65783e,78,True,"[(100, 78)]",100,78,28,23,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178.0,100.0,178.0,100.0,178.0,100.0,178.0,100.0,1.0,1.0
8f380e69-fbda-4bdf-80a7-f74fec65783e,78,True,"[(78, 100)]",78,100,23,28,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178.0,78.0,178.0,78.0,178.0,78.0,178.0,78.0,1.0,1.0
e2106c6b-5fcd-4770-aa0d-66c4d6d3865c,44,True,"[(122, 178)]",122,178,41,52,122,86,282,300,122,300,122,300,122,300,122,300,122,300,122,300,122,300,122,300,122,300,122,300,122,300.0,122.0,300.0,122.0,300.0,122.0,300.0,122.0,1.0638297872340425,1.0638297872340425
e2106c6b-5fcd-4770-aa0d-66c4d6d3865c,44,True,"[(178, 122)]",178,122,52,41,178,196,282,300,178,300,178,300,178,300,178,300,178,300,178,300,178,300,178,300,178,300,178,300,178,300.0,178.0,300.0,178.0,300.0,178.0,300.0,178.0,1.0638297872340425,1.0638297872340425
8c6318a5-1625-4ad5-ba89-3a1ac50adb8c,66,True,"[(122, 12)]",122,12,50,7,122,122,134,134,122,134,122,134,122,134,122,134,122,134,122,134,122,134,122,134,122,134,122,134,122,134.0,122.0,134.0,122.0,134.0,122.0,134.0,122.0,1.0,1.0
8c6318a5-1625-4ad5-ba89-3a1ac50adb8c,66,True,"[(12, 122)]",12,122,7,50,12,12,134,134,12,134,12,134,12,134,12,134,12,134,12,134,12,134,12,134,12,134,12,134,12,134.0,12.0,134.0,12.0,134.0,12.0,134.0,12.0,1.0,1.0
dc253aac-9071-4a84-b8d9-f2632af87fd1,0,True,"[(100, 188)]",100,300,41,59,100,100,288,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288.0,100.0,288.0,100.0,288.0,100.0,288.0,100.0,1.0,1.0
