eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
7679635c-72a5-4c46-90ed-91c19abb346d,67,True,"[(188, 100)]",188,100,48,23,188,80,259,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288.0,188.0,288.0,188.0,288.0,188.0,288.0,188.0,1.111969111969112,1.111969111969112
c63cfd7d-f2e2-435a-869a-65b32b3ae4c1,67,True,"[(100, 276)]",100,276,37,80,100,146,325,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376,100,376.0,100.0,376.0,100.0,376.0,100.0,376.0,100.0,1.156923076923077,1.156923076923077
c63cfd7d-f2e2-435a-869a-65b32b3ae4c1,67,True,"[(276, 100)]",276,100,80,37,276,179,325,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376,276,376.0,276.0,376.0,276.0,376.0,276.0,376.0,276.0,1.156923076923077,1.156923076923077
5c8c632e-7175-42b4-b2db-61f375d783ec,45,True,"[(122, 320)]",122,320,41,110,122,135,369,442,122,442,122,442,122,442,122,442,122,442,122,442,122,442,122,442,122,442,122,442,122,442.0,122.0,442.0,122.0,442.0,122.0,442.0,122.0,1.1978319783197833,1.1978319783197833
5c8c632e-7175-42b4-b2db-61f375d783ec,45,True,"[(320, 122)]",320,122,110,41,320,234,369,442,320,442,320,442,320,442,320,442,320,442,320,442,320,442,320,442,320,442,320,442,320,442.0,320.0,442.0,320.0,442.0,320.0,442.0,320.0,1.1978319783197833,1.1978319783197833
32e85f86-1bd6-4979-a1af-f6d2aeb74e60,89,True,"[(100, 156)]",100,156,46,48,100,100,256,256,100,256,100,256,100,256,100,256,100,256,100,256,100,256,100,256,100,256,100,256,100,256.0,100.0,256.0,100.0,256.0,100.0,256.0,100.0,1.0,1.0
32e85f86-1bd6-4979-a1af-f6d2aeb74e60,89,True,"[(156, 100)]",156,100,48,46,156,156,256,256,156,256,156,256,156,256,156,256,156,256,156,256,156,256,156,256,156,256,156,256,156,256.0,156.0,256.0,156.0,256.0,156.0,256.0,156.0,1.0,1.0
8b4697e2-31f2-413b-afa6-0f5059a64100,89,True,"[(100, 122)]",100,122,19,27,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.0,1.0
8b4697e2-31f2-413b-afa6-0f5059a64100,89,True,"[(122, 100)]",122,100,27,19,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.0,1.0
a1779c0b-327c-4080-999d-798344fa091c,45,True,"[(133, 210), (146, 179)]",166,332,35,80,166,146,325,343,133,325,146,325,146,325,146,325,146,343,133,343,133,325,146,343,133,325,146,325,146,343.0,133.0,342.99760000000003,133.0017,325.0,146.0,336.8864,137.4153,1.0553846153846154,1.0
a1779c0b-327c-4080-999d-798344fa091c,45,True,"[(210, 133), (179, 146)]",332,166,80,35,332,179,325,343,210,325,179,325,179,325,179,325,179,343,210,343,210,325,179,343,210,325,179,325,179,343.0,210.0,342.99760000000003,209.9959,325.0,179.0,336.8864,199.4711,1.0553846153846154,1.0
271f0335-f2ba-4e81-84ea-87dc4be45b48,111,True,"[(100, 78)]",100,78,32,15,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178.0,100.0,178.0,100.0,178.0,100.0,178.0,100.0,1.0,1.0
271f0335-f2ba-4e81-84ea-87dc4be45b48,111,True,"[(78, 100)]",78,100,15,32,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178.0,78.0,178.0,78.0,178.0,78.0,178.0,78.0,1.0,1.0
6db9fbe5-00cf-4955-88a9-972b4de00e19,100,True,"[(100, 122)]",100,122,36,23,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.0,1.0
6db9fbe5-00cf-4955-88a9-972b4de00e19,100,True,"[(122, 100)]",122,100,23,36,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.0,1.0
f4e9b1ae-4727-428d-b9f3-42cf5b3c05b1,111,True,"[(100, 56)]",100,56,28,11,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
f4e9b1ae-4727-428d-b9f3-42cf5b3c05b1,111,True,"[(56, 100)]",56,100,11,28,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
8030cfda-eb6e-432a-80f6-1125d25d7ccc,77,True,"[(100, 56)]",100,56,19,33,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
8030cfda-eb6e-432a-80f6-1125d25d7ccc,77,True,"[(56, 100)]",56,100,33,19,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
8fc7ca72-c705-4a1c-9ce6-2ded7c88dc09,0,True,"[(101, 200), (97, 208)]",122,332,36,72,122,100,299,305,97,301,101,301,101,301,101,301,101,305,97,305,97,305,97,305,97,301,101,301,101,305.0,97.0,305.0,97.0,301.0,101.0,303.9011,98.0989,1.020066889632107,1.0066889632107023
8fc7ca72-c705-4a1c-9ce6-2ded7c88dc09,0,True,"[(200, 101), (208, 97)]",332,122,72,36,332,199,299,305,208,301,200,301,200,301,200,301,200,305,208,305,208,305,208,305,208,301,200,301,200,305.0,208.0,305.0,208.0,301.0,200.0,303.9011,205.8022,1.020066889632107,1.0066889632107023
854a9432-3ccc-4129-b3c3-ee5af4434551,1893,True,"[(100, 56)]",100,56,36,11,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
854a9432-3ccc-4129-b3c3-ee5af4434551,1893,True,"[(56, 100)]",56,100,11,36,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
6d911021-2dc9-410d-8444-d24e8ff9d02d,101,True,"[(100, 100)]",100,100,28,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
6d911021-2dc9-410d-8444-d24e8ff9d02d,101,True,"[(100, 100)]",100,100,19,28,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
f982ced4-634f-48b6-bb91-48f2b3e75ae9,111,True,"[(100, 210)]",100,210,55,65,100,100,310,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310.0,100.0,310.0,100.0,310.0,100.0,310.0,100.0,1.0,1.0
f982ced4-634f-48b6-bb91-48f2b3e75ae9,111,True,"[(210, 100)]",210,100,65,55,210,210,310,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310.0,210.0,310.0,210.0,310.0,210.0,310.0,210.0,1.0,1.0
018d9e5e-e0ca-4002-b056-9dc750112871,0,False,"[(114, 103)]",122,112,32,40,114,114,217,217,114,217,114,217,114,217,114,217,114,217,114,217,114,217,114,217,114,217,114,217,114,217.0,114.0,217.0,114.0,217.0,114.0,217.0,114.0,1.0,1.0
018d9e5e-e0ca-4002-b056-9dc750112871,0,False,"[(103, 114)]",112,122,40,32,103,103,217,217,103,217,103,217,103,217,103,217,103,217,103,217,103,217,103,217,103,217,103,217,103,217.0,103.0,217.0,103.0,217.0,103.0,217.0,103.0,1.0,1.0
be8c291c-f8f8-4533-bf90-21c955fcec3c,99,False,"[(299, 398), (303, 380)]",606,804,199,244,606,303,683,697,299,683,303,683,303,683,303,683,303,697,299,697,299,683,303,683,303,697,299,683,303,697.0,299.0,683.0,303.0,683.0,303.0,686.2877000000001,302.0606,1.020497803806735,1.0
be8c291c-f8f8-4533-bf90-21c955fcec3c,99,False,"[(398, 299), (380, 303)]",804,606,244,199,804,380,683,697,398,683,380,683,380,683,380,683,380,697,398,697,398,683,380,683,380,697,398,683,380,697.0,398.0,683.0,380.0,683.0,380.0,686.2877000000001,384.2271,1.020497803806735,1.0
b6079ef2-7898-48a2-9c7b-fa1c79267fda,121,True,"[(144, 144)]",144,144,54,35,144,144,288,288,144,288,144,288,144,288,144,288,144,288,144,288,144,288,144,288,144,288,144,288,144,288.0,144.0,288.0,144.0,288.0,144.0,288.0,144.0,1.0,1.0
b6079ef2-7898-48a2-9c7b-fa1c79267fda,121,True,"[(144, 144)]",144,144,35,54,144,144,288,288,144,288,144,288,144,288,144,288,144,288,144,288,144,288,144,288,144,288,144,288,144,288.0,144.0,288.0,144.0,288.0,144.0,288.0,144.0,1.0,1.0
af032f88-2c24-420f-b81f-9346e98accd5,33,False,"[(144, 243), (162, 217), (171, 204), (184, 195)]",210,254,43,94,210,188,365,387,144,379,184,375,171,375,171,379,184,375,171,375,171,375,171,375,171,387,144,375,171,377.0,166.5,375.0004,170.9993,375.0,171.0,377.8769,164.527,1.0602739726027397,1.0273972602739727
af032f88-2c24-420f-b81f-9346e98accd5,33,False,"[(243, 144), (217, 162), (204, 171), (195, 184)]",254,210,94,43,254,177,365,387,243,379,195,375,204,375,204,379,195,375,204,375,204,375,204,375,204,387,243,375,204,377.0,210.5,375.0004,204.0011,375.0,204.0,377.8769,213.3499,1.0602739726027397,1.0273972602739727
5c65cfad-165c-4464-a247-dbd2f239f098,0,False,"[(95, 172), (83, 182), (79, 190)]",100,244,28,47,100,82,263,269,79,267,95,265,83,265,83,267,95,269,79,269,79,269,79,269,79,267,95,265,83,269.0,79.0,269.0,79.0,265.0,83.0,265.68420000000003,82.3158,1.0228136882129277,1.0076045627376427
