eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
d72d1138-7644-4305-b38a-39fc546a6459,1,False,"[(73, 128)]",100,200,37,83,100,73,201,201,73,201,73,201,73,201,73,201,73,201,73,201,73,201,73,201,73,201,73,201,73,201.0,73.0,201.0,73.0,201.0,73.0,201.0,73.0,1.0,1.0
d72d1138-7644-4305-b38a-39fc546a6459,1,False,"[(128, 73)]",200,100,83,37,200,128,201,201,128,201,128,201,128,201,128,201,128,201,128,201,128,201,128,201,128,201,128,201,128,201.0,128.0,201.0,128.0,201.0,128.0,201.0,128.0,1.0,1.0
92824e6c-83b6-47c4-a100-d5c78425fdac,0,False,"[(73, 426)]",166,552,40,184,166,76,493,499,73,499,73,499,73,499,73,499,73,499,73,499,73,499,73,499,73,499,73,499,73,499.0,73.0,499.0,73.0,499.0,73.0,499.0,73.0,1.0121703853955375,1.0121703853955375
92824e6c-83b6-47c4-a100-d5c78425fdac,0,False,"[(426, 73)]",552,166,184,40,552,417,493,499,426,499,426,499,426,499,426,499,426,499,426,499,426,499,426,499,426,499,426,499,426,499.0,426.0,499.0,426.0,499.0,426.0,499.0,426.0,1.0121703853955375,1.0121703853955375
c74f9f41-4961-4c76-a03a-b912188b4345,45,True,"[(90, 45), (86, 53)]",90,90,27,31,90,81,129,135,90,139,86,135,90,135,90,139,86,139,86,139,86,135,90,139,86,135,90,135,90,135.0,90.0,139.0,86.0,138.3963,86.6038,139.0,86.0,1.0775193798449612,1.0465116279069768
c74f9f41-4961-4c76-a03a-b912188b4345,45,True,"[(45, 90), (53, 86)]",90,90,31,27,90,48,129,135,45,139,53,135,45,135,45,139,53,139,53,139,53,135,45,139,53,135,45,135,45,135.0,45.0,139.0,53.0,138.3963,51.7925,139.0,53.0,1.0775193798449612,1.0465116279069768
f576f27d-1f8b-4b10-8da8-0a910a9f3c2f,33,False,"[(102, 57), (57, 90), (53, 98)]",122,156,35,38,122,56,145,151,53,147,57,147,57,147,57,147,57,147,57,147,57,147,57,147,57,159,102,147,57,147.0,57.0,147.0,57.0,150.3529,69.5735,147.3334,56.666700000000006,1.096551724137931,1.013793103448276
f576f27d-1f8b-4b10-8da8-0a910a9f3c2f,33,False,"[(57, 102), (90, 57), (98, 53)]",156,122,38,35,156,89,145,151,98,147,90,147,90,147,90,147,90,147,90,147,90,147,90,147,90,159,57,147,90,147.0,90.0,147.0,90.0,150.3529,80.7794,147.3334,90.6667,1.096551724137931,1.013793103448276
1bea98df-b072-44bc-b615-8d4e008648b1,45,True,"[(124, 79)]",134,178,39,56,134,124,203,203,124,203,124,203,124,203,124,203,124,203,124,203,124,203,124,203,124,203,124,203,124,203.0,124.0,203.0,124.0,203.0,124.0,203.0,124.0,1.0,1.0
1bea98df-b072-44bc-b615-8d4e008648b1,45,True,"[(79, 124)]",178,134,56,39,178,79,203,203,79,203,79,203,79,203,79,203,79,203,79,203,79,203,79,203,79,203,79,203,79,203.0,79.0,203.0,79.0,203.0,79.0,203.0,79.0,1.0,1.0
954f978a-c09c-4a05-ab9b-568b646ec554,0,False,"[(50, 83), (76, 65), (89, 56)]",100,190,23,38,100,50,133,133,50,141,76,133,50,133,50,141,76,133,50,133,50,133,50,133,50,145,89,133,50,133.0,50.0,133.0,50.0,135.4635,58.0064,133.0,50.0,1.0902255639097744,1.0
954f978a-c09c-4a05-ab9b-568b646ec554,0,False,"[(83, 50), (65, 76), (56, 89)]",190,100,38,23,190,83,133,133,83,141,65,133,83,133,83,141,65,133,83,133,83,133,83,133,83,145,56,133,83,133.0,83.0,133.0,83.0,135.4635,77.4571,133.0,83.0,1.0902255639097744,1.0
3661bcbc-9d75-40a3-aebb-5392619ac0f2,1,False,"[(76, 31)]",90,56,22,20,90,67,101,107,76,107,76,107,76,107,76,107,76,107,76,107,76,107,76,107,76,107,76,107,76,107.0,76.0,107.0,76.0,107.0,76.0,107.0,76.0,1.0594059405940595,1.0594059405940595
3661bcbc-9d75-40a3-aebb-5392619ac0f2,1,False,"[(31, 76)]",56,90,20,22,56,34,101,107,31,107,31,107,31,107,31,107,31,107,31,107,31,107,31,107,31,107,31,107,31,107.0,31.0,107.0,31.0,107.0,31.0,107.0,31.0,1.0594059405940595,1.0594059405940595
2c19a540-3b8b-43f8-8112-2893be10d9d1,33,True,"[(100, 56)]",100,56,19,20,100,115,153,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0196078431372548,1.0196078431372548
2c19a540-3b8b-43f8-8112-2893be10d9d1,33,True,"[(56, 100)]",56,100,20,19,56,38,153,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0196078431372548,1.0196078431372548
e25e2888-fc89-4a89-ab94-d654dbf4baa1,33,True,"[(76, 31), (73, 40)]",90,56,31,20,90,67,101,107,76,113,73,107,76,107,76,113,73,113,73,113,73,107,76,107,76,113,73,107,76,107.0,76.0,107.0,76.0,108.97370000000001,75.0132,112.5,73.25,1.118811881188119,1.0594059405940595
e25e2888-fc89-4a89-ab94-d654dbf4baa1,33,True,"[(31, 76), (40, 73)]",56,90,20,31,56,34,101,107,31,113,40,107,31,107,31,113,40,113,40,113,40,107,31,107,31,113,40,107,31,107.0,31.0,107.0,31.0,108.97370000000001,33.960499999999996,112.5,39.25,1.118811881188119,1.0594059405940595
dabe783f-eba0-4f12-b0fa-b97a26c27354,1,False,"[(94, 83), (47, 92)]",100,178,23,51,100,47,139,139,47,139,47,139,47,139,47,177,94,139,47,139,47,139,47,139,47,177,94,139,47,139.0,47.0,139.0,47.0,142.6677,51.5364,139.0,47.0,1.2733812949640289,1.0
dabe783f-eba0-4f12-b0fa-b97a26c27354,1,False,"[(83, 94), (92, 47)]",178,100,51,23,178,92,139,139,92,139,92,139,92,139,92,177,83,139,92,139,92,139,92,139,92,177,83,139,92,139.0,92.0,139.0,92.0,142.6677,91.1313,139.0,92.0,1.2733812949640289,1.0
6cbc365b-0b74-4610-baa2-8f2ebb3fad55,45,True,"[(144, 112)]",144,112,36,31,144,75,183,256,144,256,144,256,144,256,144,256,144,256,144,256,144,256,144,256,144,256,144,256,144,256.0,144.0,256.0,144.0,256.0,144.0,256.0,144.0,1.3989071038251366,1.3989071038251366
6cbc365b-0b74-4610-baa2-8f2ebb3fad55,45,True,"[(112, 144)]",112,144,31,36,112,108,183,256,112,256,112,256,112,256,112,256,112,256,112,256,112,256,112,256,112,256,112,256,112,256.0,112.0,256.0,112.0,256.0,112.0,256.0,112.0,1.3989071038251366,1.3989071038251366
efd76232-a8ad-4d17-bbe3-1e4fa151d17b,45,True,"[(100, 562)]",100,562,28,182,100,100,662,662,100,662,100,662,100,662,100,662,100,662,100,662,100,662,100,662,100,662,100,662,100,662.0,100.0,662.0,100.0,662.0,100.0,662.0,100.0,1.0,1.0
efd76232-a8ad-4d17-bbe3-1e4fa151d17b,45,True,"[(562, 100)]",562,100,182,28,562,562,662,662,562,662,562,662,562,662,562,662,562,662,562,662,562,662,562,662,562,662,562,662,562,662.0,562.0,662.0,562.0,662.0,562.0,662.0,562.0,1.0,1.0
