eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
c7aadaa0-edd0-49d5-b7d5-5d13aa1c5e58,45,False,"[(107, 74)]",144,178,31,55,144,107,181,181,107,181,107,181,107,181,107,181,107,181,107,181,107,181,107,181,107,181,107,181,107,181.0,107.0,181.0,107.0,181.0,107.0,181.0,107.0,1.0,1.0
c7aadaa0-edd0-49d5-b7d5-5d13aa1c5e58,45,False,"[(74, 107)]",178,144,55,31,178,74,181,181,74,181,74,181,74,181,74,181,74,181,74,181,74,181,74,181,74,181,74,181,74,181.0,74.0,181.0,74.0,181.0,74.0,181.0,74.0,1.0,1.0
26756357-7c95-4f73-af7a-824ca6cdf910,0,True,"[(254, 1356)]",254,1356,105,444,254,254,1610,1610,254,1610,254,1610,254,1610,254,1610,254,1610,254,1610,254,1610,254,1610,254,1610,254,1610,254,1610.0,254.0,1610.0,254.0,1610.0,254.0,1610.0,254.0,1.0,1.0
26756357-7c95-4f73-af7a-824ca6cdf910,0,True,"[(1356, 254)]",1356,254,444,105,1356,1356,1610,1610,1356,1610,1356,1610,1356,1610,1356,1610,1356,1610,1356,1610,1356,1610,1356,1610,1356,1610,1356,1610,1356,1610.0,1356.0,1610.0,1356.0,1610.0,1356.0,1610.0,1356.0,1.0,1.0
d1ce5aa9-0370-4576-ab6b-58a014fccf83,0,True,"[(90, 157)]",100,234,50,76,100,93,241,247,90,247,90,247,90,247,90,247,90,247,90,247,90,247,90,247,90,247,90,247,90,247.0,90.0,247.0,90.0,247.0,90.0,247.0,90.0,1.0248962655601659,1.0248962655601659
d1ce5aa9-0370-4576-ab6b-58a014fccf83,0,True,"[(157, 90)]",234,100,76,50,234,148,241,247,157,247,157,247,157,247,157,247,157,247,157,247,157,247,157,247,157,247,157,247,157,247.0,157.0,247.0,157.0,247.0,157.0,247.0,157.0,1.0248962655601659,1.0248962655601659
b9cc8eae-60ab-4e20-a825-8d58409746e2,67,True,"[(100, 78)]",100,78,19,26,100,95,157,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178.0,100.0,178.0,100.0,178.0,100.0,178.0,100.0,1.1337579617834395,1.1337579617834395
b9cc8eae-60ab-4e20-a825-8d58409746e2,67,True,"[(78, 100)]",78,100,26,19,78,62,157,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178.0,78.0,178.0,78.0,178.0,78.0,178.0,78.0,1.1337579617834395,1.1337579617834395
8ec13c33-8e1f-4e1e-a77c-a56dfea01c3f,0,False,"[(67, 134)]",100,234,27,58,100,70,195,201,67,201,67,201,67,201,67,201,67,201,67,201,67,201,67,201,67,201,67,201,67,201.0,67.0,201.0,67.0,201.0,67.0,201.0,67.0,1.0307692307692307,1.0307692307692307
8ec13c33-8e1f-4e1e-a77c-a56dfea01c3f,0,False,"[(134, 67)]",234,100,58,27,234,125,195,201,134,201,134,201,134,201,134,201,134,201,134,201,134,201,134,201,134,201,134,201,134,201.0,134.0,201.0,134.0,201.0,134.0,201.0,134.0,1.0307692307692307,1.0307692307692307
