eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
84a93949-4f40-4813-a70f-5580d0de7ee7,11,True,"[(82, 37), (64, 53)]",100,78,35,19,100,73,113,119,82,117,64,117,64,117,64,117,64,117,64,117,64,119,82,117,64,119,82,117,64,117.8767,71.8904,117.4375,67.9377,117.0,64.0,117.64699999999999,69.8235,1.0530973451327434,1.0353982300884956
84a93949-4f40-4813-a70f-5580d0de7ee7,11,True,"[(37, 82), (53, 64)]",78,100,19,35,78,40,113,119,37,117,53,117,53,117,53,117,53,117,53,117,53,119,37,117,53,119,37,117,53,117.8767,45.9863,117.4375,49.4998,117.0,53.0,117.64699999999999,47.823499999999996,1.0530973451327434,1.0353982300884956
183df523-30bc-4e23-821b-043f0c0c036e,0,False,"[(98, 53)]",134,56,62,29,134,89,145,151,98,151,98,151,98,151,98,151,98,151,98,151,98,151,98,151,98,151,98,151,98,151.0,98.0,151.0,98.0,151.0,98.0,151.0,98.0,1.0413793103448277,1.0413793103448277
183df523-30bc-4e23-821b-043f0c0c036e,0,False,"[(53, 98)]",56,134,29,62,56,56,145,151,53,151,53,151,53,151,53,151,53,151,53,151,53,151,53,151,53,151,53,151,53,151.0,53.0,151.0,53.0,151.0,53.0,151.0,53.0,1.0413793103448277,1.0413793103448277
ba137346-4352-49aa-b716-98402236563a,23,True,"[(81, 36)]",90,78,27,18,90,72,111,117,81,117,81,117,81,117,81,117,81,117,81,117,81,117,81,117,81,117,81,117,81,117.0,81.0,117.0,81.0,117.0,81.0,117.0,81.0,1.054054054054054,1.054054054054054
ba137346-4352-49aa-b716-98402236563a,23,True,"[(36, 81)]",78,90,18,27,78,39,111,117,36,117,36,117,36,117,36,117,36,117,36,117,36,117,36,117,36,117,36,117,36,117.0,36.0,117.0,36.0,117.0,36.0,117.0,36.0,1.054054054054054,1.054054054054054
b848420a-ef17-42c3-b1ce-fb647251603b,45,True,"[(80, 47)]",100,56,31,20,100,80,127,127,80,127,80,127,80,127,80,127,80,127,80,127,80,127,80,127,80,127,80,127,80,127.0,80.0,127.0,80.0,127.0,80.0,127.0,80.0,1.0,1.0
b848420a-ef17-42c3-b1ce-fb647251603b,45,True,"[(47, 80)]",56,100,20,31,56,47,127,127,47,127,47,127,47,127,47,127,47,127,47,127,47,127,47,127,47,127,47,127,47,127.0,47.0,127.0,47.0,127.0,47.0,127.0,47.0,1.0,1.0
cfff5c65-7979-4ac9-898e-39770c6ff467,44,False,"[(83, 138), (65, 142), (167, 90)]",188,156,51,52,188,65,207,207,65,221,83,207,65,207,65,221,83,257,167,221,83,207,65,221,83,257,167,207,65,231.3601,114.6947,230.4163,112.7692,207.0,65.0,242.3896,137.1948,1.2415458937198067,1.0
cfff5c65-7979-4ac9-898e-39770c6ff467,44,False,"[(138, 83), (142, 65), (90, 167)]",156,188,52,51,156,142,207,207,142,221,138,207,142,207,142,221,138,257,90,221,138,207,142,221,138,257,90,207,142,231.3601,116.6654,230.4163,117.6471,207.0,142.0,242.3896,105.1948,1.2415458937198067,1.0
2ec75085-0eba-4292-b9e2-45bc005d8709,23,False,"[(91, 80)]",100,134,32,50,100,62,157,171,91,171,91,171,91,171,91,171,91,171,91,171,91,171,91,171,91,171,91,171,91,171.0,91.0,171.0,91.0,171.0,91.0,171.0,91.0,1.089171974522293,1.089171974522293
2ec75085-0eba-4292-b9e2-45bc005d8709,23,False,"[(80, 91)]",134,100,50,32,134,95,157,171,80,171,80,171,80,171,80,171,80,171,80,171,80,171,80,171,80,171,80,171,80,171.0,80.0,171.0,80.0,171.0,80.0,171.0,80.0,1.089171974522293,1.089171974522293
37ea7f41-8914-405b-ab05-1320576bbd09,45,True,"[(48, 81), (39, 84)]",100,144,19,31,100,42,117,123,39,129,48,123,39,123,39,129,48,123,39,129,48,123,39,123,39,129,48,123,39,124.464,41.196,123.0,39.0,123.0,39.0,123.5,39.75,1.1025641025641026,1.0512820512820513
37ea7f41-8914-405b-ab05-1320576bbd09,45,True,"[(81, 48), (84, 39)]",144,100,31,19,144,75,117,123,84,129,81,123,84,123,84,129,81,123,84,129,81,123,84,123,84,129,81,123,84,124.464,83.268,123.0,84.0,123.0,84.0,123.5,83.75,1.1025641025641026,1.0512820512820513
2b86f919-fecc-4d6b-a404-4f66e837752f,45,True,"[(88, 43), (78, 67)]",100,100,31,19,100,79,125,131,88,145,78,131,88,131,88,145,78,145,78,145,78,131,88,145,78,131,88,131,88,138.2677,82.8087,139.225,82.125,131.0,88.0,145.0,78.0,1.16,1.048
2b86f919-fecc-4d6b-a404-4f66e837752f,45,True,"[(43, 88), (67, 78)]",100,100,19,31,100,46,125,131,43,145,67,131,43,131,43,145,67,145,67,145,67,131,43,145,67,131,43,131,43,138.2677,55.459,139.225,57.1,131.0,43.0,145.0,67.0,1.16,1.048
5f9bec27-c8b3-4c81-a3da-7798edea1309,0,False,"[(60, 93), (56, 101)]",122,200,32,59,122,59,151,157,56,153,60,153,60,153,60,153,60,157,56,153,60,153,60,153,60,157,56,153,60,154.7908,58.2092,153.0,60.0,153.0,60.0,157.0,56.0,1.0397350993377483,1.0132450331125828
5f9bec27-c8b3-4c81-a3da-7798edea1309,0,False,"[(93, 60), (101, 56)]",200,122,59,32,200,92,151,157,101,153,93,153,93,153,93,153,93,157,101,153,93,153,93,153,93,157,101,153,93,154.7908,96.5816,153.0,93.0,153.0,93.0,157.0,101.0,1.0397350993377483,1.0132450331125828
dfd6fb0b-b99c-4220-98f8-3f194b0080e8,66,True,"[(63, 162), (76, 153)]",134,188,36,44,134,63,225,225,63,229,76,225,63,225,63,229,76,229,76,229,76,225,63,229,76,225,63,225,63,227.3363,70.5932,228.9959,75.98660000000001,225.0,63.0,229.0,76.0,1.0177777777777777,1.0
dfd6fb0b-b99c-4220-98f8-3f194b0080e8,66,True,"[(162, 63), (153, 76)]",188,134,44,36,188,162,225,225,162,229,153,225,162,225,162,229,153,229,153,229,153,225,162,229,153,225,162,225,162,227.3363,156.7431,228.9959,153.0093,225.0,162.0,229.0,153.0,1.0177777777777777,1.0
cd4dd08b-9993-4a9e-959c-112e1b900e1d,0,False,"[(82, 149)]",166,266,49,91,166,82,231,231,82,231,82,231,82,231,82,231,82,231,82,231,82,231,82,231,82,231,82,231,82,231.0,82.0,231.0,82.0,231.0,82.0,231.0,82.0,1.0,1.0
cd4dd08b-9993-4a9e-959c-112e1b900e1d,0,False,"[(149, 82)]",266,166,91,49,266,149,231,231,149,231,149,231,149,231,149,231,149,231,149,231,149,231,149,231,149,231,149,231,149,231.0,149.0,231.0,149.0,231.0,149.0,231.0,149.0,1.0,1.0
2986ab4f-3bb9-440a-ab37-4f2b8d2a744f,44,True,"[(112, 452)]",112,452,40,181,112,85,555,564,112,564,112,564,112,564,112,564,112,564,112,564,112,564,112,564,112,564,112,564,112,564.0,112.0,564.0,112.0,564.0,112.0,564.0,112.0,1.0162162162162163,1.0162162162162163
