eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,PoA,PoS
bbbeb065-82e5-4930-a133-63a6f502218b,99,True,"[(144, 222)]",144,222,45,65,144,179,325,366,144,366,144,366,144,366,144,366,144,366,144,366,144,366,144,366,144,366,144,366,144,366.0,144.0,366.0,144.0,366.0,144.0,366.0,144.0,1.126153846153846,1.126153846153846
bbbeb065-82e5-4930-a133-63a6f502218b,99,True,"[(222, 144)]",222,144,65,45,222,146,325,366,222,366,222,366,222,366,222,366,222,366,222,366,222,366,222,366,222,366,222,366,222,366.0,222.0,366.0,222.0,366.0,222.0,366.0,222.0,1.126153846153846,1.126153846153846
87d4b97f-df4a-4db2-a10b-40f93a26cee9,133,True,"[(100, 166)]",100,166,35,47,100,100,266,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266.0,100.0,266.0,100.0,266.0,100.0,266.0,100.0,1.0,1.0
87d4b97f-df4a-4db2-a10b-40f93a26cee9,133,True,"[(166, 100)]",166,100,47,35,166,166,266,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266.0,166.0,266.0,166.0,266.0,166.0,266.0,166.0,1.0,1.0
a9874c32-6f3e-4683-88a0-777465a1e544,133,True,"[(100, 188)]",100,188,23,57,100,127,287,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288.0,100.0,288.0,100.0,288.0,100.0,288.0,100.0,1.0034843205574913,1.0034843205574913
a9874c32-6f3e-4683-88a0-777465a1e544,133,True,"[(188, 100)]",188,100,57,23,188,160,287,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288.0,188.0,288.0,188.0,288.0,188.0,288.0,188.0,1.0034843205574913,1.0034843205574913
5a0f15b2-5ff9-4041-aa90-78a6378f6667,1,True,"[(88, 187), (75, 208), (84, 205)]",100,222,19,43,100,88,275,283,75,275,88,275,88,275,88,275,88,289,84,275,88,283,75,275,88,289,84,275,88,278.7143,81.96430000000001,275.0,88.0,280.41179999999997,79.2059,277.9744,83.16669999999999,1.050909090909091,1.0
5a0f15b2-5ff9-4041-aa90-78a6378f6667,1,True,"[(187, 88), (208, 75), (205, 84)]",222,100,43,19,222,187,275,283,208,275,187,275,187,275,187,275,187,289,205,275,187,283,208,275,187,289,205,275,187,278.7143,196.75,275.0,187.0,280.41179999999997,201.20589999999999,277.9744,194.8077,1.050909090909091,1.0
20219425-5349-44f7-9992-0a9328bd4b53,78,True,"[(100, 210)]",100,210,19,54,100,153,295,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310,100,310.0,100.0,310.0,100.0,310.0,100.0,310.0,100.0,1.0508474576271187,1.0508474576271187
20219425-5349-44f7-9992-0a9328bd4b53,78,True,"[(210, 100)]",210,100,54,19,210,142,295,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310,210,310.0,210.0,310.0,210.0,310.0,210.0,310.0,210.0,1.0508474576271187,1.0508474576271187
