eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
3a9f96a9-3429-4e1f-be4d-7a0474f36062,0,False,"[(24, 300), (31, 295)]",56,332,15,125,56,27,318,324,24,326,31,324,24,324,24,326,31,324,24,326,31,324,24,324,24,326,31,324,24,324.7637,26.673,324.0,24.0,324.0,24.0,324.0,24.0,1.0251572327044025,1.0188679245283019
bd52a452-0283-41b7-927d-7f0be992166c,22,False,"[(68, 68), (37, 81)]",100,112,19,32,100,37,118,118,37,136,68,118,37,118,37,136,68,136,68,136,68,118,37,118,37,136,68,118,37,124.75309999999999,48.6303,118.0,37.0,118.02590000000001,37.0446,131.091,59.5455,1.152542372881356,1.0
bd52a452-0283-41b7-927d-7f0be992166c,22,False,"[(68, 68), (81, 37)]",112,100,32,19,112,81,118,118,81,136,68,118,81,118,81,136,68,136,68,136,68,118,81,118,81,136,68,118,81,124.75309999999999,76.1228,118.0,81.0,118.02590000000001,80.9813,131.091,71.5455,1.152542372881356,1.0
66ba71d9-d40e-4b1f-a458-091e64d13e81,34,True,"[(88, 54), (58, 58)]",122,100,23,31,122,40,102,142,88,116,58,116,58,116,58,116,58,116,58,116,58,116,58,116,58,142,88,116,58,120.0685,62.6944,116.0,58.0,116.0,58.0,132.8236,77.4118,1.392156862745098,1.1372549019607843
66ba71d9-d40e-4b1f-a458-091e64d13e81,34,True,"[(54, 88), (58, 58)]",100,122,31,23,100,62,102,142,54,116,58,116,58,116,58,116,58,116,58,116,58,116,58,116,58,142,54,116,58,120.0685,57.3741,116.0,58.0,116.0,58.0,132.8236,55.4118,1.392156862745098,1.1372549019607843
3a3a517b-0513-4709-881c-cc5b3ea749ef,12,False,"[(89, 89)]",144,188,36,71,144,71,164,178,89,178,89,178,89,178,89,178,89,178,89,178,89,178,89,178,89,178,89,178,89,178.0,89.0,178.0,89.0,178.0,89.0,178.0,89.0,1.0853658536585367,1.0853658536585367
3a3a517b-0513-4709-881c-cc5b3ea749ef,12,False,"[(89, 89)]",188,144,71,36,188,93,164,178,89,178,89,178,89,178,89,178,89,178,89,178,89,178,89,178,89,178,89,178,89,178.0,89.0,178.0,89.0,178.0,89.0,178.0,89.0,1.0853658536585367,1.0853658536585367
8fdde6ff-89c7-4067-872d-7a2e2e3087d0,33,False,"[(36, 70), (52, 52)]",90,90,27,36,90,39,100,106,36,104,52,104,52,104,52,104,52,104,52,104,52,104,52,104,52,106,36,104,52,104.7696,45.843,104.0,52.0,104.0033,51.9736,104.0,52.0,1.06,1.04
8fdde6ff-89c7-4067-872d-7a2e2e3087d0,33,False,"[(70, 36), (52, 52)]",90,90,36,27,90,61,100,106,70,104,52,104,52,104,52,104,52,104,52,104,52,104,52,104,52,106,70,104,52,104.7696,58.9266,104.0,52.0,104.0033,52.0297,104.0,52.0,1.06,1.04
5b170a5d-6073-4c98-97f8-4540db2e92c5,34,True,"[(43, 65), (48, 48), (53, 31)]",100,78,19,19,100,53,84,84,53,96,48,84,53,84,53,96,48,84,53,84,53,84,53,84,53,108,43,84,53,88.68440000000001,51.0482,84.0,53.0,84.0,53.0,84.0,53.0,1.2857142857142858,1.0
5b170a5d-6073-4c98-97f8-4540db2e92c5,34,True,"[(65, 43), (48, 48), (31, 53)]",78,100,19,19,78,31,84,84,31,96,48,84,31,84,31,96,48,84,31,84,31,84,31,84,31,108,65,84,31,88.68440000000001,37.6362,84.0,31.0,84.0,31.0,84.0,31.0,1.2857142857142858,1.0
22f4506b-6f38-499e-85fe-7886f1a67446,0,False,"[(61, 61), (44, 78)]",100,168,28,47,100,44,122,122,44,122,61,122,61,122,61,122,61,122,44,122,44,122,44,122,44,122,61,122,61,122.0,49.8405,122.0,44.0,122.0,44.0,122.0,44.0,1.0,1.0
22f4506b-6f38-499e-85fe-7886f1a67446,0,False,"[(61, 61), (78, 44)]",168,100,47,28,168,78,122,122,78,122,61,122,61,122,61,122,61,122,78,122,78,122,78,122,78,122,61,122,61,122.0,72.1595,122.0,78.0,122.0,78.0,122.0,78.0,1.0,1.0
bee0da97-004e-4ac2-becd-4e11e991eed4,33,False,"[(31, 53)]",90,90,22,22,90,31,84,84,31,84,31,84,31,84,31,84,31,84,31,84,31,84,31,84,31,84,31,84,31,84.0,31.0,84.0,31.0,84.0,31.0,84.0,31.0,1.0,1.0
bee0da97-004e-4ac2-becd-4e11e991eed4,33,False,"[(53, 31)]",90,90,22,22,90,53,84,84,53,84,53,84,53,84,53,84,53,84,53,84,53,84,53,84,53,84,53,84,53,84.0,53.0,84.0,53.0,84.0,53.0,84.0,53.0,1.0,1.0
