eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
920520cb-f75a-4dc1-82e8-38824461cde1,44,True,"[(12, 100)]",12,100,3,31,12,12,112,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112.0,12.0,112.0,12.0,112.0,12.0,112.0,12.0,1.0,1.0
76b51a44-8932-4981-8556-7ce3fb9979d0,55,True,"[(84, 139), (55, 144), (64, 141), (97, 130)]",100,156,19,30,100,58,193,199,55,227,97,199,55,199,55,227,97,223,84,223,84,199,55,199,55,227,97,199,55,199.0,55.0,215.5,79.75,202.0,59.5,209.2439,70.3659,1.1761658031088082,1.0310880829015545
76b51a44-8932-4981-8556-7ce3fb9979d0,55,True,"[(139, 84), (144, 55), (141, 64), (130, 97)]",156,100,30,19,156,135,193,199,144,227,130,199,144,199,144,227,130,223,139,223,139,199,144,199,144,227,130,199,144,199.0,144.0,215.5,135.75,202.0,142.5,209.2439,138.878,1.1761658031088082,1.0310880829015545
bffc954e-11b1-4ad3-99b7-828fed9759af,33,True,"[(90, 112)]",90,112,27,31,90,81,195,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202,90,202.0,90.0,202.0,90.0,202.0,90.0,202.0,90.0,1.035897435897436,1.035897435897436
bffc954e-11b1-4ad3-99b7-828fed9759af,33,True,"[(112, 90)]",112,90,31,27,112,114,195,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202,112,202.0,112.0,202.0,112.0,202.0,112.0,202.0,112.0,1.035897435897436,1.035897435897436
6d428fda-9175-4ff3-9958-3f83a82e5f50,23,False,"[(63, 152), (84, 139), (92, 103), (73, 150)]",100,156,27,39,100,92,195,215,63,195,92,195,92,195,92,195,92,223,84,223,84,195,92,195,92,215,63,195,92,195.0,92.0,206.5384,75.2692,203.0577,80.3163,204.17610000000002,78.69460000000001,1.1435897435897435,1.0
6d428fda-9175-4ff3-9958-3f83a82e5f50,23,False,"[(152, 63), (139, 84), (103, 92), (150, 73)]",156,100,39,27,156,103,195,215,152,195,103,195,103,195,103,195,103,223,139,223,139,195,103,195,103,215,152,195,103,195.0,103.0,206.5384,131.2692,203.0577,122.7414,204.17610000000002,125.4815,1.1435897435897435,1.0
19f94037-5e8c-4b35-9145-56f8b5f16b36,23,True,"[(75, 152), (84, 139)]",100,210,27,46,100,84,223,227,75,223,84,223,84,223,84,223,84,227,75,227,75,227,75,227,75,223,84,223,84,223.0,84.0,227.0,75.0,227.0,75.0,225.6514,78.0342,1.0179372197309418,1.0
19f94037-5e8c-4b35-9145-56f8b5f16b36,23,True,"[(152, 75), (139, 84)]",210,100,46,27,210,139,223,227,152,223,139,223,139,223,139,223,139,227,152,227,152,227,152,227,152,223,139,223,139,223.0,139.0,227.0,152.0,227.0,152.0,225.6514,147.6172,1.0179372197309418,1.0
019e1e01-c876-461a-8bd3-a59f5e967086,176,True,"[(288, 210)]",288,210,121,60,288,288,498,498,288,498,288,498,288,498,288,498,288,498,288,498,288,498,288,498,288,498,288,498,288,498.0,288.0,498.0,288.0,498.0,288.0,498.0,288.0,1.0,1.0
019e1e01-c876-461a-8bd3-a59f5e967086,176,True,"[(210, 288)]",210,288,60,121,210,210,498,498,210,498,210,498,210,498,210,498,210,498,210,498,210,498,210,498,210,498,210,498,210,498.0,210.0,498.0,210.0,498.0,210.0,498.0,210.0,1.0,1.0
f8b99d30-13ee-4f52-8322-0a0c8e499d06,0,True,"[(81, 170), (88, 165)]",122,222,40,60,122,84,245,251,81,253,88,251,81,251,81,253,88,251,81,253,88,251,81,251,81,253,88,251,81,251.0,81.0,251.0,81.0,251.0,81.0,251.6788,83.3758,1.0326530612244897,1.0244897959183674
f8b99d30-13ee-4f52-8322-0a0c8e499d06,0,True,"[(170, 81), (165, 88)]",222,122,60,40,222,161,245,251,170,253,165,251,170,251,170,253,165,251,170,253,165,251,170,251,170,253,165,251,170,251.0,170.0,251.0,170.0,251.0,170.0,251.6788,168.303,1.0326530612244897,1.0244897959183674
6efff1a5-f2da-4fb2-8e22-efafed0aab8a,111,True,"[(122, 166)]",122,166,50,55,122,122,288,288,122,288,122,288,122,288,122,288,122,288,122,288,122,288,122,288,122,288,122,288,122,288.0,122.0,288.0,122.0,288.0,122.0,288.0,122.0,1.0,1.0
6efff1a5-f2da-4fb2-8e22-efafed0aab8a,111,True,"[(166, 122)]",166,122,55,50,166,166,288,288,166,288,166,288,166,288,166,288,166,288,166,288,166,288,166,288,166,288,166,288,166,288.0,166.0,288.0,166.0,288.0,166.0,288.0,166.0,1.0,1.0
23e296a4-707d-4552-a930-ae4b0be7532b,33,True,"[(364, 166)]",364,166,147,49,364,379,527,530,364,530,364,530,364,530,364,530,364,530,364,530,364,530,364,530,364,530,364,530,364,530.0,364.0,530.0,364.0,530.0,364.0,530.0,364.0,1.0056925996204933,1.0056925996204933
23e296a4-707d-4552-a930-ae4b0be7532b,33,True,"[(166, 364)]",166,364,49,147,166,148,527,530,166,530,166,530,166,530,166,530,166,530,166,530,166,530,166,530,166,530,166,530,166,530.0,166.0,530.0,166.0,530.0,166.0,530.0,166.0,1.0056925996204933,1.0056925996204933
7e1775af-15e5-4ec1-ab1d-943e1b1d4913,23,True,"[(178, 78)]",178,78,43,15,178,175,229,256,178,256,178,256,178,256,178,256,178,256,178,256,178,256,178,256,178,256,178,256,178,256.0,178.0,256.0,178.0,256.0,178.0,256.0,178.0,1.1179039301310043,1.1179039301310043
7e1775af-15e5-4ec1-ab1d-943e1b1d4913,23,True,"[(78, 178)]",78,178,15,43,78,54,229,256,78,256,78,256,78,256,78,256,78,256,78,256,78,256,78,256,78,256,78,256,78,256.0,78.0,256.0,78.0,256.0,78.0,256.0,78.0,1.1179039301310043,1.1179039301310043
a0d83b93-c94a-4add-8d5f-6c8e053d9e14,79,True,"[(200, 134)]",200,134,61,35,200,208,273,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334,200,334.0,200.0,334.0,200.0,334.0,200.0,334.0,200.0,1.2234432234432235,1.2234432234432235
a0d83b93-c94a-4add-8d5f-6c8e053d9e14,79,True,"[(134, 200)]",134,200,35,61,134,65,273,334,134,334,134,334,134,334,134,334,134,334,134,334,134,334,134,334,134,334,134,334,134,334.0,134.0,334.0,134.0,334.0,134.0,334.0,134.0,1.2234432234432235,1.2234432234432235
dbce82b4-eb5c-44c3-84ca-9cea9040e095,1,True,"[(100, 320)]",100,320,73,135,100,166,409,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420,100,420.0,100.0,420.0,100.0,420.0,100.0,420.0,100.0,1.0268948655256724,1.0268948655256724
dbce82b4-eb5c-44c3-84ca-9cea9040e095,1,True,"[(320, 100)]",320,100,135,73,320,243,409,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420,320,420.0,320.0,420.0,320.0,420.0,320.0,420.0,320.0,1.0268948655256724,1.0268948655256724
3f8c239a-e2db-4046-82ea-d1176acd4bc0,0,False,"[(235, 70)]",244,78,84,24,235,235,305,305,235,305,235,305,235,305,235,305,235,305,235,305,235,305,235,305,235,305,235,305,235,305.0,235.0,305.0,235.0,305.0,235.0,305.0,235.0,1.0,1.0
3f8c239a-e2db-4046-82ea-d1176acd4bc0,0,False,"[(70, 235)]",78,244,24,84,70,70,305,305,70,305,70,305,70,305,70,305,70,305,70,305,70,305,70,305,70,305,70,305,70,305.0,70.0,305.0,70.0,305.0,70.0,305.0,70.0,1.0,1.0
d321f013-cb07-44ba-b452-3fe4c845b45b,23,True,"[(82, 159), (73, 162)]",100,276,23,75,100,76,229,235,73,241,82,235,73,235,73,241,82,235,73,235,73,235,73,235,73,241,82,235,73,235.0,73.0,235.0,73.0,235.0,73.0,235.42860000000002,73.6429,1.0524017467248907,1.0262008733624455
d321f013-cb07-44ba-b452-3fe4c845b45b,23,True,"[(159, 82), (162, 73)]",276,100,75,23,276,153,229,235,162,241,159,235,162,235,162,241,159,235,162,235,162,235,162,235,162,241,159,235,162,235.0,162.0,235.0,162.0,235.0,162.0,235.42860000000002,161.78570000000002,1.0524017467248907,1.0262008733624455
c0da91f6-096f-4328-918a-e229c7fb23cf,77,True,"[(90, 90)]",90,90,22,18,90,90,180,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180.0,90.0,180.0,90.0,180.0,90.0,180.0,90.0,1.0,1.0
c0da91f6-096f-4328-918a-e229c7fb23cf,77,True,"[(90, 90)]",90,90,18,22,90,90,180,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180,90,180.0,90.0,180.0,90.0,180.0,90.0,180.0,90.0,1.0,1.0
0a7acc43-ba21-4428-b5fa-14629f4c82c3,23,True,"[(111, 188)]",122,310,36,106,122,111,299,299,111,299,111,299,111,299,111,299,111,299,111,299,111,299,111,299,111,299,111,299,111,299.0,111.0,299.0,111.0,299.0,111.0,299.0,111.0,1.0,1.0
0a7acc43-ba21-4428-b5fa-14629f4c82c3,23,True,"[(188, 111)]",310,122,106,36,310,188,299,299,188,299,188,299,188,299,188,299,188,299,188,299,188,299,188,299,188,299,188,299,188,299.0,188.0,299.0,188.0,299.0,188.0,299.0,188.0,1.0,1.0
b172395e-2545-4aa5-9306-4455d9e7a509,0,False,"[(75, 164), (86, 141)]",100,266,27,50,100,86,227,239,75,227,86,227,86,227,86,227,86,239,75,239,75,239,75,239,75,227,86,227,86,227.0,86.0,239.0,75.0,239.0,75.0,235.4615,78.2436,1.052863436123348,1.0
b172395e-2545-4aa5-9306-4455d9e7a509,0,False,"[(164, 75), (141, 86)]",266,100,50,27,266,141,227,239,164,227,141,227,141,227,141,227,141,239,164,239,164,239,164,239,164,227,141,227,141,227.0,141.0,239.0,164.0,239.0,164.0,235.4615,157.2179,1.052863436123348,1.0
641c5f52-5b9d-4c3a-a70f-ef56f062f099,78,True,"[(91, 146)]",100,166,31,35,100,131,229,237,91,237,91,237,91,237,91,237,91,237,91,237,91,237,91,237,91,237,91,237,91,237.0,91.0,237.0,91.0,237.0,91.0,237.0,91.0,1.034934497816594,1.034934497816594
641c5f52-5b9d-4c3a-a70f-ef56f062f099,78,True,"[(146, 91)]",166,100,35,31,166,98,229,237,146,237,146,237,146,237,146,237,146,237,146,237,146,237,146,237,146,237,146,237,146,237.0,146.0,237.0,146.0,237.0,146.0,237.0,146.0,1.034934497816594,1.034934497816594
479b6c5d-b5ee-45fb-86e9-7dffe49c7be1,56,True,"[(100, 12)]",100,12,40,3,100,100,112,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112,100,112.0,100.0,112.0,100.0,112.0,100.0,112.0,100.0,1.0,1.0
479b6c5d-b5ee-45fb-86e9-7dffe49c7be1,56,True,"[(12, 100)]",12,100,3,40,12,12,112,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112,12,112.0,12.0,112.0,12.0,112.0,12.0,112.0,12.0,1.0,1.0
