eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,PoA,PoS
d8dd8400-d514-4ac9-9c29-b95986547c7f,0,False,"[(70, 58), (59, 71)]",100,124,59,58,100,61,122,128,70,128,70,128,70,128,70,128,70,130,59,130,59,130,59,130,59,128,70,128,70,128.0,70.0,129.1533,63.6569,129.9971,59.016,130.0,59.0,1.0655737704918034,1.0491803278688525
d8dd8400-d514-4ac9-9c29-b95986547c7f,0,False,"[(58, 70), (71, 59)]",124,100,58,59,124,61,122,128,58,128,58,128,58,128,58,128,58,130,71,130,71,130,71,130,71,128,58,128,58,128.0,58.0,129.1533,65.4964,129.9971,70.9811,130.0,71.0,1.0655737704918034,1.0491803278688525
ebf0f8d4-cc73-40dd-9b74-724da804febe,1,False,"[(35, 47)]",100,112,35,38,100,38,76,82,35,82,35,82,35,82,35,82,35,82,35,82,35,82,35,82,35,82,35,82,35,82.0,35.0,82.0,35.0,82.0,35.0,82.0,35.0,1.0789473684210527,1.0789473684210527
ebf0f8d4-cc73-40dd-9b74-724da804febe,1,False,"[(47, 35)]",112,100,38,35,112,38,76,82,47,82,47,82,47,82,47,82,47,82,47,82,47,82,47,82,47,82,47,82,47,82.0,47.0,82.0,47.0,82.0,47.0,82.0,47.0,1.0789473684210527,1.0789473684210527
9727cad5-e705-4cbb-bb04-3510cbc76fa1,11,False,"[(31, 43)]",112,112,31,31,112,34,68,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74.0,31.0,74.0,31.0,74.0,31.0,74.0,31.0,1.088235294117647,1.088235294117647
9727cad5-e705-4cbb-bb04-3510cbc76fa1,11,False,"[(43, 31)]",112,112,31,31,112,34,68,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74.0,43.0,74.0,43.0,74.0,43.0,74.0,43.0,1.088235294117647,1.088235294117647
4a95b44d-3bff-4136-8de2-8b274a7ce8db,11,False,"[(51, 51), (59, 47)]",134,134,38,47,134,50,100,106,59,102,51,102,51,102,51,102,51,102,51,102,51,102,51,102,51,106,59,102,51,102.0,51.0,103.2919,53.58369999999999,102.0,51.0,102.0,51.0,1.06,1.02
4a95b44d-3bff-4136-8de2-8b274a7ce8db,11,False,"[(51, 51), (47, 59)]",134,134,47,38,134,50,100,106,47,102,51,102,51,102,51,102,51,102,51,102,51,102,51,102,51,106,47,102,51,102.0,51.0,103.2919,49.708200000000005,102.0,51.0,102.0,51.0,1.06,1.02
7de4dca9-a8c9-4364-a277-dabf413e1fff,0,False,"[(32, 32)]",90,78,27,32,72,32,64,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64.0,32.0,64.0,32.0,64.0,32.0,64.0,32.0,1.0,1.0
7de4dca9-a8c9-4364-a277-dabf413e1fff,0,False,"[(32, 32)]",78,90,32,27,60,32,64,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64,32,64.0,32.0,64.0,32.0,64.0,32.0,64.0,32.0,1.0,1.0
99bb3a42-7cca-4db0-ae9f-82a6e21460cc,11,False,"[(27, 27)]",90,78,27,24,90,27,54,54,27,54,27,54,27,54,27,54,27,54,27,54,27,54,27,54,27,54,27,54,27,54.0,27.0,54.0,27.0,54.0,27.0,54.0,27.0,1.0,1.0
99bb3a42-7cca-4db0-ae9f-82a6e21460cc,11,False,"[(27, 27)]",78,90,24,27,78,27,54,54,27,54,27,54,27,54,27,54,27,54,27,54,27,54,27,54,27,54,27,54,27,54.0,27.0,54.0,27.0,54.0,27.0,54.0,27.0,1.0,1.0
d078c5a5-38ba-46ff-a2b2-87145d1e6092,0,False,"[(40, 52)]",100,124,37,43,100,43,86,92,40,92,40,92,40,92,40,92,40,92,40,92,40,92,40,92,40,92,40,92,40,92.0,40.0,92.0,40.0,92.0,40.0,92.0,40.0,1.069767441860465,1.069767441860465
d078c5a5-38ba-46ff-a2b2-87145d1e6092,0,False,"[(52, 40)]",124,100,43,37,124,43,86,92,52,92,52,92,52,92,52,92,52,92,52,92,52,92,52,92,52,92,52,92,52,92.0,52.0,92.0,52.0,92.0,52.0,92.0,52.0,1.069767441860465,1.069767441860465
e14b14ab-9bfe-4f14-b1d7-07c42b6f076a,0,False,"[(22, 34)]",100,124,19,34,100,22,56,56,22,56,22,56,22,56,22,56,22,56,22,56,22,56,22,56,22,56,22,56,22,56.0,22.0,56.0,22.0,56.0,22.0,56.0,22.0,1.0,1.0
e14b14ab-9bfe-4f14-b1d7-07c42b6f076a,0,False,"[(34, 22)]",124,100,34,19,124,34,56,56,34,56,34,56,34,56,34,56,34,56,34,56,34,56,34,56,34,56,34,56,34,56.0,34.0,56.0,34.0,56.0,34.0,56.0,34.0,1.0,1.0
3cd6f675-cf37-4499-8392-3b1392769e8f,11,False,"[(39, 27), (35, 47)]",90,90,32,27,90,39,66,66,39,66,39,66,39,66,39,66,39,66,39,66,39,66,39,66,39,82,35,66,39,66.0,39.0,68.9822,38.2544,66.0,39.0,74.0,37.0,1.2424242424242424,1.0
3cd6f675-cf37-4499-8392-3b1392769e8f,11,False,"[(27, 39), (47, 35)]",90,90,27,32,90,27,66,66,27,66,27,66,27,66,27,66,27,66,27,66,27,66,27,66,27,82,47,66,27,66.0,27.0,68.9822,30.727800000000002,66.0,27.0,74.0,37.0,1.2424242424242424,1.0
f7c8e582-1f3e-4990-b8aa-df9dff3d9e59,11,False,"[(40, 18)]",90,56,31,15,90,40,58,58,40,58,40,58,40,58,40,58,40,58,40,58,40,58,40,58,40,58,40,58,40,58.0,40.0,58.0,40.0,58.0,40.0,58.0,40.0,1.0,1.0
f7c8e582-1f3e-4990-b8aa-df9dff3d9e59,11,False,"[(18, 40)]",56,90,15,31,56,18,58,58,18,58,18,58,18,58,18,58,18,58,18,58,18,58,18,58,18,58,18,58,18,58.0,18.0,58.0,18.0,58.0,18.0,58.0,18.0,1.0,1.0
a878303a-d7dd-4e3e-9e33-08f7b9cbf9e8,11,False,"[(26, 26)]",100,112,23,26,100,26,52,52,26,52,26,52,26,52,26,52,26,52,26,52,26,52,26,52,26,52,26,52,26,52.0,26.0,52.0,26.0,52.0,26.0,52.0,26.0,1.0,1.0
a878303a-d7dd-4e3e-9e33-08f7b9cbf9e8,11,False,"[(26, 26)]",112,100,26,23,112,26,52,52,26,52,26,52,26,52,26,52,26,52,26,52,26,52,26,52,26,52,26,52,26,52.0,26.0,52.0,26.0,52.0,26.0,52.0,26.0,1.0,1.0
2f4749b7-972d-41ed-acd1-3309b442e010,0,False,"[(126, 114)]",410,386,117,111,410,117,234,240,126,240,126,240,126,240,126,240,126,240,126,240,126,240,126,240,126,240,126,240,126,240.0,126.0,240.0,126.0,240.0,126.0,240.0,126.0,1.0256410256410255,1.0256410256410255
2f4749b7-972d-41ed-acd1-3309b442e010,0,False,"[(114, 126)]",386,410,111,117,386,117,234,240,114,240,114,240,114,240,114,240,114,240,114,240,114,240,114,240,114,240,114,240,114,240.0,114.0,240.0,114.0,240.0,114.0,240.0,114.0,1.0256410256410255,1.0256410256410255
6d517b98-d12a-4020-b977-eba720733383,0,False,"[(31, 43), (51, 39)]",100,124,28,39,100,31,74,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,90,51,74,31,74.0,31.0,76.2348,33.793499999999995,74.0,31.0,74.0,31.0,1.2162162162162162,1.0
6d517b98-d12a-4020-b977-eba720733383,0,False,"[(43, 31), (39, 51)]",124,100,39,28,124,43,74,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,90,39,74,43,74.0,43.0,76.2348,42.4413,74.0,43.0,74.0,43.0,1.2162162162162162,1.0
c040f033-fc80-4656-b248-74a5006bc46e,0,False,"[(59, 71), (61, 49)]",122,134,59,49,77,61,110,110,61,110,61,110,61,110,61,130,59,130,59,110,61,110,61,110,61,130,59,110,61,110.0,61.0,112.1851,60.7815,110.0,61.0,130.0,59.0,1.1818181818181819,1.0
c040f033-fc80-4656-b248-74a5006bc46e,0,False,"[(71, 59), (49, 61)]",134,122,49,59,89,49,110,110,49,110,49,110,49,110,49,130,71,130,71,110,49,110,49,110,49,130,71,110,49,110.0,49.0,112.1851,51.4036,110.0,49.0,130.0,71.0,1.1818181818181819,1.0
b37be38a-3196-4699-8ad4-676fad8f2581,0,False,"[(38, 26), (35, 35), (26, 38)]",100,124,23,26,100,29,58,64,38,70,35,64,38,64,38,70,35,64,26,64,26,64,26,64,26,70,35,64,38,64.0,38.0,64.0,31.162800000000004,64.0,26.0,64.0,26.0,1.206896551724138,1.103448275862069
b37be38a-3196-4699-8ad4-676fad8f2581,0,False,"[(26, 38), (35, 35), (38, 26)]",124,100,26,23,124,29,58,64,26,70,35,64,26,64,26,70,35,64,38,64,38,64,38,64,38,70,35,64,26,64.0,26.0,64.0,32.837199999999996,64.0,38.0,64.0,38.0,1.206896551724138,1.103448275862069
dc15ff74-04c8-44d5-b495-45e57a052552,0,False,"[(35, 35), (31, 43)]",100,112,31,31,100,34,68,74,31,70,35,70,35,70,35,70,35,74,31,70,35,70,35,70,35,74,31,70,35,70.0,35.0,71.4325,33.567400000000006,70.0,35.0,74.0,31.0,1.088235294117647,1.0294117647058822
dc15ff74-04c8-44d5-b495-45e57a052552,0,False,"[(35, 35), (43, 31)]",112,100,31,31,112,34,68,74,43,70,35,70,35,70,35,70,35,74,43,70,35,70,35,70,35,74,43,70,35,70.0,35.0,71.4325,37.8651,70.0,35.0,74.0,43.0,1.088235294117647,1.0294117647058822
4ed946c0-6a6c-4416-97b2-c634790290b2,11,False,"[(27, 39)]",90,90,27,27,90,30,60,66,27,66,27,66,27,66,27,66,27,66,27,66,27,66,27,66,27,66,27,66,27,66.0,27.0,66.0,27.0,66.0,27.0,66.0,27.0,1.1,1.1
4ed946c0-6a6c-4416-97b2-c634790290b2,11,False,"[(39, 27)]",90,90,27,27,90,30,60,66,39,66,39,66,39,66,39,66,39,66,39,66,39,66,39,66,39,66,39,66,39,66.0,39.0,66.0,39.0,66.0,39.0,66.0,39.0,1.1,1.1
a51e48d4-f05a-44a7-b39c-3c7e1d1bc9fb,11,False,"[(31, 43)]",90,90,31,31,90,34,68,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74,31,74.0,31.0,74.0,31.0,74.0,31.0,74.0,31.0,1.088235294117647,1.088235294117647
a51e48d4-f05a-44a7-b39c-3c7e1d1bc9fb,11,False,"[(43, 31)]",90,90,31,31,90,34,68,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74,43,74.0,43.0,74.0,43.0,74.0,43.0,74.0,43.0,1.088235294117647,1.088235294117647
14b84136-c100-47f4-9139-0b277af3f22c,0,False,"[(28, 28)]",100,100,28,28,91,28,56,56,28,56,28,56,28,56,28,56,28,56,28,56,28,56,28,56,28,56,28,56,28,56.0,28.0,56.0,28.0,56.0,28.0,56.0,28.0,1.0,1.0
14b84136-c100-47f4-9139-0b277af3f22c,0,False,"[(28, 28)]",100,100,28,28,91,28,56,56,28,56,28,56,28,56,28,56,28,56,28,56,28,56,28,56,28,56,28,56,28,56.0,28.0,56.0,28.0,56.0,28.0,56.0,28.0,1.0,1.0
2775a61c-bf64-41dc-9095-7f4baaadf721,11,False,"[(74, 74)]",178,166,74,71,178,74,148,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148.0,74.0,148.0,74.0,148.0,74.0,148.0,74.0,1.0,1.0
2775a61c-bf64-41dc-9095-7f4baaadf721,11,False,"[(74, 74)]",166,178,71,74,166,74,148,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148,74,148.0,74.0,148.0,74.0,148.0,74.0,148.0,74.0,1.0,1.0
ed7ab09d-f343-4144-9cdd-dbfb34f4c170,11,False,"[(18, 40)]",90,100,18,28,90,18,58,58,18,58,18,58,18,58,18,58,18,58,18,58,18,58,18,58,18,58,18,58,18,58.0,18.0,58.0,18.0,58.0,18.0,58.0,18.0,1.0,1.0
ed7ab09d-f343-4144-9cdd-dbfb34f4c170,11,False,"[(40, 18)]",100,90,28,18,100,40,58,58,40,58,40,58,40,58,40,58,40,58,40,58,40,58,40,58,40,58,40,58,40,58.0,40.0,58.0,40.0,58.0,40.0,58.0,40.0,1.0,1.0
b66d8229-8b87-49a8-9ec2-640b1a260dc9,0,False,"[(30, 18), (26, 26)]",80,56,18,18,80,21,42,48,30,52,26,48,30,48,30,52,26,48,30,48,30,48,30,48,30,52,26,48,30,48.0,30.0,49.0411,28.9589,48.0,30.0,48.0,30.0,1.2380952380952381,1.1428571428571428
b66d8229-8b87-49a8-9ec2-640b1a260dc9,0,False,"[(18, 30), (26, 26)]",56,80,18,18,56,21,42,48,18,52,26,48,18,48,18,52,26,48,18,48,18,48,18,48,18,52,26,48,18,48.0,18.0,49.0411,20.0822,48.0,18.0,48.0,18.0,1.2380952380952381,1.1428571428571428
b2a3e258-9f1d-4919-86ff-5e3c0fe8e98a,0,False,"[(44, 32)]",80,56,36,20,80,44,76,76,44,76,44,76,44,76,44,76,44,76,44,76,44,76,44,76,44,76,44,76,44,76.0,44.0,76.0,44.0,76.0,44.0,76.0,44.0,1.0,1.0
b2a3e258-9f1d-4919-86ff-5e3c0fe8e98a,0,False,"[(32, 44)]",56,80,20,36,56,32,76,76,32,76,32,76,32,76,32,76,32,76,32,76,32,76,32,76,32,76,32,76,32,76.0,32.0,76.0,32.0,76.0,32.0,76.0,32.0,1.0,1.0
38a0e897-8e06-4525-955c-8c4af1b612a6,0,False,"[(40, 52)]",100,124,28,40,100,40,92,92,40,92,40,92,40,92,40,92,40,92,40,92,40,92,40,92,40,92,40,92,40,92.0,40.0,92.0,40.0,92.0,40.0,92.0,40.0,1.0,1.0
38a0e897-8e06-4525-955c-8c4af1b612a6,0,False,"[(52, 40)]",124,100,40,28,124,52,92,92,52,92,52,92,52,92,52,92,52,92,52,92,52,92,52,92,52,92,52,92,52,92.0,52.0,92.0,52.0,92.0,52.0,92.0,52.0,1.0,1.0
