eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
b3cfe32b-2cbf-49cd-a3e9-b080403a4513,23,True,"[(89, 78), (120, 65), (128, 61)]",144,100,44,28,144,89,167,189,128,167,89,167,89,167,89,167,89,185,120,167,89,167,89,167,89,189,128,167,89,179.9642,111.9821,167.0,89.0,175.3754,103.84729999999999,168.2776,91.2649,1.1317365269461077,1.0
fc76f213-63ea-4943-b5ad-221fc1bedb6e,89,True,"[(122, 200)]",122,200,50,92,122,122,322,322,122,322,122,322,122,322,122,322,122,322,122,322,122,322,122,322,122,322,122,322,122,322.0,122.0,322.0,122.0,322.0,122.0,322.0,122.0,1.0,1.0
fc76f213-63ea-4943-b5ad-221fc1bedb6e,89,True,"[(200, 122)]",200,122,92,50,200,200,322,322,200,322,200,322,200,322,200,322,200,322,200,322,200,322,200,322,200,322,200,322,200,322.0,200.0,322.0,200.0,322.0,200.0,322.0,200.0,1.0,1.0
65d6ca34-d4be-49b8-bac5-160344698e3d,0,False,"[(74, 141)]",100,234,19,56,100,74,215,215,74,215,74,215,74,215,74,215,74,215,74,215,74,215,74,215,74,215,74,215,74,215.0,74.0,215.0,74.0,215.0,74.0,215.0,74.0,1.0,1.0
65d6ca34-d4be-49b8-bac5-160344698e3d,0,False,"[(141, 74)]",234,100,56,19,234,141,215,215,141,215,141,215,141,215,141,215,141,215,141,215,141,215,141,215,141,215,141,215,141,215.0,141.0,215.0,141.0,215.0,141.0,215.0,141.0,1.0,1.0
adc7db22-af75-4d90-9184-3947b5488529,11,True,"[(55, 88), (93, 82)]",100,100,19,19,100,55,143,143,55,143,55,143,55,143,55,175,93,143,55,143,55,143,55,143,55,175,93,143,55,167.0,83.5,143.0,55.0,152.0566,65.7547,143.0,55.0,1.2237762237762237,1.0
adc7db22-af75-4d90-9184-3947b5488529,11,True,"[(88, 55), (82, 93)]",100,100,19,19,100,88,143,143,88,143,88,143,88,143,88,175,82,143,88,143,88,143,88,143,88,175,82,143,88,167.0,83.5,143.0,88.0,152.0566,86.3019,143.0,88.0,1.2237762237762237,1.0
6cd63780-2b42-4c35-8930-cee4959e0f48,1,True,"[(90, 34)]",90,34,27,20,90,90,124,124,90,124,90,124,90,124,90,124,90,124,90,124,90,124,90,124,90,124,90,124,90,124.0,90.0,124.0,90.0,124.0,90.0,124.0,90.0,1.0,1.0
6cd63780-2b42-4c35-8930-cee4959e0f48,1,True,"[(34, 90)]",34,90,20,27,34,34,124,124,34,124,34,124,34,124,34,124,34,124,34,124,34,124,34,124,34,124,34,124,34,124.0,34.0,124.0,34.0,124.0,34.0,124.0,34.0,1.0,1.0
b7d5cc9c-0e32-41da-84dd-20b874bab4a2,11,False,"[(258, 247), (284, 229)]",606,584,152,175,606,257,503,513,284,505,258,505,258,505,258,505,258,505,258,505,258,505,258,505,258,513,284,505,258,507.0,264.5,505.0,258.0,508.23429999999996,268.5114,505.0,258.0,1.0198807157057654,1.0039761431411531
b7d5cc9c-0e32-41da-84dd-20b874bab4a2,11,False,"[(247, 258), (229, 284)]",584,606,175,152,584,246,503,513,229,505,247,505,247,505,247,505,247,505,247,505,247,505,247,505,247,513,229,505,247,507.0,242.5,505.0,247.0,508.23429999999996,239.72289999999998,505.0,247.0,1.0198807157057654,1.0039761431411531
5c5cf5cf-ae41-47d3-acb6-292c896c73dc,67,True,"[(100, 100)]",100,100,36,41,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
5c5cf5cf-ae41-47d3-acb6-292c896c73dc,67,True,"[(100, 100)]",100,100,41,36,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
a0f6ab06-2537-4c47-805d-c1ba07658718,0,False,"[(686, 753)]",694,762,239,267,686,686,1439,1439,686,1439,686,1439,686,1439,686,1439,686,1439,686,1439,686,1439,686,1439,686,1439,686,1439,686,1439.0,686.0,1439.0,686.0,1439.0,686.0,1439.0,686.0,1.0,1.0
a0f6ab06-2537-4c47-805d-c1ba07658718,0,False,"[(753, 686)]",762,694,267,239,753,753,1439,1439,753,1439,753,1439,753,1439,753,1439,753,1439,753,1439,753,1439,753,1439,753,1439,753,1439,753,1439.0,753.0,1439.0,753.0,1439.0,753.0,1439.0,753.0,1.0,1.0
fc1385b7-af7f-46a7-bc59-d501779e5ccb,67,True,"[(100, 100)]",100,100,52,46,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
fc1385b7-af7f-46a7-bc59-d501779e5ccb,67,True,"[(100, 100)]",100,100,46,52,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
1db6967e-d89a-4043-bcf4-b9d8df3e07a6,66,True,"[(162, 73)]",166,78,73,24,166,153,229,235,162,235,162,235,162,235,162,235,162,235,162,235,162,235,162,235,162,235,162,235,162,235.0,162.0,235.0,162.0,235.0,162.0,235.0,162.0,1.0262008733624455,1.0262008733624455
1db6967e-d89a-4043-bcf4-b9d8df3e07a6,66,True,"[(73, 162)]",78,166,24,73,78,76,229,235,73,235,73,235,73,235,73,235,73,235,73,235,73,235,73,235,73,235,73,235,73,235.0,73.0,235.0,73.0,235.0,73.0,235.0,73.0,1.0262008733624455,1.0262008733624455
5e879ba9-f400-4586-b0ec-a497e752e56f,1,False,"[(48, 103)]",100,156,19,30,100,48,151,151,48,151,48,151,48,151,48,151,48,151,48,151,48,151,48,151,48,151,48,151,48,151.0,48.0,151.0,48.0,151.0,48.0,151.0,48.0,1.0,1.0
5e879ba9-f400-4586-b0ec-a497e752e56f,1,False,"[(103, 48)]",156,100,30,19,156,103,151,151,103,151,103,151,103,151,103,151,103,151,103,151,103,151,103,151,103,151,103,151,103,151.0,103.0,151.0,103.0,151.0,103.0,151.0,103.0,1.0,1.0
6a812649-245b-4b6e-9f23-668d278b4b3f,66,True,"[(64, 131), (68, 101)]",100,200,23,38,100,68,169,195,64,169,68,169,68,169,68,169,68,195,64,195,64,169,68,169,68,195,64,169,68,195.0,64.0,169.0,68.0,175.9756,66.9268,169.0,68.0,1.1538461538461537,1.0
6a812649-245b-4b6e-9f23-668d278b4b3f,66,True,"[(131, 64), (101, 68)]",200,100,38,23,200,101,169,195,131,169,101,169,101,169,101,169,101,195,131,195,131,169,101,169,101,195,131,169,101,195.0,131.0,169.0,101.0,175.9756,109.0488,169.0,101.0,1.1538461538461537,1.0
3c22b22a-47ea-42a8-b88f-9655d9b7dde1,1,False,"[(64, 131)]",100,156,23,39,100,67,189,195,64,195,64,195,64,195,64,195,64,195,64,195,64,195,64,195,64,195,64,195,64,195.0,64.0,195.0,64.0,195.0,64.0,195.0,64.0,1.0317460317460319,1.0317460317460319
3c22b22a-47ea-42a8-b88f-9655d9b7dde1,1,False,"[(131, 64)]",156,100,39,23,156,122,189,195,131,195,131,195,131,195,131,195,131,195,131,195,131,195,131,195,131,195,131,195,131,195.0,131.0,195.0,131.0,195.0,131.0,195.0,131.0,1.0317460317460319,1.0317460317460319
15897707-9ef6-42cf-adf6-b1ab6d5c0c75,77,True,"[(100, 34)]",100,34,28,7,100,100,134,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134,100,134.0,100.0,134.0,100.0,134.0,100.0,134.0,100.0,1.0,1.0
