eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
01d3d0ca-4034-4ece-ae7f-0fef3bc34c10,38,False,"[(209, 456)]",762,990,192,247,762,209,665,665,209,665,209,665,209,665,209,665,209,665,209,665,209,665,209,665,209,665,209,665,209,665.0,209.0,665.0,209.0,665.0,209.0,665.0,209.0,1.0,1.0
f9f9924f-63a3-48bd-a8df-b28bf437c824,38,False,"[(115, 76), (99, 80), (90, 109)]",344,344,59,59,344,98,177,191,115,179,99,179,99,179,99,179,99,179,99,179,99,179,99,179,99,199,90,179,99,181.85540000000003,97.7151,179.0,99.0,179.0,99.0,189.0,94.5,1.1242937853107344,1.0112994350282485
f9f9924f-63a3-48bd-a8df-b28bf437c824,38,False,"[(76, 115), (80, 99), (109, 90)]",344,344,59,59,344,79,177,191,76,179,80,179,80,179,80,179,80,179,80,179,80,179,80,179,80,199,109,179,80,181.85540000000003,84.14030000000002,179.0,80.0,179.0,80.0,189.0,94.5,1.1242937853107344,1.0112994350282485
2793f0cb-b28c-411a-943c-cc41318ff222,38,False,"[(98, 59), (78, 97), (95, 76), (69, 108)]",344,344,42,43,344,81,143,157,98,171,95,157,98,157,98,175,78,171,95,171,95,157,98,157,98,177,69,157,98,164.60349999999994,86.97489999999999,157.0,98.0,157.0,98.0,167.0,83.5,1.2377622377622377,1.097902097902098
2793f0cb-b28c-411a-943c-cc41318ff222,38,False,"[(59, 98), (97, 78), (76, 95), (108, 69)]",344,344,43,42,344,62,143,157,59,171,76,157,59,157,59,175,97,171,76,171,76,157,59,157,59,177,108,157,59,164.60349999999994,77.6286,157.0,59.0,157.0,59.0,167.0,83.5,1.2377622377622377,1.097902097902098
bc8efe06-4d27-4ce7-a139-1412024da39b,38,False,"[(139, 1792)]",420,2034,122,541,420,139,1931,1931,139,1931,139,1931,139,1931,139,1931,139,1931,139,1931,139,1931,139,1931,139,1931,139,1931,139,1931.0,139.0,1931.0,139.0,1931.0,139.0,1931.0,139.0,1.0,1.0
bc8efe06-4d27-4ce7-a139-1412024da39b,38,False,"[(1792, 139)]",2034,420,541,122,2034,1792,1931,1931,1792,1931,1792,1931,1792,1931,1792,1931,1792,1931,1792,1931,1792,1931,1792,1931,1792,1931,1792,1931,1792,1931.0,1792.0,1931.0,1792.0,1931.0,1792.0,1931.0,1792.0,1.0,1.0
af259a5b-1a6d-460e-b620-686eda78b56e,0,False,"[(136, 175), (140, 159)]",666,744,117,131,666,139,297,311,136,299,140,299,140,299,140,299,140,311,136,299,140,299,140,299,140,311,136,299,140,301.5952,139.13490000000002,299.0,140.0,299.0,140.0,311.0,136.0,1.0471380471380471,1.0067340067340067
af259a5b-1a6d-460e-b620-686eda78b56e,0,False,"[(175, 136), (159, 140)]",744,666,131,117,744,158,297,311,175,299,159,299,159,299,159,299,159,311,175,299,159,299,159,299,159,311,175,299,159,301.5952,162.46029999999996,299.0,159.0,299.0,159.0,311.0,175.0,1.0471380471380471,1.0067340067340067
8b60d71f-3df5-4c71-82d2-f83118218cc4,39,False,"[(485, 524)]",1008,724,289,214,1008,488,995,1009,485,1009,485,1009,485,1009,485,1009,485,1009,485,1009,485,1009,485,1009,485,1009,485,1009,485,1009.0,485.0,1009.0,485.0,1009.0,485.0,1009.0,485.0,1.014070351758794,1.014070351758794
8b60d71f-3df5-4c71-82d2-f83118218cc4,39,False,"[(524, 485)]",724,1008,214,289,724,507,995,1009,524,1009,524,1009,524,1009,524,1009,524,1009,524,1009,524,1009,524,1009,524,1009,524,1009,524,1009.0,524.0,1009.0,524.0,1009.0,524.0,1009.0,524.0,1.014070351758794,1.014070351758794
bcfb49b8-15c2-483b-b9fa-a340f675a90b,19,False,"[(63, 120), (170, 113)]",362,400,46,54,362,63,183,183,63,183,63,183,63,183,63,183,63,183,63,183,63,183,63,183,63,283,170,183,63,189.38080000000002,69.82740000000001,183.0,63.0,183.0,63.0,199.66660000000002,80.83330000000001,1.546448087431694,1.0
bcfb49b8-15c2-483b-b9fa-a340f675a90b,19,False,"[(120, 63), (113, 170)]",400,362,54,46,400,120,183,183,120,183,120,183,120,183,120,183,120,183,120,183,120,183,120,183,120,283,113,183,120,189.38080000000002,119.55340000000001,183.0,120.0,183.0,120.0,199.66660000000002,118.83330000000001,1.546448087431694,1.0
9e4fdd37-948a-4df9-aa36-b2a5b3addb95,19,False,"[(93, 74), (110, 53), (84, 141)]",344,248,42,31,344,110,163,163,110,167,93,163,110,163,110,167,93,163,110,167,93,163,110,163,110,225,84,163,110,165.3111,100.17779999999999,163.0,110.0,163.0,110.0,163.0,110.0,1.3803680981595092,1.0
9e4fdd37-948a-4df9-aa36-b2a5b3addb95,19,False,"[(74, 93), (53, 110), (141, 84)]",248,344,31,42,248,53,163,163,53,167,74,163,53,163,53,167,74,163,53,167,74,163,53,163,53,225,141,163,53,165.3111,65.13329999999999,163.0,53.0,163.0,53.0,163.0,53.0,1.3803680981595092,1.0
5ff01357-a523-484d-a77d-8108cd485fb5,0,False,"[(101, 140), (136, 117)]",362,440,68,87,362,104,227,241,101,253,136,241,101,241,101,253,136,241,101,241,101,241,101,241,101,253,136,241,101,245.16200000000003,113.13919999999999,241.0,101.0,241.0,101.0,241.0,101.0,1.1145374449339207,1.0616740088105727
5ff01357-a523-484d-a77d-8108cd485fb5,0,False,"[(140, 101), (117, 136)]",440,362,87,68,440,123,227,241,140,253,117,241,140,241,140,253,117,241,140,241,140,241,140,241,140,253,117,241,140,245.16200000000003,132.02280000000002,241.0,140.0,241.0,140.0,241.0,140.0,1.1145374449339207,1.0616740088105727
