eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,PoA,PoS
d289a852-5970-4bc2-aef7-99cdd08fae52,1,False,"[(95, 76)]",236,226,69,69,236,88,167,171,95,171,95,171,95,171,95,171,95,171,95,171,95,171,95,171,95,171,95,171,95,171.0,95.0,171.0,95.0,171.0,95.0,171.0,95.0,1.0239520958083832,1.0239520958083832
c112cca7-cf7a-47da-9a92-1815bc7c3fcd,18,False,"[(48, 67), (52, 61)]",164,164,39,49,164,51,111,115,48,113,52,113,52,113,52,113,52,113,52,113,52,113,52,113,52,115,48,113,52,113.74360000000001,50.512600000000006,113.0,52.0,113.0,52.0,113.0,52.0,1.0360360360360361,1.018018018018018
c112cca7-cf7a-47da-9a92-1815bc7c3fcd,18,False,"[(67, 48), (61, 52)]",164,164,49,39,164,60,111,115,67,113,61,113,61,113,61,113,61,113,61,113,61,113,61,113,61,115,67,113,61,113.74360000000001,63.230999999999995,113.0,61.0,113.0,61.0,113.0,61.0,1.0360360360360361,1.018018018018018
035977bc-372d-4016-aa17-456e0fcb9c37,18,False,"[(58, 77), (62, 71)]",164,164,46,53,164,61,131,135,58,133,62,133,62,133,62,133,62,133,62,133,62,133,62,133,62,135,58,133,62,133.73809999999997,60.523799999999994,133.0,62.0,133.0,62.0,133.0,62.0,1.0305343511450382,1.015267175572519
035977bc-372d-4016-aa17-456e0fcb9c37,18,False,"[(77, 58), (71, 62)]",164,164,53,46,164,70,131,135,77,133,71,133,71,133,71,133,71,133,71,133,71,133,71,133,71,135,77,133,71,133.73809999999997,73.2143,133.0,71.0,133.0,71.0,133.0,71.0,1.0305343511450382,1.015267175572519
600c0b4e-21bf-47df-8a6e-22d4e7bea329,0,False,"[(82, 63)]",164,136,66,56,164,82,145,145,82,145,82,145,82,145,82,145,82,145,82,145,82,145,82,145,82,145,82,145,82,145.0,82.0,145.0,82.0,145.0,82.0,145.0,82.0,1.0,1.0
600c0b4e-21bf-47df-8a6e-22d4e7bea329,0,False,"[(63, 82)]",136,164,56,66,136,63,145,145,63,145,63,145,63,145,63,145,63,145,63,145,63,145,63,145,63,145,63,145,63,145.0,63.0,145.0,63.0,145.0,63.0,145.0,63.0,1.0,1.0
b48d394d-a95e-487c-846d-4503ee09fa8a,18,False,"[(92, 101)]",200,200,85,82,200,92,193,193,92,193,92,193,92,193,92,193,92,193,92,193,92,193,92,193,92,193,92,193,92,193.0,92.0,193.0,92.0,193.0,92.0,193.0,92.0,1.0,1.0
b48d394d-a95e-487c-846d-4503ee09fa8a,18,False,"[(101, 92)]",200,200,82,85,200,101,193,193,101,193,101,193,101,193,101,193,101,193,101,193,101,193,101,193,101,193,101,193,101,193.0,101.0,193.0,101.0,193.0,101.0,193.0,101.0,1.0,1.0
0e9deaad-daff-421a-960f-919c19af0dc9,9,False,"[(127, 100), (169, 96)]",190,136,90,77,190,127,227,265,169,227,127,227,127,227,127,227,127,227,127,227,127,227,127,227,127,265,169,227,127,231.95659999999998,132.4783,249.3044,151.6522,227.0,127.0,227.0,127.0,1.1674008810572687,1.0
0e9deaad-daff-421a-960f-919c19af0dc9,9,False,"[(100, 127), (96, 169)]",136,190,77,90,136,100,227,265,96,227,100,227,100,227,100,227,100,227,100,227,100,227,100,227,100,265,96,227,100,231.95659999999998,99.47829999999999,249.3044,97.6522,227.0,100.0,227.0,100.0,1.1674008810572687,1.0
e5b08b95-4f6a-47c0-bc73-7d09e4579335,1,False,"[(336, 345)]",766,784,327,331,766,336,681,681,336,681,336,681,336,681,336,681,336,681,336,681,336,681,336,681,336,681,336,681,336,681.0,336.0,681.0,336.0,681.0,336.0,681.0,336.0,1.0,1.0
e5b08b95-4f6a-47c0-bc73-7d09e4579335,1,False,"[(345, 336)]",784,766,331,327,784,345,681,681,345,681,345,681,345,681,345,681,345,681,345,681,345,681,345,681,345,681,345,681,345,681.0,345.0,681.0,345.0,681.0,345.0,681.0,345.0,1.0,1.0
42eb6703-1ce4-4e16-ad44-0f776b47592b,0,False,"[(79, 60)]",156,118,53,48,156,72,135,139,79,139,79,139,79,139,79,139,79,139,79,139,79,139,79,139,79,139,79,139,79,139.0,79.0,139.0,79.0,139.0,79.0,139.0,79.0,1.0296296296296297,1.0296296296296297
42eb6703-1ce4-4e16-ad44-0f776b47592b,0,False,"[(60, 79)]",118,156,48,53,118,63,135,139,60,139,60,139,60,139,60,139,60,139,60,139,60,139,60,139,60,139,60,139,60,139.0,60.0,139.0,60.0,139.0,60.0,139.0,60.0,1.0296296296296297,1.0296296296296297
5704ef91-fe9c-44e7-8e67-eb3ef585cf4d,18,False,"[(59, 78)]",164,164,59,59,164,59,137,137,59,137,59,137,59,137,59,137,59,137,59,137,59,137,59,137,59,137,59,137,59,137.0,59.0,137.0,59.0,137.0,59.0,137.0,59.0,1.0,1.0
5704ef91-fe9c-44e7-8e67-eb3ef585cf4d,18,False,"[(78, 59)]",164,164,59,59,164,78,137,137,78,137,78,137,78,137,78,137,78,137,78,137,78,137,78,137,78,137,78,137,78,137.0,78.0,137.0,78.0,137.0,78.0,137.0,78.0,1.0,1.0
1b9d9254-0c9c-4357-bbba-c00335137f29,0,False,"[(99, 118)]",244,272,90,104,244,102,213,217,99,217,99,217,99,217,99,217,99,217,99,217,99,217,99,217,99,217,99,217,99,217.0,99.0,217.0,99.0,217.0,99.0,217.0,99.0,1.0187793427230047,1.0187793427230047
1b9d9254-0c9c-4357-bbba-c00335137f29,0,False,"[(118, 99)]",272,244,104,90,272,111,213,217,118,217,118,217,118,217,118,217,118,217,118,217,118,217,118,217,118,217,118,217,118,217.0,118.0,217.0,118.0,217.0,118.0,217.0,118.0,1.0187793427230047,1.0187793427230047
82454aa6-f37b-4edc-bcac-115ae605bd25,0,False,"[(65, 84)]",172,210,53,67,172,68,145,149,65,149,65,149,65,149,65,149,65,149,65,149,65,149,65,149,65,149,65,149,65,149.0,65.0,149.0,65.0,149.0,65.0,149.0,65.0,1.0275862068965518,1.0275862068965518
82454aa6-f37b-4edc-bcac-115ae605bd25,0,False,"[(84, 65)]",210,172,67,53,210,77,145,149,84,149,84,149,84,149,84,149,84,149,84,149,84,149,84,149,84,149,84,149,84,149.0,84.0,149.0,84.0,149.0,84.0,149.0,84.0,1.0275862068965518,1.0275862068965518
5bb5283e-34fc-45c6-afa1-9d0b8da0ef0a,1,False,"[(78, 97)]",226,236,69,76,226,81,171,175,78,175,78,175,78,175,78,175,78,175,78,175,78,175,78,175,78,175,78,175,78,175.0,78.0,175.0,78.0,175.0,78.0,175.0,78.0,1.023391812865497,1.023391812865497
5bb5283e-34fc-45c6-afa1-9d0b8da0ef0a,1,False,"[(97, 78)]",236,226,76,69,236,90,171,175,97,175,97,175,97,175,97,175,97,175,97,175,97,175,97,175,97,175,97,175,97,175.0,97.0,175.0,97.0,175.0,97.0,175.0,97.0,1.023391812865497,1.023391812865497
625df9ff-7918-4a11-86f1-9a9c7d8f974c,9,False,"[(64, 83), (80, 71)]",172,172,57,58,172,64,147,147,64,151,80,147,64,147,64,151,80,151,80,151,80,147,64,147,64,151,80,147,64,148.7802,71.1209,149.7142,74.8571,147.0,64.0,147.0036,64.0141,1.0272108843537415,1.0
625df9ff-7918-4a11-86f1-9a9c7d8f974c,9,False,"[(83, 64), (71, 80)]",172,172,58,57,172,83,147,147,83,151,71,147,83,147,83,151,71,151,71,151,71,147,83,147,83,151,71,147,83,148.7802,77.6593,149.7142,74.8571,147.0,83.0,147.0036,82.9895,1.0272108843537415,1.0
dfd54940-0045-4cdd-962e-1ba56f5ff18b,0,False,"[(415, 396)]",1020,982,401,377,1020,415,811,811,415,811,415,811,415,811,415,811,415,811,415,811,415,811,415,811,415,811,415,811,415,811.0,415.0,811.0,415.0,811.0,415.0,811.0,415.0,1.0,1.0
dfd54940-0045-4cdd-962e-1ba56f5ff18b,0,False,"[(396, 415)]",982,1020,377,401,982,396,811,811,396,811,396,811,396,811,396,811,396,811,396,811,396,811,396,811,396,811,396,811,396,811.0,396.0,811.0,396.0,811.0,396.0,811.0,396.0,1.0,1.0
cc0817e5-466e-4d7b-88c4-909cad0323cb,18,False,"[(440, 449)]",1118,1108,433,430,1118,440,889,889,440,889,440,889,440,889,440,889,440,889,440,889,440,889,440,889,440,889,440,889,440,889.0,440.0,889.0,440.0,889.0,440.0,889.0,440.0,1.0,1.0
cc0817e5-466e-4d7b-88c4-909cad0323cb,18,False,"[(449, 440)]",1108,1118,430,433,1108,449,889,889,449,889,449,889,449,889,449,889,449,889,449,889,449,889,449,889,449,889,449,889,449,889.0,449.0,889.0,449.0,889.0,449.0,889.0,449.0,1.0,1.0
b4f296a3-396e-4c48-9830-40915f83a22a,0,False,"[(86, 105)]",208,236,79,79,208,89,187,191,86,191,86,191,86,191,86,191,86,191,86,191,86,191,86,191,86,191,86,191,86,191.0,86.0,191.0,86.0,191.0,86.0,191.0,86.0,1.0213903743315509,1.0213903743315509
b4f296a3-396e-4c48-9830-40915f83a22a,0,False,"[(105, 86)]",236,208,79,79,236,98,187,191,105,191,105,191,105,191,105,191,105,191,105,191,105,191,105,191,105,191,105,191,105,191.0,105.0,191.0,105.0,191.0,105.0,191.0,105.0,1.0213903743315509,1.0213903743315509
618d39e7-720f-49d1-86ba-76a7e329f741,0,False,"[(55, 74), (61, 42)]",156,118,38,35,156,54,99,103,61,103,61,103,61,103,61,129,55,103,61,103,61,103,61,103,61,129,55,103,61,106.2147,60.2581,103.0,61.0,103.0,61.0,103.0,61.0,1.303030303030303,1.0404040404040404
618d39e7-720f-49d1-86ba-76a7e329f741,0,False,"[(74, 55), (42, 61)]",118,156,35,38,118,45,99,103,42,103,42,103,42,103,42,129,74,103,42,103,42,103,42,103,42,129,74,103,42,106.2147,45.956599999999995,103.0,42.0,103.0,42.0,103.0,42.0,1.303030303030303,1.0404040404040404
bce55a30-1a4e-4286-a331-33c6783e0769,0,False,"[(69, 88), (91, 82)]",172,200,53,76,172,72,153,157,69,157,69,157,69,157,69,173,91,157,69,157,69,157,69,157,69,173,91,157,69,160.0765,73.2302,157.0,69.0,157.0,69.0,157.0,69.0,1.130718954248366,1.026143790849673
bce55a30-1a4e-4286-a331-33c6783e0769,0,False,"[(88, 69), (82, 91)]",200,172,76,53,200,81,153,157,88,157,88,157,88,157,88,173,82,157,88,157,88,157,88,157,88,173,82,157,88,160.0765,86.8463,157.0,88.0,157.0,88.0,157.0,88.0,1.130718954248366,1.026143790849673
5112be9d-a28b-4590-b23e-61755e99dc83,10,False,"[(84, 75), (77, 96)]",172,208,43,61,172,84,159,159,84,159,84,159,84,159,84,159,84,173,77,173,77,159,84,159,84,173,77,159,84,163.4545,81.7727,173.0,77.0,159.0,84.0,159.0,84.0,1.0880503144654088,1.0
5112be9d-a28b-4590-b23e-61755e99dc83,10,False,"[(75, 84), (96, 77)]",208,172,61,43,208,75,159,159,75,159,75,159,75,159,75,159,75,173,96,173,96,159,75,159,75,173,96,159,75,163.4545,81.6818,173.0,96.0,159.0,75.0,159.0,75.0,1.0880503144654088,1.0
83cbacb2-0858-4071-8f34-2674c4a869b1,0,False,"[(413, 432)]",1432,1470,401,422,1432,413,845,845,413,845,413,845,413,845,413,845,413,845,413,845,413,845,413,845,413,845,413,845,413,845.0,413.0,845.0,413.0,845.0,413.0,845.0,413.0,1.0,1.0
83cbacb2-0858-4071-8f34-2674c4a869b1,0,False,"[(432, 413)]",1470,1432,422,401,1470,432,845,845,432,845,432,845,432,845,432,845,432,845,432,845,432,845,432,845,432,845,432,845,432,845.0,432.0,845.0,432.0,845.0,432.0,845.0,432.0,1.0,1.0
966f5b39-cee9-476a-a16c-67bbf496d3bc,18,False,"[(63, 54), (52, 61)]",164,154,45,42,164,52,113,113,52,113,52,113,52,113,52,117,63,117,63,117,63,113,52,113,52,117,63,113,52,114.6645,56.5775,117.0,63.0,113.0,52.0,113.0,52.0,1.0353982300884956,1.0
966f5b39-cee9-476a-a16c-67bbf496d3bc,18,False,"[(54, 63), (61, 52)]",154,164,42,45,154,61,113,113,61,113,61,113,61,113,61,117,54,117,54,117,54,113,61,113,61,117,54,113,61,114.6645,58.087,117.0,54.0,113.0,61.0,113.0,61.0,1.0353982300884956,1.0
10f82078-7eaf-4cfd-8381-dccd91f8ee73,1,False,"[(83, 102)]",208,218,76,76,208,86,181,185,83,185,83,185,83,185,83,185,83,185,83,185,83,185,83,185,83,185,83,185,83,185.0,83.0,185.0,83.0,185.0,83.0,185.0,83.0,1.022099447513812,1.022099447513812
10f82078-7eaf-4cfd-8381-dccd91f8ee73,1,False,"[(102, 83)]",218,208,76,76,218,95,181,185,102,185,102,185,102,185,102,185,102,185,102,185,102,185,102,185,102,185,102,185,102,185.0,102.0,185.0,102.0,185.0,102.0,185.0,102.0,1.022099447513812,1.022099447513812
eeebfa29-cec6-4c0d-bac0-3b5d7bdd7740,0,False,"[(48, 67), (66, 57), (72, 53)]",164,136,39,46,164,51,111,115,48,123,66,115,48,115,48,123,66,125,72,123,66,115,48,115,48,125,72,115,48,119.49119999999999,58.778800000000004,125.0,72.0,115.0,48.0,115.03050000000002,48.0733,1.1261261261261262,1.0360360360360361
eeebfa29-cec6-4c0d-bac0-3b5d7bdd7740,0,False,"[(67, 48), (57, 66), (53, 72)]",136,164,46,39,136,60,111,115,67,123,57,115,67,115,67,123,57,125,53,123,57,115,67,115,67,125,53,115,67,119.49119999999999,60.7124,125.0,53.0,115.0,67.0,115.03050000000002,66.9572,1.1261261261261262,1.0360360360360361
3807b41f-2124-426e-9892-a1110d853e30,10,False,"[(73, 64), (66, 75), (62, 81)]",172,182,54,55,172,73,137,143,62,137,73,137,73,137,73,137,73,141,66,141,66,137,73,137,73,143,62,137,73,139.45839999999998,68.4931,141.0714,65.5357,137.0,73.0,137.0,73.0,1.0437956204379562,1.0
3807b41f-2124-426e-9892-a1110d853e30,10,False,"[(64, 73), (75, 66), (81, 62)]",182,172,55,54,182,64,137,143,81,137,64,137,64,137,64,137,64,141,75,141,75,137,64,137,64,143,81,137,64,139.45839999999998,70.9653,141.0714,75.5357,137.0,64.0,137.0,64.0,1.0437956204379562,1.0
699060fd-7865-45fa-9410-a3a85c9abe2b,10,False,"[(142, 151), (152, 133)]",388,398,123,124,388,145,281,285,152,293,142,285,152,285,152,293,142,293,142,293,142,285,152,285,152,293,142,285,152,287.99519999999995,148.256,293.0,142.0,285.0,152.0,285.0,152.0,1.0427046263345197,1.0142348754448398
699060fd-7865-45fa-9410-a3a85c9abe2b,10,False,"[(151, 142), (133, 152)]",398,388,124,123,398,136,281,285,133,293,151,285,133,285,133,293,151,293,151,293,151,285,133,285,133,293,151,285,133,287.99519999999995,139.73919999999998,293.0,151.0,285.0,133.0,285.0,133.0,1.0427046263345197,1.0142348754448398
b7cd39d3-ba21-403c-9844-ce68a9a7e9b1,181,False,"[(280, 587)]",532,650,182,229,532,283,863,867,280,867,280,867,280,867,280,867,280,867,280,867,280,867,280,867,280,867,280,867,280,867.0,280.0,867.0,280.0,867.0,280.0,867.0,280.0,1.0046349942062573,1.0046349942062573
b7cd39d3-ba21-403c-9844-ce68a9a7e9b1,181,False,"[(587, 280)]",650,532,229,182,650,580,863,867,587,867,587,867,587,867,587,867,587,867,587,867,587,867,587,867,587,867,587,867,587,867.0,587.0,867.0,587.0,867.0,587.0,867.0,587.0,1.0046349942062573,1.0046349942062573
36221f13-0fae-4ba3-bf99-f3c552fdc1ae,0,False,"[(110, 91), (89, 98)]",226,254,80,84,226,89,187,187,89,187,89,187,89,187,89,187,89,187,89,187,89,187,89,187,89,201,110,187,89,190.0639,93.5958,187.0,89.0,187.0,89.0,187.0,89.0,1.0748663101604279,1.0
36221f13-0fae-4ba3-bf99-f3c552fdc1ae,0,False,"[(91, 110), (98, 89)]",254,226,84,80,254,98,187,187,98,187,98,187,98,187,98,187,98,187,98,187,98,187,98,187,98,201,91,187,98,190.0639,96.46809999999999,187.0,98.0,187.0,98.0,187.0,98.0,1.0748663101604279,1.0
c8177c54-4626-4e66-a6e1-71971d604a40,1,False,"[(225, 244)]",514,524,159,169,514,228,465,469,225,469,225,469,225,469,225,469,225,469,225,469,225,469,225,469,225,469,225,469,225,469.0,225.0,469.0,225.0,469.0,225.0,469.0,225.0,1.0086021505376344,1.0086021505376344
c8177c54-4626-4e66-a6e1-71971d604a40,1,False,"[(244, 225)]",524,514,169,159,524,237,465,469,244,469,244,469,244,469,244,469,244,469,244,469,244,469,244,469,244,469,244,469,244,469.0,244.0,469.0,244.0,469.0,244.0,469.0,244.0,1.0086021505376344,1.0086021505376344
aa981ab4-69aa-4f70-8969-7875a2354f3b,18,False,"[(97, 106), (113, 86)]",218,172,83,74,218,113,199,199,113,203,97,199,113,199,113,203,97,199,113,199,113,199,113,199,113,203,97,199,113,200.4499,107.2002,199.0,113.0,199.0,113.0,199.0,113.0,1.020100502512563,1.0
