eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
fabc4818-1043-4b49-8fe4-af131688d1bd,3,True,"[(61, 58)]",70,70,55,52,70,61,119,119,61,119,61,119,61,119,61,119,61,119,61,119,61,119,61,119,61,119,61,119,61,119.0,61.0,119.0,61.0,119.0,61.0,119.0,61.0,1.0,1.0
757b1d3e-9f5f-43fe-8d2a-a46b02a110c8,0,False,"[(42, 49)]",58,68,39,46,58,42,91,91,42,91,42,91,42,91,42,91,42,91,42,91,42,91,42,91,42,91,42,91,42,91.0,42.0,91.0,42.0,91.0,42.0,91.0,42.0,1.0,1.0
757b1d3e-9f5f-43fe-8d2a-a46b02a110c8,0,False,"[(49, 42)]",68,58,46,39,68,49,91,91,49,91,49,91,49,91,49,91,49,91,49,91,49,91,49,91,49,91,49,91,49,91.0,49.0,91.0,49.0,91.0,49.0,91.0,49.0,1.0,1.0
b2ed0b9a-f169-4aa5-b8c0-d628b76d828e,10,True,"[(56, 47)]",58,62,43,45,58,56,103,103,56,103,56,103,56,103,56,103,56,103,56,103,56,103,56,103,56,103,56,103,56,103.0,56.0,103.0,56.0,103.0,56.0,103.0,56.0,1.0,1.0
b2ed0b9a-f169-4aa5-b8c0-d628b76d828e,10,True,"[(47, 56)]",62,58,45,43,62,47,103,103,47,103,47,103,47,103,47,103,47,103,47,103,47,103,47,103,47,103,47,103,47,103.0,47.0,103.0,47.0,103.0,47.0,103.0,47.0,1.0,1.0
91015ce7-e11d-40d6-b979-aebccb717c46,6,False,"[(43, 52)]",56,58,42,39,56,45,93,95,43,95,43,95,43,95,43,95,43,95,43,95,43,95,43,95,43,95,43,95,43,95.0,43.0,95.0,43.0,95.0,43.0,95.0,43.0,1.021505376344086,1.021505376344086
91015ce7-e11d-40d6-b979-aebccb717c46,6,False,"[(52, 43)]",58,56,39,42,58,48,93,95,52,95,52,95,52,95,52,95,52,95,52,95,52,95,52,95,52,95,52,95,52,95.0,52.0,95.0,52.0,95.0,52.0,95.0,52.0,1.021505376344086,1.021505376344086
153173f2-3b05-479b-9226-8031512841b1,7,True,"[(79, 72)]",80,98,56,70,80,79,151,151,79,151,79,151,79,151,79,151,79,151,79,151,79,151,79,151,79,151,79,151,79,151.0,79.0,151.0,79.0,151.0,79.0,151.0,79.0,1.0,1.0
153173f2-3b05-479b-9226-8031512841b1,7,True,"[(72, 79)]",98,80,70,56,98,72,151,151,72,151,72,151,72,151,72,151,72,151,72,151,72,151,72,151,72,151,72,151,72,151.0,72.0,151.0,72.0,151.0,72.0,151.0,72.0,1.0,1.0
134a3043-87dd-402e-8a8d-8dfb486cc485,0,False,"[(66, 59)]",84,70,63,53,84,66,125,125,66,125,66,125,66,125,66,125,66,125,66,125,66,125,66,125,66,125,66,125,66,125.0,66.0,125.0,66.0,125.0,66.0,125.0,66.0,1.0,1.0
