eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
c8db55d1-3f8f-4185-875a-f8c500b02278,14,False,"[(76, 47), (53, 74), (71, 50)]",128,92,48,37,128,71,121,123,76,121,71,121,71,121,71,127,53,123,76,121,71,121,71,121,71,127,53,121,71,123.0,76.0,121.0,71.0,122.34479999999999,66.96549999999999,121.0,71.0,1.0495867768595042,1.0
c8db55d1-3f8f-4185-875a-f8c500b02278,14,False,"[(47, 76), (74, 53), (50, 71)]",92,128,37,48,92,50,121,123,47,121,50,121,50,121,50,127,74,123,47,121,50,121,50,121,50,127,74,121,50,123.0,47.0,121.0,50.0,122.34479999999999,55.3793,121.0,50.0,1.0495867768595042,1.0
6c8a7896-376e-48f4-90e2-7204aeff2c51,0,False,"[(61, 46), (58, 51), (48, 55)]",122,92,42,31,122,48,103,107,61,103,48,103,48,103,48,109,58,107,61,107,61,103,48,107,61,109,58,103,48,107.0,61.0,103.0,48.0,105.10759999999999,54.8497,106.16239999999999,58.2778,1.058252427184466,1.0
6c8a7896-376e-48f4-90e2-7204aeff2c51,0,False,"[(46, 61), (51, 58), (55, 48)]",92,122,31,42,92,55,103,107,46,103,55,103,55,103,55,109,51,107,46,107,46,103,55,107,46,109,51,103,55,107.0,46.0,103.0,55.0,105.10759999999999,50.2579,106.16239999999999,47.8846,1.058252427184466,1.0
92741d2f-04c7-427e-ab0a-75b257aada66,0,False,"[(295, 280)]",808,778,280,270,808,290,573,575,295,575,295,575,295,575,295,575,295,575,295,575,295,575,295,575,295,575,295,575,295,575.0,295.0,575.0,295.0,575.0,295.0,575.0,295.0,1.0034904013961605,1.0034904013961605
92741d2f-04c7-427e-ab0a-75b257aada66,0,False,"[(280, 295)]",778,808,270,280,778,283,573,575,280,575,280,575,280,575,280,575,280,575,280,575,280,575,280,575,280,575,280,575,280,575.0,280.0,575.0,280.0,575.0,280.0,575.0,280.0,1.0034904013961605,1.0034904013961605
633af77f-4c8f-45e1-b855-70dcfaed8841,14,False,"[(92, 99), (96, 89), (87, 102)]",176,162,75,74,176,96,185,189,87,185,96,185,96,185,96,191,92,185,96,185,96,185,96,185,96,191,92,185,96,185.0,96.0,185.0,96.0,186.4488,92.7404,185.0,96.0,1.0324324324324323,1.0
633af77f-4c8f-45e1-b855-70dcfaed8841,14,False,"[(99, 92), (89, 96), (102, 87)]",162,176,74,75,162,89,185,189,102,185,89,185,89,185,89,191,99,185,89,185,89,185,89,185,89,191,99,185,89,185.0,89.0,185.0,89.0,186.4488,93.7084,185.0,89.0,1.0324324324324323,1.0
f1a459db-f48a-4626-bbe2-9087a9f718a4,0,False,"[(82, 97), (105, 90)]",162,184,67,81,162,85,177,179,82,179,82,179,82,179,82,179,82,179,82,179,82,179,82,179,82,195,105,179,82,179.0,82.0,179.0,82.0,182.2917,86.7318,179.0,82.0,1.1016949152542372,1.0112994350282485
f1a459db-f48a-4626-bbe2-9087a9f718a4,0,False,"[(97, 82), (90, 105)]",184,162,81,67,184,92,177,179,97,179,97,179,97,179,97,179,97,179,97,179,97,179,97,179,97,195,90,179,97,179.0,97.0,179.0,97.0,182.2917,95.5599,179.0,97.0,1.1016949152542372,1.0112994350282485
1d433510-d4f9-4650-8982-7910e4d3bc51,1,False,"[(83, 216)]",134,282,73,141,134,83,299,299,83,299,83,299,83,299,83,299,83,299,83,299,83,299,83,299,83,299,83,299,83,299.0,83.0,299.0,83.0,299.0,83.0,299.0,83.0,1.0,1.0
1d433510-d4f9-4650-8982-7910e4d3bc51,1,False,"[(216, 83)]",282,134,141,73,282,216,299,299,216,299,216,299,216,299,216,299,216,299,216,299,216,299,216,299,216,299,216,299,216,299.0,216.0,299.0,216.0,299.0,216.0,299.0,216.0,1.0,1.0
969aacde-5d7f-4d36-a0af-6b4e535ade10,14,False,"[(66, 51), (62, 55)]",128,128,48,44,128,61,115,117,66,117,62,117,66,117,66,117,62,117,62,117,62,117,66,117,62,117,66,117,66,117.0,62.0,117.0,62.0,117.0,63.846199999999996,116.9999,62.0,1.017391304347826,1.017391304347826
969aacde-5d7f-4d36-a0af-6b4e535ade10,14,False,"[(51, 66), (55, 62)]",128,128,44,48,128,54,115,117,51,117,55,117,51,117,51,117,55,117,55,117,55,117,51,117,55,117,51,117,51,117.0,55.0,117.0,55.0,117.0,53.153800000000004,116.9999,54.9999,1.017391304347826,1.017391304347826
ed4b2334-65a9-4309-9de7-e0144f535c55,0,False,"[(59, 66), (68, 61)]",134,156,52,56,134,59,125,125,59,125,59,125,59,125,59,125,59,125,59,125,59,125,59,125,59,129,68,125,59,125.0,59.0,125.0,59.0,126.21949999999998,61.7439,125.0,59.0,1.032,1.0
ed4b2334-65a9-4309-9de7-e0144f535c55,0,False,"[(66, 59), (61, 68)]",156,134,56,52,156,66,125,125,66,125,66,125,66,125,66,125,66,125,66,125,66,125,66,125,66,129,61,125,66,125.0,66.0,125.0,66.0,126.21949999999998,64.4756,125.0,66.0,1.032,1.0
9ca5b41b-3258-493d-a43c-0cf4e98973a6,7,False,"[(81, 74)]",134,134,59,64,134,81,155,155,81,155,81,155,81,155,81,155,81,155,81,155,81,155,81,155,81,155,81,155,81,155.0,81.0,155.0,81.0,155.0,81.0,155.0,81.0,1.0,1.0
9ca5b41b-3258-493d-a43c-0cf4e98973a6,7,False,"[(74, 81)]",134,134,64,59,134,74,155,155,74,155,74,155,74,155,74,155,74,155,74,155,74,155,74,155,74,155,74,155,74,155.0,74.0,155.0,74.0,155.0,74.0,155.0,74.0,1.0,1.0
2e93d6ab-f1e9-4fcc-9d5f-631880a2c883,14,False,"[(84, 63)]",134,128,58,53,134,84,147,147,84,147,84,147,84,147,84,147,84,147,84,147,84,147,84,147,84,147,84,147,84,147.0,84.0,147.0,84.0,147.0,84.0,147.0,84.0,1.0,1.0
2e93d6ab-f1e9-4fcc-9d5f-631880a2c883,14,False,"[(63, 84)]",128,134,53,58,128,63,147,147,63,147,63,147,63,147,63,147,63,147,63,147,63,147,63,147,63,147,63,147,63,147.0,63.0,147.0,63.0,147.0,63.0,147.0,63.0,1.0,1.0
2bfe3917-5c27-433b-90ae-1b4a9aa03bf7,14,False,"[(49, 64)]",128,128,39,52,128,52,111,113,49,113,49,113,49,113,49,113,49,113,49,113,49,113,49,113,49,113,49,113,49,113.0,49.0,113.0,49.0,113.0,49.0,113.0,49.0,1.018018018018018,1.018018018018018
2bfe3917-5c27-433b-90ae-1b4a9aa03bf7,14,False,"[(64, 49)]",128,128,52,39,128,59,111,113,64,113,64,113,64,113,64,113,64,113,64,113,64,113,64,113,64,113,64,113,64,113.0,64.0,113.0,64.0,113.0,64.0,113.0,64.0,1.018018018018018,1.018018018018018
4b5689e3-0121-4411-a266-55aa6dcc838f,7,True,"[(60, 53), (51, 58)]",134,134,44,48,134,51,109,109,51,109,51,109,51,109,51,113,60,109,51,109,51,109,51,109,51,113,60,109,51,111.0,55.5,109.0,51.0,110.4511,54.2649,109.0,51.0,1.036697247706422,1.0
4b5689e3-0121-4411-a266-55aa6dcc838f,7,True,"[(53, 60), (58, 51)]",134,134,48,44,134,58,109,109,58,109,58,109,58,109,58,113,53,109,58,109,58,109,58,109,58,113,53,109,58,111.0,55.5,109.0,58.0,110.4511,56.1862,109.0,58.0,1.036697247706422,1.0
