eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
9f888d99-65f0-4da0-8108-d94214b012d4,341,True,"[(518, 804)]",518,804,189,307,518,329,1285,1322,518,1322,518,1322,518,1322,518,1322,518,1322,518,1322,518,1322,518,1322,518,1322,518,1322,518,1322.0,518.0,1322.0,518.0,1322.0,518.0,1322.0,518.0,1.028793774319066,1.028793774319066
9f888d99-65f0-4da0-8108-d94214b012d4,341,True,"[(804, 518)]",804,518,307,189,804,956,1285,1322,804,1322,804,1322,804,1322,804,1322,804,1322,804,1322,804,1322,804,1322,804,1322,804,1322,804,1322.0,804.0,1322.0,804.0,1322.0,804.0,1322.0,804.0,1.028793774319066,1.028793774319066
c46e0864-23ff-44d7-b800-29b11ef7523a,23,False,"[(102, 91), (114, 47), (106, 73)]",232,200,50,38,232,105,155,161,114,193,102,161,114,161,114,193,102,179,106,193,102,161,114,161,114,193,102,161,114,161.0,114.0,161.0,114.0,168.17810000000003,110.8097,179.6364,105.8182,1.2451612903225806,1.038709677419355
c46e0864-23ff-44d7-b800-29b11ef7523a,23,False,"[(91, 102), (47, 114), (73, 106)]",200,232,38,50,200,50,155,161,47,193,91,161,47,161,47,193,91,179,73,193,91,161,47,161,47,193,91,161,47,161.0,47.0,161.0,47.0,168.17810000000003,57.36840000000001,179.6364,73.8182,1.2451612903225806,1.038709677419355
c85fab18-a913-4002-ba0c-224cfce14e4d,22,False,"[(83, 116)]",200,210,83,75,200,83,199,199,83,199,83,199,83,199,83,199,83,199,83,199,83,199,83,199,83,199,83,199,83,199.0,83.0,199.0,83.0,199.0,83.0,199.0,83.0,1.0,1.0
c85fab18-a913-4002-ba0c-224cfce14e4d,22,False,"[(116, 83)]",210,200,75,83,210,116,199,199,116,199,116,199,116,199,116,199,116,199,116,199,116,199,116,199,116,199,116,199,116,199.0,116.0,199.0,116.0,199.0,116.0,199.0,116.0,1.0,1.0
baea9eb6-cbf6-424c-be34-2682de62aefb,22,False,"[(91, 68), (81, 70), (64, 87)]",222,188,55,56,222,64,151,151,64,151,81,151,81,151,81,151,81,159,91,151,81,151,81,151,81,159,91,151,81,151.0,81.0,151.0,81.0,151.0,74.7986,159.0,91.0,1.0529801324503312,1.0
baea9eb6-cbf6-424c-be34-2682de62aefb,22,False,"[(68, 91), (70, 81), (87, 64)]",188,222,56,55,188,87,151,151,87,151,70,151,70,151,70,151,70,159,68,151,70,151,70,151,70,159,68,151,70,151.0,70.0,151.0,70.0,151.0,76.2014,159.0,68.0,1.0529801324503312,1.0
1d0b24fa-a0e5-48d7-a27c-1dcb57d89dd1,0,False,"[(86, 63), (82, 93)]",190,144,59,49,190,77,143,149,86,149,86,149,86,149,86,175,82,149,86,149,86,149,86,149,86,175,82,149,86,149.0,86.0,149.0,86.0,151.3637,85.6364,149.0,86.0,1.2237762237762237,1.0419580419580419
1d0b24fa-a0e5-48d7-a27c-1dcb57d89dd1,0,False,"[(63, 86), (93, 82)]",144,190,49,59,144,66,143,149,63,149,63,149,63,149,63,175,93,149,63,149,63,149,63,149,63,175,93,149,63,149.0,63.0,149.0,63.0,151.3637,65.7273,149.0,63.0,1.2237762237762237,1.0419580419580419
dee505a9-cb6e-40e5-908b-2969535556a5,22,False,"[(101, 168), (110, 143)]",222,232,92,114,222,110,253,269,101,253,110,253,110,253,110,253,110,253,110,253,110,253,110,253,110,269,101,253,110,253.0,110.0,253.0,110.0,256.3497,108.1158,253.0,110.0,1.0632411067193677,1.0
dee505a9-cb6e-40e5-908b-2969535556a5,22,False,"[(168, 101), (143, 110)]",232,222,114,92,232,143,253,269,168,253,143,253,143,253,143,253,143,253,143,253,143,253,143,253,143,269,168,253,143,253.0,143.0,253.0,143.0,256.3497,148.2339,253.0,143.0,1.0632411067193677,1.0
3beea1a0-2cc9-4b32-9011-d7a663f4c8d3,0,False,"[(93, 104), (105, 82), (97, 86)]",212,166,73,62,212,96,181,187,105,183,97,183,97,183,97,197,93,187,105,187,105,183,97,183,97,197,93,183,97,183.0,97.0,183.0,97.0,183.4878,97.9756,187.0,105.0,1.0883977900552486,1.011049723756906
3beea1a0-2cc9-4b32-9011-d7a663f4c8d3,0,False,"[(104, 93), (82, 105), (86, 97)]",166,212,62,73,166,85,181,187,82,183,86,183,86,183,86,197,104,187,82,187,82,183,86,183,86,197,104,183,86,183.0,86.0,183.0,86.0,183.4878,85.5122,187.0,82.0,1.0883977900552486,1.011049723756906
b34cf926-5cdf-4490-ba63-a7cbe61d0544,22,False,"[(290, 267), (273, 296)]",970,970,259,258,970,281,551,557,290,557,290,557,290,557,290,557,290,557,290,557,290,557,290,557,290,569,273,557,290,557.0,290.0,557.0,290.0,561.4587999999999,283.6834,563.0,281.5,1.0326678765880217,1.0108892921960073
b34cf926-5cdf-4490-ba63-a7cbe61d0544,22,False,"[(267, 290), (296, 273)]",970,970,258,259,970,270,551,557,267,557,267,557,267,557,267,557,267,557,267,557,267,557,267,557,267,569,296,557,267,557.0,267.0,557.0,267.0,561.4587999999999,277.7754,563.0,281.5,1.0326678765880217,1.0108892921960073
58f18e28-f538-441e-a5ac-f2bec8a524ef,12,False,"[(99, 110), (117, 106), (120, 97)]",210,232,84,77,210,99,209,217,120,209,99,209,99,209,99,209,99,209,99,209,99,209,99,209,99,223,117,209,99,209.0,99.0,209.0,99.0,211.6985,106.0835,209.0,99.0,1.0669856459330143,1.0
58f18e28-f538-441e-a5ac-f2bec8a524ef,12,False,"[(110, 99), (106, 117), (97, 120)]",232,210,77,84,232,110,209,217,97,209,110,209,110,209,110,209,110,209,110,209,110,209,110,209,110,223,106,209,110,209.0,110.0,209.0,110.0,211.6985,105.615,209.0,110.0,1.0669856459330143,1.0
af41cfcd-52b7-492f-bd9e-8905efc1cca0,0,False,"[(113, 90), (79, 102)]",210,256,56,81,210,79,181,181,79,181,79,181,79,181,79,203,113,181,79,181,79,181,79,181,79,203,113,181,79,181.0,79.0,181.0,79.0,185.79269999999997,86.4069,181.0,79.0,1.1215469613259668,1.0
af41cfcd-52b7-492f-bd9e-8905efc1cca0,0,False,"[(90, 113), (102, 79)]",256,210,81,56,256,102,181,181,102,181,102,181,102,181,102,203,90,181,102,181,102,181,102,181,102,203,90,181,102,181.0,102.0,181.0,102.0,185.79269999999997,99.38579999999999,181.0,102.0,1.1215469613259668,1.0
a131d937-f19c-4c4c-8cc3-b510e4cc3cb7,0,False,"[(92, 81), (62, 85)]",210,244,48,58,210,65,141,147,62,147,62,147,62,147,62,173,92,147,62,147,62,147,62,147,62,173,92,147,62,147.0,62.0,147.0,62.0,149.8077,65.2397,147.0,62.0,1.2269503546099292,1.0425531914893618
a131d937-f19c-4c4c-8cc3-b510e4cc3cb7,0,False,"[(81, 92), (85, 62)]",244,210,58,48,244,76,141,147,85,147,85,147,85,147,85,173,81,147,85,147,85,147,85,147,85,173,81,147,85,147.0,85.0,147.0,85.0,149.8077,84.56800000000001,147.0,85.0,1.2269503546099292,1.0425531914893618
835121e4-7e88-4e98-8b2c-4a4dacd58e5d,0,False,"[(54, 77), (59, 70), (71, 48)]",200,166,42,39,200,62,113,119,71,129,59,119,71,119,71,129,59,119,71,119,71,119,71,119,71,131,54,119,71,119.0,71.0,119.0,71.0,122.8577,65.5349,119.0,71.0,1.1592920353982301,1.0530973451327434
835121e4-7e88-4e98-8b2c-4a4dacd58e5d,0,False,"[(77, 54), (70, 59), (48, 71)]",166,200,39,42,166,51,113,119,48,129,70,119,48,119,48,129,70,119,48,119,48,119,48,119,48,131,77,119,48,119.0,48.0,119.0,48.0,122.8577,57.3228,119.0,48.0,1.1592920353982301,1.0530973451327434
dd03f2fd-11d1-4156-b4d1-558b0563aa23,0,False,"[(149, 126), (141, 164)]",498,452,124,109,498,149,275,275,149,275,149,275,149,275,149,275,149,275,149,275,149,275,149,275,149,305,141,275,149,275.0,149.0,275.0,149.0,279.8374,147.70999999999998,275.0,149.0,1.1090909090909091,1.0
dd03f2fd-11d1-4156-b4d1-558b0563aa23,0,False,"[(126, 149), (164, 141)]",452,498,109,124,452,126,275,275,126,275,126,275,126,275,126,275,126,275,126,275,126,275,126,275,126,305,164,275,126,275.0,126.0,275.0,126.0,279.8374,132.12740000000002,275.0,126.0,1.1090909090909091,1.0
edb27132-5447-4dde-9733-7ed761212eb2,22,False,"[(92, 81), (79, 102)]",254,266,65,69,254,92,173,181,79,173,92,173,92,173,92,173,92,181,79,173,92,173,92,173,92,181,79,173,92,173.0,92.0,173.0,92.0,176.1644,86.8577,178.41180000000003,83.20590000000001,1.046242774566474,1.0
edb27132-5447-4dde-9733-7ed761212eb2,22,False,"[(81, 92), (102, 79)]",266,254,69,65,266,81,173,181,102,173,81,173,81,173,81,173,81,181,102,173,81,173,81,173,81,181,102,173,81,173.0,81.0,173.0,81.0,176.1644,89.3067,178.41180000000003,95.20590000000001,1.046242774566474,1.0
fd4ec463-e588-451d-84bb-ccfe93fcd79e,22,False,"[(68, 91)]",200,200,57,69,200,68,159,159,68,159,68,159,68,159,68,159,68,159,68,159,68,159,68,159,68,159,68,159,68,159.0,68.0,159.0,68.0,159.0,68.0,159.0,68.0,1.0,1.0
fd4ec463-e588-451d-84bb-ccfe93fcd79e,22,False,"[(91, 68)]",200,200,69,57,200,91,159,159,91,159,91,159,91,159,91,159,91,159,91,159,91,159,91,159,91,159,91,159,91,159.0,91.0,159.0,91.0,159.0,91.0,159.0,91.0,1.0,1.0
74682181-a2c5-471b-9bfe-0ed224cd3409,0,False,"[(67, 90), (71, 82)]",254,288,56,72,254,70,151,157,67,153,71,153,71,153,71,153,71,157,67,153,71,153,71,153,71,157,67,153,71,153.0,71.0,153.0,71.0,154.4207,69.57929999999999,157.0,67.0,1.0397350993377483,1.0132450331125828
74682181-a2c5-471b-9bfe-0ed224cd3409,0,False,"[(90, 67), (82, 71)]",288,254,72,56,288,81,151,157,90,153,82,153,82,153,82,153,82,157,90,153,82,153,82,153,82,157,90,153,82,153.0,82.0,153.0,82.0,154.4207,84.8414,157.0,90.0,1.0397350993377483,1.0132450331125828
